"Date","IFCI.NS.Open","IFCI.NS.High","IFCI.NS.Low","IFCI.NS.Close","IFCI.NS.Volume","IFCI.NS.Adjusted"
2016-03-16,24.25,24.6,23.6,24.2,7464900,24.2
2016-03-17,24.4,24.55,23.45,23.65,7933600,23.65
2016-03-18,23.7,24.35,23.55,24.2,6459200,24.2
2016-03-21,24.35,24.65,24.2,24.5,5237800,24.5
2016-03-22,24.5,24.8,24.1,24.35,5550500,24.35
2016-03-23,24.35,24.35,24.1,24.15,2965300,24.15
2016-03-24,24.15,24.15,24.15,24.15,0,24.15
2016-03-25,24.15,24.15,24.15,24.15,0,24.15
2016-03-28,24.25,24.4,23.3,23.4,3316300,23.4
2016-03-29,23.4,23.5,22.75,22.95,5145900,22.95
2016-03-30,23,24.45,22.8,24.15,10420800,24.15
2016-03-31,24.25,24.95,23.8,24.7,25650000,24.7
2016-04-01,24.8,25.3,24.5,24.95,9337100,24.95
2016-04-04,25.05,25.2,24.35,24.5,4128500,24.5
2016-04-05,24.8,25.15,24,24.15,12414000,24.15
2016-04-06,24.2,24.45,23.6,23.85,6900300,23.85
2016-04-07,23.8,24.25,23.6,23.7,6823200,23.7
2016-04-08,23.7,23.85,23.55,23.75,4570300,23.75
2016-04-11,23.8,24.25,23.5,24.15,6847200,24.15
2016-04-12,24.35,24.45,24.1,24.2,4214400,24.2
2016-04-13,24.5,25.2,24.35,24.7,9440300,24.7
2016-04-14,24.7,24.7,24.7,24.7,0,24.7
2016-04-15,24.7,24.7,24.7,24.7,0,24.7
2016-04-18,24.7,25.25,24.2,24.95,6027600,24.95
2016-04-19,24.95,24.95,24.95,24.95,0,24.95
2016-04-20,25,25.6,24.85,25.15,5620000,25.15
2016-04-21,25.25,25.7,24.75,24.9,6999800,24.9
2016-04-22,24.8,26.6,24.75,26.2,15806000,26.2
2016-04-25,26.3,26.45,25.2,25.65,13326500,25.65
2016-04-26,25.5,26.15,25,25.85,9398500,25.85
2016-04-27,25.8,26.65,25.7,26,8656600,26
2016-04-28,26,26.15,25.25,25.4,8720900,25.4
2016-04-29,25.35,25.7,24.6,25.5,9854000,25.5
2016-05-02,25.4,25.5,24.95,25.25,4252900,25.25
2016-05-03,25.3,25.95,25.05,25.15,6281200,25.15
2016-05-04,25.55,25.8,24.1,24.25,9816700,24.25
2016-05-05,24.5,24.55,23.95,24.05,6639600,24.05
2016-05-06,23.85,24.45,23.75,24.1,6659200,24.1
2016-05-09,24.3,25.2,24.2,25,8624900,25
2016-05-10,24.9,25.25,24.75,24.9,7396700,24.9
2016-05-11,24,24.75,24,24.55,7199100,24.55
2016-05-12,24.55,24.9,24.35,24.5,6916200,24.5
2016-05-13,24.4,24.7,24.1,24.25,5027400,24.25
2016-05-16,24.35,24.4,23.9,24.25,4277000,24.25
2016-05-17,24.35,24.45,24.15,24.25,4340100,24.25
2016-05-18,24.1,24.3,24,24.15,3644300,24.15
2016-05-19,24.1,24.3,23.5,23.6,4314700,23.6
2016-05-20,23.7,23.8,23.3,23.45,3679100,23.45
2016-05-23,23.55,23.6,23.2,23.25,3890500,23.25
2016-05-24,23.2,23.3,22.7,22.85,3982400,22.85
2016-05-25,23.15,23.45,23,23.35,3560700,23.35
2016-05-26,23.5,23.8,23.4,23.55,9170500,23.55
2016-05-27,23.65,24.5,23.6,24.4,7309100,24.4
2016-05-30,24,24.9,23.7,24.7,9250000,24.7
2016-05-31,24.55,24.75,23.85,24.1,9633600,24.1
2016-06-01,24.3,24.3,23.6,23.9,6858400,23.9
2016-06-02,23.85,24.1,23.65,23.9,4969700,23.9
2016-06-03,24,24.4,23.5,23.65,7812500,23.65
2016-06-06,23.65,24.2,23.6,23.9,6908100,23.9
2016-06-07,24.1,24.45,23.85,24.1,7522500,24.1
2016-06-08,24.4,24.6,24.2,24.45,8071800,24.45
2016-06-09,24.5,25.9,24.4,25.35,16512200,25.35
2016-06-10,25.4,26,25,25.1,11228700,25.1
2016-06-13,24.7,25.55,24.5,25.4,8330700,25.4
2016-06-14,25.3,26.25,25.3,26,9656900,26
2016-06-15,26,26.35,25.5,25.75,5138400,25.75
2016-06-16,25.8,26.1,25.2,25.85,10650500,25.85
2016-06-17,26.05,26.15,25.5,25.7,4748000,25.7
2016-06-20,25.25,26.2,25.25,25.9,6087900,25.9
2016-06-21,25.95,26,25.55,25.7,4785900,25.7
2016-06-22,25.65,25.8,25.25,25.4,3178800,25.4
2016-06-23,25.35,25.55,25,25.35,4399100,25.35
2016-06-24,24.5,25.05,23.6,24.7,11107700,24.7
2016-06-27,24.65,26.6,24.55,26.2,28447300,26.2
2016-06-28,26.3,26.3,25.6,25.85,10103700,25.85
2016-06-29,25.9,26.5,25.6,26.2,9743000,26.2
2016-06-30,26.4,27.1,26.1,26.75,15741100,26.75
2016-07-01,26.75,27.25,26.65,26.85,8215000,26.85
2016-07-04,27.1,28.2,27.1,28,14654800,28
2016-07-05,28.2,28.35,27.4,27.7,8205000,27.7
2016-07-06,27.7,27.7,27.7,27.7,0,27.7
2016-07-07,27.8,28.1,27.45,27.55,6094500,27.55
2016-07-08,27.5,27.75,27.05,27.55,5465000,27.55
2016-07-11,27.9,28.25,27.7,27.95,5126300,27.95
2016-07-12,28.1,29.35,27.5,28.85,15825800,28.85
2016-07-13,28.95,28.95,27.7,28.35,8830000,28.35
2016-07-14,28.4,29.2,28.15,28.9,10713200,28.9
2016-07-15,29,29,28.35,28.6,7055800,28.6
2016-07-18,28.65,28.85,27.95,28.05,3346800,28.05
2016-07-19,28.05,28.95,27.65,28.6,8534700,28.6
2016-07-20,28.65,28.9,28.5,28.65,3514800,28.65
2016-07-21,28.65,28.8,28,28.05,3635900,28.05
2016-07-22,28.05,29.5,28,29.15,9670800,29.15
2016-07-25,29.1,30.5,28.75,30.1,19271400,30.1
2016-07-26,30.25,30.45,29.25,29.45,8922600,29.45
2016-07-27,29.5,30.05,28.85,29.45,7766700,29.45
2016-07-28,29.65,30.2,29.3,29.4,18880300,29.4
2016-07-29,29.2,29.45,28.9,29,4477200,29
2016-08-01,29.2,29.35,27.95,28.65,6410700,28.65
2016-08-02,28.65,28.95,28,28.1,5727600,28.1
2016-08-03,28.1,28.6,27.8,27.9,5827100,27.9
2016-08-04,28.1,28.3,27.75,28,4175300,28
2016-08-05,28.15,28.6,27.9,28.45,4999200,28.45
2016-08-08,27.6,27.65,26.55,26.65,9980500,26.65
2016-08-09,26.6,26.95,26.25,26.8,6848900,26.8
2016-08-10,26.95,26.95,26.05,26.1,7348200,26.1
2016-08-11,26.5,26.65,25.95,26.3,6018200,26.3
2016-08-12,26.5,26.65,26.2,26.5,4340200,26.5
2016-08-15,26.5,26.5,26.5,26.5,0,26.5
2016-08-16,26.5,27.1,26.3,26.95,6410600,26.95
2016-08-17,26.75,27.2,26.75,27.05,3939700,27.05
2016-08-18,27.1,27.5,27.1,27.35,4125600,27.35
2016-08-19,27.4,28.2,27.25,28.15,12520700,28.15
2016-08-22,28,28.85,27.6,28.15,12818000,28.15
2016-08-23,28,28.7,27.95,28.3,5311100,28.3
2016-08-24,28.25,28.6,28.1,28.35,3538900,28.35
2016-08-25,28.75,28.8,27.4,27.6,11058500,27.6
2016-08-26,27.7,27.75,26.9,27.25,6116200,27.25
2016-08-29,27.25,27.9,26.75,27.8,6724100,27.8
2016-08-30,27.9,28.15,27.7,28,5946600,28
2016-08-31,28.05,28.75,27.85,28.35,8117800,28.35
2016-09-01,28.45,28.7,27.8,27.85,6158300,27.85
2016-09-02,27.9,28.5,27.85,28.35,3867900,28.35
2016-09-05,28.35,28.35,28.35,28.35,0,28.35
2016-09-06,28.5,28.8,28.4,28.7,4218300,28.7
2016-09-07,28.8,29.55,28.4,29,8553200,29
2016-09-08,29,29.45,28.6,29,5753000,29
2016-09-09,29,29.25,28.55,28.75,5021300,28.75
2016-09-12,28.3,28.3,27.55,27.65,4952800,27.65
2016-09-13,27.65,27.65,27.65,27.65,0,27.65
2016-09-14,27.7,28.25,27.6,28.1,2625500,28.1
2016-09-15,28.15,28.45,27.75,28.15,4056700,28.15
