"Date","KSCL.NS.Open","KSCL.NS.High","KSCL.NS.Low","KSCL.NS.Close","KSCL.NS.Volume","KSCL.NS.Adjusted"
2016-07-14,423.05,426.5,411,424.65,402200,424.65
2016-07-15,424.65,429.4,420.5,423.55,248600,423.55
2016-07-18,423.9,432,421,423.1,271000,423.1
2016-07-19,424.05,424.95,414.4,416.8,463700,416.8
2016-07-20,417.8,419.95,415.15,416.7,444700,416.7
2016-07-21,417,425.75,396.95,398.65,936500,398.65
2016-07-22,400,401.7,383.1,387.65,1030600,387.65
2016-07-25,389.7,399.95,375.6,378.8,1454500,378.8
2016-07-26,380.5,386.8,371.1,373.7,889900,373.7
2016-07-27,376.4,389,374,380.95,959200,380.95
2016-07-28,383,400,380,391.3,1389500,391.3
2016-07-29,392.75,398,387.5,390.95,536500,390.95
2016-08-01,394.3,394.3,379.9,381.1,301100,381.1
2016-08-02,381.9,385.9,370.1,371.3,543400,371.3
2016-08-03,370.4,378,367.15,372.55,387700,372.55
2016-08-04,372.95,385.95,372.95,375.8,653300,375.8
2016-08-05,375.8,380.75,374,375.85,279100,375.85
2016-08-08,374.25,379.45,365.65,368.25,430400,368.25
2016-08-09,369.75,371.15,353.45,363.1,669500,363.1
2016-08-10,363.45,379.5,363.1,375.55,644300,375.55
2016-08-11,376.15,386,374.5,379.35,743200,379.35
2016-08-12,380.9,387.5,376.45,381.05,332100,381.05
2016-08-15,381.05,381.05,381.05,381.05,0,381.05
2016-08-16,381.5,384,371.85,374.85,345100,374.85
2016-08-17,374.7,382.2,373,374.95,620600,374.95
2016-08-18,375.25,380.4,372.2,376.35,387800,376.35
2016-08-19,377.75,382.9,376.65,378.75,408800,378.75
2016-08-22,379,380.6,375.05,376.75,324100,376.75
2016-08-23,377.75,379.55,373.55,375.35,146700,375.35
2016-08-24,375.5,380.85,367.1,377.05,689400,377.05
2016-08-25,380.25,386,368.85,371.3,626200,371.3
2016-08-26,372.8,377.35,371.9,373.6,359300,373.6
2016-08-29,373,379.4,370.05,374.5,349000,374.5
2016-08-30,374.5,379.15,370.2,371.65,303500,371.65
2016-08-31,371.1,373.75,357.55,359.7,592000,359.7
2016-09-01,359,359.5,341,342.35,1170200,342.35
2016-09-02,341.5,341.5,324.5,327.4,1619200,327.4
2016-09-05,327.4,327.4,327.4,327.4,0,327.4
2016-09-06,328.4,343.5,328.4,339.7,955400,339.7
2016-09-07,344,354.7,344,351.15,882400,351.15
2016-09-08,351,359.5,346.7,357.5,906300,357.5
2016-09-09,356.65,358.5,348.25,352.9,374400,352.9
2016-09-12,346.95,358.25,330.05,336.5,738100,336.5
2016-09-13,336.5,336.5,336.5,336.5,0,336.5
2016-09-14,338,360.25,336.25,352.9,2624600,352.9
2016-09-15,354,354,341,344.85,836900,344.85
2016-09-16,346.5,356,345.35,354,903800,354
2016-09-19,351.25,364,345.35,358.25,795900,358.25
2016-09-20,359.45,363,353,356.45,570000,356.45
2016-09-21,357.6,360.6,352,354.3,198800,354.3
2016-09-22,357.7,365.55,356.05,362.25,541400,362.25
2016-09-23,363.9,371.85,358.65,369.2,482000,369.2
2016-09-26,371,374.85,363.2,369,527300,369
2016-09-27,372.75,372.8,365,367.9,307700,367.9
2016-09-28,369,370.3,361.7,365.95,324500,365.95
2016-09-29,368.7,368.7,342.5,352.7,777500,352.7
2016-09-30,351.95,361.85,345.8,358.15,247600,358.15
2016-10-03,359.1,381,354,379.1,838800,379.1
2016-10-04,381,385.5,379,382.95,510300,382.95
2016-10-05,384.95,412.9,380.9,410.75,1677300,410.75
2016-10-06,412,422.9,396.85,416.95,1289100,416.95
2016-10-07,418,423.9,411.1,417.4,822500,417.4
2016-10-10,417.4,432,413,425.45,720800,425.45
2016-10-11,425.45,425.45,425.45,425.45,0,425.45
2016-10-12,425.45,425.45,425.45,425.45,0,425.45
2016-10-13,425,425,406,414.05,462500,414.05
2016-10-14,415.8,420.65,411.45,414.85,251300,414.85
2016-10-17,415,418,407.4,415.1,329500,415.1
2016-10-18,416,438.75,416,435.25,1110600,435.25
2016-10-19,435.8,444.9,429,439.55,1155500,439.55
2016-10-20,439.95,444.4,435,438.3,522200,438.3
2016-10-21,439,439,430.8,437.1,287900,437.1
2016-10-24,437,450.75,435.4,442.2,845300,442.2
2016-10-25,441.4,442.5,423,440.5,1007000,440.5
2016-10-26,441.55,445.6,433.6,438.7,486500,438.7
2016-10-27,440.15,440.75,425.4,428.15,293300,428.15
2016-10-28,430,437.05,427,431.95,419300,431.95
2016-10-31,431.95,431.95,431.95,431.95,0,431.95
2016-11-01,433.45,435.1,429.05,432.2,150100,432.2
2016-11-02,430,440,425,428.05,436200,428.05
2016-11-03,428.95,434,418.5,424.05,247100,424.05
2016-11-04,421,423.8,395.6,399.05,580900,399.05
2016-11-07,404,405.9,397,401.45,287700,401.45
2016-11-08,406.7,407.7,401,404.6,231700,404.6
2016-11-09,380,398,363.35,388.8,372700,388.8
2016-11-10,393,412.95,393,401.9,271300,401.9
