"Date","ULTRACEMCO.NS.Open","ULTRACEMCO.NS.High","ULTRACEMCO.NS.Low","ULTRACEMCO.NS.Close","ULTRACEMCO.NS.Volume","ULTRACEMCO.NS.Adjusted"
2016-07-08,3371.1,3409.9,3369.1,3400.05,308200,3400.05
2016-07-11,3425.25,3472,3419.1,3454.55,218200,3454.55
2016-07-12,3454.55,3499.95,3454.1,3487.3,301300,3487.3
2016-07-13,3487,3495.95,3425,3434.65,254500,3434.65
2016-07-14,3440,3511,3440,3500.6,283300,3500.6
2016-07-15,3507,3559.25,3507,3531.35,233800,3531.35
2016-07-18,3535,3548,3482.8,3498.45,149100,3498.45
2016-07-19,3525,3562,3474.1,3507.75,753800,3507.75
2016-07-20,3510,3570,3507.75,3559.85,217800,3559.85
2016-07-21,3575,3665,3559,3638.5,359700,3638.5
2016-07-22,3650,3652.05,3602.9,3639.7,172900,3639.7
2016-07-25,3630,3680,3612,3670,294400,3670
2016-07-26,3674,3697.4,3615.6,3628.3,164000,3628.3
2016-07-27,3642.15,3690,3637.15,3650.75,164300,3650.75
2016-07-28,3653.5,3714.9,3644.55,3678.75,236400,3678.75
2016-07-29,3681.1,3739.4,3669.85,3718.2,215000,3718.2
2016-08-01,3730,3769.95,3725.75,3755.7,237300,3755.7
2016-08-02,3745.1,3757,3660,3676.7,200700,3676.7
2016-08-03,3671,3699.9,3650.4,3667.7,140500,3667.7
2016-08-04,3677.1,3699.95,3636.75,3656.55,114100,3656.55
2016-08-05,3674.4,3843,3670,3806.9,283500,3806.9
2016-08-08,3833.7,3833.7,3750,3780.25,168800,3780.25
2016-08-09,3782,3838,3757.65,3801.95,175300,3801.95
2016-08-10,3808,3810,3712.6,3728.95,208300,3728.95
2016-08-11,3728.7,3783.5,3658.2,3706.65,211900,3706.65
2016-08-12,3738.4,3765.5,3661.3,3722.1,197700,3722.1
