"Date","GLENMARK.NS.Open","GLENMARK.NS.High","GLENMARK.NS.Low","GLENMARK.NS.Close","GLENMARK.NS.Volume","GLENMARK.NS.Adjusted"
2016-06-30,795,805.95,793.6,799.05,1342600,797.1557
2016-07-01,800,812,797.5,801.15,654100,799.2508
2016-07-04,816,822.5,808.05,820.15,444100,818.2057
2016-07-05,825.5,832.95,821.25,824.9,1453900,822.9445
2016-07-06,824.9,824.9,824.9,824.9,0,822.9445
2016-07-07,830,833.5,815.1,818.95,780400,817.0086
2016-07-08,820.8,846,820.05,836,1056000,834.0181
2016-07-11,844.35,848.05,837.2,845.85,773500,843.8448
2016-07-12,844.2,846.75,830.1,838.35,279300,836.3625
2016-07-13,839,848.7,833.2,844.95,559700,842.9469
2016-07-14,848,851.5,841.55,848.4,335700,846.3888
2016-07-15,852,858.45,846.75,852.25,483800,850.2296
2016-07-18,853,855.9,832,834.05,269700,832.0727
2016-07-19,827,837,825.15,832.1,297200,830.1274
2016-07-20,852.4,857.9,845,852.7,1096100,850.6786
2016-07-21,857,863.6,845,850.6,391100,848.5835
2016-07-22,851.6,870,842.7,863.15,578800,861.1038
2016-07-25,870.5,872,859.25,864.7,457300,862.6501
2016-07-26,868,868.95,836.5,843.1,390600,841.1013
2016-07-27,845,851.9,838,850.45,318500,848.4339
2016-07-28,846,857.75,840,851.45,441500,849.4315
2016-07-29,857.85,864.75,851.25,860.95,452200,858.909
2016-08-01,865.5,866.65,848.05,856.55,368200,854.5194
2016-08-02,857.25,864.15,834.5,843.65,264900,841.65
2016-08-03,845,845,814.25,822.35,601800,822.35
2016-08-04,830,833.45,817.15,824.45,514000,824.45
2016-08-05,829,844.95,827.25,843,226700,843
2016-08-08,851.1,860.5,843.55,858.4,290100,858.4
2016-08-09,860,870.5,854.1,867.15,488300,867.15
2016-08-10,870,874.9,840.2,849.05,533700,849.05
2016-08-11,848,848,820.4,833.55,460700,833.55
2016-08-12,834.9,870,827.3,844.4,2196400,844.4
2016-08-15,844.4,844.4,844.4,844.4,0,844.4
2016-08-16,836.6,862.95,836.6,859.25,580200,859.25
2016-08-17,863.35,870,854.5,862.45,345500,862.45
2016-08-18,864,877.95,862.6,871.3,491300,871.3
2016-08-19,877.9,877.9,861.35,865.25,261000,865.25
2016-08-22,869,869,850.05,855.55,189100,855.55
2016-08-23,854.8,854.8,841,848.7,326000,848.7
2016-08-24,852,865,847,856.25,445500,856.25
2016-08-25,862.25,872,845,848.75,549400,848.75
2016-08-26,851,855.4,842.7,849.6,166100,849.6
2016-08-29,852,862,838,857.2,325100,857.2
2016-08-30,860.05,862.1,847.25,851.95,282700,851.95
2016-08-31,854.8,858.95,837.05,841.1,384500,841.1
2016-09-01,844,847,837.2,840.45,178200,840.45
2016-09-02,847,847,832.7,838.6,259100,838.6
2016-09-05,838.6,838.6,838.6,838.6,0,838.6
2016-09-06,845.5,850.7,833.6,845.9,381700,845.9
2016-09-07,846.5,882,843.15,876.6,959700,876.6
2016-09-08,880.5,904,879.35,901.75,983400,901.75
2016-09-09,907.75,914.7,890.15,896.7,717700,896.7
2016-09-12,889.7,904.4,871.55,874.85,755400,874.85
2016-09-13,874.85,874.85,874.85,874.85,0,874.85
2016-09-14,884,898.95,876.15,893.4,550800,893.4
2016-09-15,899,904.5,882.65,889.2,553500,889.2
2016-09-16,894,922.55,891,913.35,1135800,913.35
2016-09-19,919.95,929.9,907,920.55,881900,920.55
2016-09-20,921.7,922,901.5,904.6,481700,904.6
2016-09-21,909,911.9,897.35,901.15,348000,901.15
2016-09-22,911.15,933.45,908.05,930,969500,930
2016-09-23,935,954,932,945.75,1216300,945.75
2016-09-26,941.6,955.5,921,923.95,756600,923.95
