"Date","HDIL.NS.Open","HDIL.NS.High","HDIL.NS.Low","HDIL.NS.Close","HDIL.NS.Volume","HDIL.NS.Adjusted"
2015-04-16,134.25,135.4,125.05,128.1,15629500,128.1
2015-04-17,128.5,132,128.1,129.6,12925700,129.6
2015-04-20,130,130.25,113.6,117.55,22054000,117.55
2015-04-21,118.55,124.3,117.25,121.15,17910500,121.15
2015-04-22,122.25,126.25,118.75,123.85,18705700,123.85
2015-04-23,125.25,126,120.3,121.15,11558700,121.15
2015-04-24,121.2,121.65,114.6,115.45,13918400,115.45
2015-04-27,116.2,116.65,105.55,107.2,13809400,107.2
2015-04-28,106.95,114.9,103.7,114,16604900,114
2015-04-29,113.8,116.5,111.75,114.35,14219300,114.35
2015-04-30,113,119.3,111.2,118.3,15386400,118.3
2015-05-01,118.3,118.3,118.3,118.3,0,118.3
2015-05-04,119.5,122.65,117.55,121.5,11350600,121.5
2015-05-05,121.9,125.25,121.2,122.5,11079600,122.5
2015-05-06,121.7,122.35,108.3,110,19660700,110
2015-05-07,108.35,111.4,106.05,109.2,14853000,109.2
2015-05-08,111.7,123.15,111.7,119.95,19723600,119.95
2015-05-11,121,124.3,118.45,119.95,14718900,119.95
2015-05-12,119,119.35,110,110.8,13653400,110.8
2015-05-13,111.95,115.3,106.35,110.8,27497000,110.8
2015-05-14,110.8,117.15,108.1,116,21789600,116
2015-05-15,116.2,117.9,99.7,107.55,52003700,107.55
2015-05-18,108,108.4,103.25,105.1,26378500,105.1
2015-05-19,104.9,108.3,103.75,107.25,18585500,107.25
