"Date","WIPRO.NS.Open","WIPRO.NS.High","WIPRO.NS.Low","WIPRO.NS.Close","WIPRO.NS.Volume","WIPRO.NS.Adjusted"
2016-05-05,539,545.29999,537,543.09998,1092100,539.75521
2016-05-06,546.70001,546.70001,531.59998,533.09998,1288200,529.8168
2016-05-09,532.95001,540.09998,531.5,539,1004200,535.68049
2016-05-10,538.75,542.09998,534.45001,538.65002,977100,535.33267
2016-05-11,534.40002,539.45001,533.09998,537.79999,723600,534.48787
2016-05-12,538,543.25,535.70001,542.29999,999000,538.96015
2016-05-13,542.70001,542.70001,537,539.65002,849000,536.32651
2016-05-16,540.70001,543.5,536.20001,540.79999,1167300,537.46939
2016-05-17,542,542.40002,538.04999,540.15002,1276700,536.82343
2016-05-18,538.90002,540.84998,535,539.54999,1428900,536.22709
2016-05-19,540,543.95001,537.25,542.95001,1253400,539.60617
2016-05-20,543.40002,547.95001,542.5,543.40002,882400,540.05341
2016-05-23,544,544.45001,538.29999,539.84998,914100,536.52523
2016-05-24,539.84998,540.40002,535.54999,537.65002,991100,534.33883
2016-05-25,540,546.95001,539,546.09998,1245200,542.73674
2016-05-26,546.09998,548.79999,543,544.95001,1234900,541.59386
2016-05-27,543.15002,551,543,545.40002,1211300,542.0411
2016-05-30,547.20001,552.5,544.45001,550.15002,1069900,546.76184
2016-05-31,551,552,543.34998,545.45001,2070000,542.09078
2016-06-01,545.59998,555.79999,545.59998,554.5,1022400,551.08503
2016-06-02,556,558.95001,534.45001,540.40002,2580500,537.07189
2016-06-03,541.5,543.5,539,540.79999,1329100,537.46939
2016-06-06,541,541.90002,533.40002,535.09998,1932000,531.80448
2016-06-07,540,541.15002,537.20001,539.84998,1933800,536.52523
2016-06-08,541,545.04999,540,544.59998,1524200,541.24597
2016-06-09,547.09998,547.09998,542.20001,544.79999,1768100,541.44476
2016-06-10,544.5,547.15002,543,545.34998,1192300,541.99136
2016-06-13,540.59998,544.70001,538.84998,541.20001,652500,537.86695
2016-06-14,541.20001,544,540,543.09998,1050400,539.75521
2016-06-15,545.79999,547.75,542.29999,547.04999,424300,543.6809
2016-06-16,545.70001,551,541.54999,549.90002,690300,546.51338
2016-06-17,551.29999,554,549,552.04999,1615000,548.65011
2016-06-20,550,558.84998,545.09998,557.04999,1389200,553.61931
2016-06-21,557.70001,562.84998,553.40002,561,989400,557.545
2016-06-22,562.04999,564,559.5,563.15002,1385900,559.68178
2016-06-23,563,564.84998,559.34998,563.70001,671200,560.22838
2016-06-24,553.25,557.75,547.29999,555.15002,1351800,551.73105
2016-06-27,554.95001,554.95001,547.20001,548,1065900,544.62506
2016-06-28,544.95001,546.75,541.25,542.40002,992900,539.05957
2016-06-29,544.40002,557,542,554.54999,936300,551.13471
2016-06-30,557.70001,562.15002,555.04999,557.95001,1459700,554.51379
2016-07-01,559.75,565,557.04999,558.90002,538600,555.45795
2016-07-04,562,565,560,561.70001,994600,558.2407
2016-07-05,561.65002,569,556.04999,564.95001,905900,561.47068
2016-07-06,564.95001,564.95001,564.95001,564.95001,0,561.47068
2016-07-07,567,567.95001,557.54999,559.59998,1427600,556.1536
2016-07-08,559.59998,563.45001,555.04999,561.65002,871500,558.19102
2016-07-11,565,571,562.65002,568.84998,1032900,566.35503
2016-07-12,566.5,571.90002,565,570.79999,656000,568.29649
2016-07-13,573.90002,577.79999,569.79999,573.95001,1057100,571.4327
2016-07-14,569.54999,573.95001,565.5,570.59998,508800,568.09735
2016-07-15,569.90002,574.90002,553.20001,554.5,3427500,552.06799
2016-07-18,553.5,553.95001,544.79999,551.95001,1647100,549.52919
2016-07-19,545,553.75,544,549.25,2789500,546.84102
2016-07-20,518,541.25,518,538.84998,9520700,536.48661
2016-07-21,538.90002,544.79999,538.90002,542,1444400,539.62282
2016-07-22,540,541,535,537.75,1374300,535.39146
2016-07-25,537.70001,543.70001,535,542.84998,732800,540.46906
2016-07-26,542,550.75,540.95001,546.09998,1641000,543.70481
2016-07-27,546.09998,552.75,542.54999,549.15002,1412800,546.74148
2016-07-28,547.29999,556.75,544,553.79999,1148900,551.37105
