"Date","CASTROLIND.NS.Open","CASTROLIND.NS.High","CASTROLIND.NS.Low","CASTROLIND.NS.Close","CASTROLIND.NS.Volume","CASTROLIND.NS.Adjusted"
2016-07-26,414.85,418.2,408.6,410.75,654400,402.1264
2016-07-27,412,423.7,412,418.95,1200000,410.1542
2016-07-28,423,453.9,417,435.95,3873100,426.7973
2016-07-29,437,446.65,435,442.4,1188000,433.1119
2016-08-01,448,449.9,436.65,441.9,1905200,432.6224
2016-08-02,441.9,442,425.45,429.05,1125400,420.0422
2016-08-03,430,438.15,426,428.45,851300,419.4548
2016-08-04,431,432.8,421.1,424.3,1151600,415.3919
2016-08-05,420,428.5,414.8,421.65,1648900,417.2224
2016-08-08,423.05,424.3,415.7,417.4,1183900,413.0171
2016-08-09,421.25,421.9,415.25,418.2,836500,413.8087
2016-08-10,421.6,423,400.1,405.05,1998400,400.7967
2016-08-11,406,409.7,400,405.7,925900,401.4399
2016-08-12,406.5,410.5,404.15,408.3,735100,404.0126
2016-08-15,408.3,408.3,408.3,408.3,0,404.0126
2016-08-16,408,417.75,404.15,413.45,966500,409.1086
2016-08-17,414.8,417.7,411.1,412.35,591200,408.0201
2016-08-18,414,417.25,403,405.1,1385400,400.8462
2016-08-19,399,410.85,396.4,406.1,1835100,401.8357
2016-08-22,405,424.8,404.95,416.9,2363500,412.5223
2016-08-23,414,419.7,411,416.8,1266900,412.4234
2016-08-24,404.2,428.5,404.2,425.65,5264200,421.1804
2016-08-25,428.4,435.65,423.85,425.75,2665300,421.2794
2016-08-26,427.4,436.55,421.55,426.55,1306300,422.071
2016-08-29,429.4,430,424.2,425.75,424700,421.2794
2016-08-30,427.45,430,426,426.7,514800,422.2194
2016-08-31,427.35,451.3,427.35,447.05,2390900,442.3557
2016-09-01,448,474.4,448,463.5,3064000,458.633
2016-09-02,465.95,470.7,457.2,459.95,1039400,455.1203
2016-09-05,459.95,459.95,459.95,459.95,0,455.1203
2016-09-06,462.9,474.9,462.9,473.15,1001900,468.1817
2016-09-07,473.5,473.5,466.55,467.4,860600,462.492
2016-09-08,469,471.5,463.5,469.65,761700,464.7184
2016-09-09,471.5,478.65,464,471.2,1130300,466.2522
2016-09-12,470.95,472.5,456.15,464.5,1468800,459.6225
2016-09-13,464.5,464.5,464.5,464.5,0,459.6225
2016-09-14,463.7,464.2,440.05,444.65,1109900,439.9809
2016-09-15,442,447.65,436.6,439.7,587500,435.0829
2016-09-16,446,448.15,438,442.2,713700,437.5567
2016-09-19,442,442,420.05,422.55,2772700,418.113
2016-09-20,433.45,485.9,433.45,462.45,20565400,457.594
2016-09-21,463.4,464.9,454.9,458.3,3244200,453.4876
2016-09-22,465,476,459.25,470.45,2835100,465.51
2016-09-23,470.5,478.1,466,472.1,1642500,467.1427
2016-09-26,471,483.95,465.1,466.9,2431100,461.9973
2016-09-27,469.9,478.8,468.05,471.25,1471100,466.3016
2016-09-28,474,479.5,472.25,474.15,1594400,469.1712
2016-09-29,475,479.7,453.85,456.25,4824300,451.4591
2016-09-30,460,476.6,456.25,474.95,1822400,469.9628
2016-10-03,478.7,490.35,477.1,486.75,2430200,481.6389
2016-10-04,489.4,489.4,481.2,484.95,918000,479.8578
2016-10-05,486.95,495.3,482.8,486.3,1625900,481.1936
