"Date","HINDZINC.NS.Open","HINDZINC.NS.High","HINDZINC.NS.Low","HINDZINC.NS.Close","HINDZINC.NS.Volume","HINDZINC.NS.Adjusted"
2015-05-12,174.8,175.4,166.8,169.5,1529000,166.325
2015-05-13,170.4,174.5,169.8,173.8,803600,170.545
2015-05-14,172.9,176.75,171.65,176.05,930800,172.752
2015-05-15,177,177,172.8,175.3,620000,172.017
2015-05-18,175.1,176.9,174.5,175.2,429300,171.918
2015-05-19,175.05,179.45,174.9,177.65,533500,174.322
2015-05-20,177.05,177.8,174.95,176.1,536400,172.802
2015-05-21,175.7,178.4,173.65,177.45,644300,174.126
2015-05-22,177.45,180.1,176.35,177.35,1061100,174.028
2015-05-25,175,179.1,175,178.15,669000,174.813
2015-05-26,176.3,179,172,172.85,321500,169.612
2015-05-27,171.6,175,170.1,173.25,965800,170.005
2015-05-28,173.25,174.65,170.4,171.3,970200,168.091
2015-05-29,171.3,172.4,167.6,169.2,1432300,166.031
2015-06-01,169,170.25,167.2,167.7,725400,164.559
2015-06-02,170,171.3,166.5,167.2,820000,164.068
2015-06-03,167.8,168.8,164,167.9,914000,164.755
2015-06-04,168,171.5,166.5,169,1000900,165.835
2015-06-05,168.45,174,167.8,169.95,1098300,166.767
2015-06-08,172.3,172.3,168,169.35,510100,166.178
2015-06-09,168.4,171.9,168.1,169.25,504500,166.08
2015-06-10,168.5,169.45,164.1,168.05,1116200,164.902
2015-06-11,168,168.45,163.25,164,746500,160.928
2015-06-12,165,168,162.65,164.55,511300,161.468
2015-06-15,166.9,167.3,163.65,165.2,595900,162.106
2015-06-16,164.4,165.15,162.5,164.6,395400,161.517
2015-06-17,164.25,166.15,162.6,165.15,938200,162.057
2015-06-18,164.5,166.3,164,164.95,354200,161.86
2015-06-19,165.7,168,165,167.3,542800,164.166
2015-06-22,167.2,168.9,166,168.05,686700,164.902
2015-06-23,168.55,173.7,167,172.7,1217500,169.465
2015-06-24,173.75,173.8,168.55,169.25,469200,166.08
2015-06-25,168.6,169.9,166.5,168.55,716100,165.393
2015-06-26,168.9,171.2,167.9,170,434200,166.816
2015-06-29,167.8,170.5,166.3,169.4,976300,166.227
2015-06-30,169.2,170.55,165.1,167.1,1031300,163.97
2015-07-01,167.1,169.6,166.8,167.75,765000,164.608
2015-07-02,167.5,168.7,163.75,164.15,1166200,161.075
2015-07-03,164.1,164.35,161.05,161.65,1040500,158.622
2015-07-06,159.1,161.8,158.8,161.35,460200,158.328
2015-07-07,160.75,163,160.7,161.4,435600,158.377
2015-07-08,158.15,159,155.1,158.15,1147000,155.188
2015-07-09,158,160.9,157.6,160.3,535600,157.297
2015-07-10,161,161.6,158.1,158.8,720800,155.826
2015-07-13,159.4,160.35,157.3,159.65,354800,156.66
2015-07-14,159.9,162.25,159.3,160.5,543400,157.494
2015-07-15,161,164.2,160.65,163.6,534800,160.536
2015-07-16,164,164.7,162.3,164.3,482700,161.223
2015-07-17,166,166,163.2,164.25,408800,161.173
2015-07-20,165.4,168.4,162.7,166.4,1484100,163.283
2015-07-21,169.8,170.4,164,165.95,1096100,162.842
2015-07-22,164.1,165.65,163,164.05,490200,160.977
2015-07-23,164.1,166.9,164.1,165.9,294900,162.793
2015-07-24,166,166,163.6,164,354400,160.928
2015-07-27,164,165.75,161,163.7,677200,160.634
2015-07-28,163.5,163.5,155.5,156.35,964900,153.421
2015-07-29,156,159.7,153.05,158.65,745400,155.678
2015-07-30,160,160,156.1,158.25,416900,155.286
2015-07-31,159,159,156.65,157.05,170500,154.108
2015-08-03,157.6,162.5,156,161.75,563400,158.72
2015-08-04,161.85,162.25,157.05,158.45,570800,155.482
2015-08-05,157.5,160.4,157.5,158.5,514900,155.531
2015-08-06,158.9,161.1,155,155.6,1109900,152.686
2015-08-07,157.5,157.5,154.4,155.45,678400,152.538
2015-08-10,155.8,156.5,152.6,154.05,1139600,151.165
2015-08-11,155,155.3,150.75,151.3,1045800,148.466
2015-08-12,150,150.95,145.35,146.3,737900,143.56
2015-08-13,146.4,147.25,140.3,144.45,2291200,141.744
2015-08-14,146,147.15,143.1,145.4,1083900,142.677
2015-08-17,145.5,150.4,145,149.1,343200,146.307
2015-08-18,150.1,151.9,146.5,147.3,652100,144.541
2015-08-19,146,147.4,139.6,140.5,1808800,137.868
2015-08-20,140.7,141.65,137,139.55,628900,136.936
2015-08-21,138.7,139.5,135.1,137.15,667300,134.581
2015-08-24,135,135,118.1,122.45,1948200,120.156
2015-08-25,125,128.1,117.05,126.65,1288800,124.278
2015-08-26,126.7,128.6,121,127.05,1311700,124.67
2015-08-27,128.9,131.45,127.4,130.05,1595700,127.614
2015-08-28,133,134.9,130.7,131.7,1286300,129.233
2015-08-31,132,132,125.35,127.15,790900,124.768
2015-09-01,126.7,129.95,124.35,125.75,601700,123.395
