"Date","ZEEL.NS.Open","ZEEL.NS.High","ZEEL.NS.Low","ZEEL.NS.Close","ZEEL.NS.Volume","ZEEL.NS.Adjusted"
2016-03-17,389.7,392.85,383.6,387,1834900,383.259
2016-03-18,390.9,392.85,384.2,390.65,2219300,386.874
2016-03-21,392.8,393.55,385.25,391,1273100,387.221
2016-03-22,391.9,395.45,386.5,390,2031100,386.23
2016-03-23,390.45,394.75,386.35,388.5,2149600,384.745
2016-03-24,388.5,388.5,388.5,388.5,0,384.745
2016-03-25,388.5,388.5,388.5,388.5,0,384.745
2016-03-28,392,393,385.1,387.65,2045300,383.903
2016-03-29,387.35,388,379.15,381.9,1664500,378.209
2016-03-30,384,384,374.75,376.55,4315200,372.91
2016-03-31,378.2,388.3,372.55,386.95,3913800,383.21
2016-04-01,384,389.7,383.1,386.75,3562400,383.012
2016-04-04,387,396.25,387,394.75,1433000,390.935
2016-04-05,393.8,393.8,382.6,384.35,1443400,380.635
2016-04-06,385.15,389.9,384.25,387.95,916700,384.2
2016-04-07,392,392,383.1,384.35,593700,380.635
2016-04-08,384.35,391.1,382.5,389.1,948200,385.339
2016-04-11,389.1,395.8,387.6,394.65,868500,390.835
2016-04-12,390.75,406.5,390.75,405.7,1556900,401.779
2016-04-13,407.5,410,400.55,401.9,1173400,398.015
2016-04-14,401.9,401.9,401.9,401.9,0,398.015
2016-04-15,401.9,401.9,401.9,401.9,0,398.015
2016-04-18,403.4,409.55,397.75,407.75,1792200,403.809
2016-04-19,407.75,407.75,407.75,407.75,0,403.809
2016-04-20,411.75,411.75,398.45,399.9,2155300,396.035
2016-04-21,401.55,404.2,395.55,399.3,603300,395.441
2016-04-22,399.3,404,398.5,401.1,1038700,397.223
2016-04-25,401.1,402.9,395.65,400.7,953300,396.827
2016-04-26,397.3,414.9,397.3,413.5,2370700,409.503
2016-04-27,411.85,416.8,406.25,407.85,1175400,403.908
2016-04-28,409,410.25,401.7,405,2736600,401.085
2016-04-29,403.2,416.2,402,414.9,1474600,410.89
2016-05-02,414,417.55,411.25,416.4,1406100,412.375
2016-05-03,415,422.9,414.9,419.75,1808000,415.693
2016-05-04,416.7,417.95,402.7,404.55,1440800,400.64
2016-05-05,404.4,404.9,396.3,400.45,2185600,396.579
2016-05-06,400,405.25,397.8,403.1,873200,399.204
2016-05-09,403,422.85,403,420.7,1385000,416.634
2016-05-10,421,422,414.5,417.6,2321100,413.564
2016-05-11,420,451.95,419,447.95,11074700,443.62
2016-05-12,448,450.8,442.05,447.5,3706500,443.175
2016-05-13,447,454.15,441.05,448.85,2003000,444.512
2016-05-16,452,458.95,445.7,447.1,3336100,442.779
2016-05-17,447.75,453,443.35,445.2,2404800,440.897
2016-05-18,444,444,433.7,435.75,4031300,431.538
2016-05-19,437.95,440.55,430.25,438.15,2393500,433.915
2016-05-20,436.5,441.2,432.85,434.4,889100,430.201
2016-05-23,438,444.4,434.3,435.65,2402600,431.439
2016-05-24,437.5,440.85,431.35,439.1,2308000,434.856
2016-05-25,447.5,447.9,439.75,442.6,784700,438.322
2016-05-26,441,446.75,439.6,444.45,1784300,440.154
2016-05-27,445.95,455,443,453.4,1674500,449.018
2016-05-30,456.5,456.5,441.6,443.9,1365800,439.609
2016-05-31,445.9,448.95,438.55,443.35,1688300,439.065
2016-06-01,445.7,452.5,442.35,449.8,872300,445.452
2016-06-02,451.35,458.85,446.55,456.65,1156300,452.236
2016-06-03,457,461.8,453.85,456.55,1085000,452.137
2016-06-06,457,457,451.2,454.3,1391400,449.909
2016-06-07,452.2,466,452.2,462.8,1258000,458.327
2016-06-08,463,463,452.1,455.75,712700,451.345
2016-06-09,456,464.65,456,461.95,1542800,457.485
2016-06-10,459,464.4,457,458.75,838000,454.316
2016-06-13,453,465,451.25,463.75,777800,459.268
2016-06-14,465.1,466.4,452.8,455.55,1012200,451.147
2016-06-15,458,461.3,455.3,457.8,1041300,453.375
2016-06-16,457.95,457.95,447.5,451.9,1530500,447.532
2016-06-17,454.1,458,449.25,450.4,1797300,446.047
2016-06-20,448.1,452.75,446,449.95,1410800,445.601
2016-06-21,450.5,454.7,446.35,447.55,1634700,443.224
2016-06-22,447.55,452.5,445.45,448.3,1855600,443.967
2016-06-23,449.7,453.6,446,447.95,3701000,443.62
2016-06-24,440,451.05,434.95,448.4,2316700,444.066
2016-06-27,439.45,452.5,437.25,439.8,2851400,435.549
2016-06-28,438.8,439.85,433.5,436.9,2858800,432.677
2016-06-29,443.35,446,438.3,444.95,1259900,440.649
2016-06-30,446,461.5,444.3,456.5,2447800,452.088
2016-07-01,459.5,460,450.85,452.3,1003500,447.928
2016-07-04,455,463.5,452,461.75,1716900,457.287
2016-07-05,460,469.8,457.7,461.95,3169300,457.485
2016-07-06,461.95,461.95,461.95,461.95,0,457.485
2016-07-07,462,463.1,446.5,447.85,3383900,443.521
2016-07-08,452.65,455.9,448.7,453.1,1993300,448.721
2016-07-11,458,458,448.95,454.45,1042400,450.057
2016-07-12,454.1,456,452.35,454.55,1745800,450.156
2016-07-13,453.5,461.5,452.8,457,990300,452.583
2016-07-14,450.1,468.25,448.3,466.3,1247600,461.793
2016-07-15,467.4,474,463.5,471.95,1688000,467.388
2016-07-18,470.9,474.8,459.8,461.05,904200,456.594
2016-07-19,466.5,470.5,460.25,466.45,935800,461.941
2016-07-20,466,470.6,459.3,462.45,1201100,460.2
2016-07-21,462.5,463.7,451.5,453.1,919600,453.1
2016-07-22,454.8,465.75,451.9,464.5,1048700,464.5
2016-07-25,464.6,475.9,462.05,474.75,2456700,474.75
2016-07-26,475.25,477,469,474.55,1771000,474.55
2016-07-27,490,494,475.7,487.85,4810700,487.85
2016-07-28,487.55,491.25,483.1,484.85,1673400,484.85
2016-07-29,489,500.35,479,497.3,1285000,497.3
2016-08-01,494.1,509.35,492.25,504.8,1446800,504.8
2016-08-02,502.5,505.4,494,499.5,1429900,499.5
2016-08-03,494.5,499,488.75,492.85,1466900,492.85
2016-08-04,495,495.65,483.8,487.5,1365500,487.5
2016-08-05,489,498,488.4,496.4,1491800,496.4
2016-08-08,504.6,504.6,495.85,500.4,719300,500.4
2016-08-09,498,513.95,494.05,512.3,1629900,512.3
2016-08-10,511.75,517.8,508.05,515,1930200,515
2016-08-11,515,515.65,497.15,501.5,1554300,501.5
2016-08-12,501.4,507.55,497.95,506.25,1144200,506.25
2016-08-15,506.25,506.25,506.25,506.25,0,506.25
2016-08-16,501,507.2,498.4,504.6,954600,504.6
2016-08-17,505.6,506.15,496,498,819500,498
2016-08-18,502,504.8,498.1,501.2,768400,501.2
2016-08-19,503.8,505.2,499.25,503.55,714600,503.55
2016-08-22,501.2,512,501.2,509.75,852700,509.75
2016-08-23,509.05,517.95,505.5,514.6,1128700,514.6
2016-08-24,515,524,514.6,521.8,1525300,521.8
2016-08-25,522,525.6,507.45,510.8,1750400,510.8
2016-08-26,511.1,515.75,504,506,1939600,506
2016-08-29,506,532.55,505.05,530.1,3385000,530.1
2016-08-30,534,534.3,522.1,529.2,3109600,529.2
2016-08-31,522.55,543.95,522.55,539.5,5861200,539.5
2016-09-01,544.85,544.85,533.2,535.4,1539200,535.4
2016-09-02,540,540,530.3,533.45,1194500,533.45
2016-09-05,533.45,533.45,533.45,533.45,0,533.45
2016-09-06,534,539.25,531,538.25,1076500,538.25
2016-09-07,536.2,537.6,530.25,535.15,1112000,535.15
2016-09-08,537.05,542.4,533.3,538.7,1258000,538.7
2016-09-09,537.9,539.25,531.3,533.4,877300,533.4
2016-09-12,529.95,529.95,511.8,515.55,1518800,515.55
2016-09-13,515.55,515.55,515.55,515.55,0,515.55
2016-09-14,516.2,520.95,507.4,518.15,2913300,518.15
2016-09-15,520,535.1,512.7,530.85,3332900,530.85
2016-09-16,531,536.45,516.65,519.45,2508800,519.45
2016-09-19,519,528.6,518.4,525.75,1711900,525.75
2016-09-20,521.8,529.35,520.1,525.35,2177100,525.35
2016-09-21,526,530,520,526.25,1535200,526.25
2016-09-22,532,535,523.6,525.65,2089400,525.65
2016-09-23,526.3,529.95,522.8,524.6,1274900,524.6
2016-09-26,525,532.45,523.55,530.65,1574100,530.65
2016-09-27,533,543.6,528.7,532.4,2744700,532.4
2016-09-28,530.9,552,527.05,548,2133200,548
2016-09-29,552,558.75,531.8,549.7,4017500,549.7
2016-09-30,547,553.5,540.55,546.75,1827500,546.75
2016-10-03,552.4,589.9,548.75,578.85,3906600,578.85
2016-10-04,580,580,558.75,563.3,2639700,563.3
2016-10-05,567.9,574.5,561.65,567.2,1350700,567.2
2016-10-06,566.65,570.4,552.15,554.9,2062300,554.9
2016-10-07,558.5,573.5,555.5,572.2,1273400,572.2
2016-10-10,569,575,562.55,568.6,821700,568.6
2016-10-11,568.6,568.6,568.6,568.6,0,568.6
2016-10-12,568.6,568.6,568.6,568.6,0,568.6
2016-10-13,568.6,568.6,539.15,546.55,2313800,546.55
2016-10-14,550.75,550.75,525,528.5,4313200,528.5
2016-10-17,531,531,497.25,502.65,6199300,502.65
2016-10-18,500,519.75,498.3,514.1,5249800,514.1
2016-10-19,515.95,516.6,504.85,508.35,3673400,508.35
2016-10-20,510.9,521.75,508.65,520.25,2148700,520.25
2016-10-21,518,528.6,517.7,522.85,2305900,522.85
