"Date","EICHERMOT.NS.Open","EICHERMOT.NS.High","EICHERMOT.NS.Low","EICHERMOT.NS.Close","EICHERMOT.NS.Volume","EICHERMOT.NS.Adjusted"
2016-07-22,19825,19858.6,19610,19812.5,15100,19812.5
2016-07-25,19850,20040,19771.2,19972.1,23500,19972.1
2016-07-26,19980,20149,19850,20112.2,29100,20112.2
2016-07-27,20132.4,20445,20080,20339.8,35600,20339.8
2016-07-28,20499,21249,20460.1,21099.8,136300,21099.8
2016-07-29,21599,22520,21521.1,22460.8,199100,22460.8
2016-08-01,22749.8,22853.9,22211.1,22325.2,89500,22325.2
2016-08-02,22351.1,22550,21800,21846.4,48700,21846.4
2016-08-03,21979.9,22160.8,21240.1,21368.4,63300,21368.4
2016-08-04,21582.1,21641.5,21005,21404,47500,21404
2016-08-05,21600,22299,21516.4,22223.2,48300,22223.2
2016-08-08,22430.9,22480.8,22079.2,22431.7,28900,22431.7
2016-08-09,22489,22489,21765.8,22082.4,25700,22082.4
2016-08-10,22082.4,22087.3,21620.3,21739.7,31400,21739.7
2016-08-11,21735,22400,21525.2,22268.3,44400,22268.3
2016-08-12,22359.9,22523,22079.2,22321.6,32300,22321.6
2016-08-15,22321.6,22321.6,22321.6,22321.6,0,22321.6
2016-08-16,22334.8,22649,22141.2,22461.7,41200,22461.7
2016-08-17,22500,22500,22212.1,22348.1,22500,22348.1
2016-08-18,22348,22480.9,22078.1,22174.8,20200,22174.8
2016-08-19,22279,22399.9,21713,21777.3,30500,21777.3
2016-08-22,21795,21959.9,21547.3,21795,32500,21795
2016-08-23,21749,22061,21654,22009.8,23000,22009.8
2016-08-24,22168,22230,21890,22132.2,28800,22132.2
2016-08-25,22230,22353.5,21971.3,22090.6,40100,22090.6
