"Date","SAIL.NS.Open","SAIL.NS.High","SAIL.NS.Low","SAIL.NS.Close","SAIL.NS.Volume","SAIL.NS.Adjusted"
2015-03-24,347,350.75,342.5,348.25,13615100,69.36
2015-03-25,350.75,351.75,344.5,350.25,15073000,69.76
2015-03-26,348.5,357,346.5,354,22707200,70.5
2015-03-27,353.5,353.5,336.75,344.5,17450700,68.61
2015-03-30,345.25,345.75,340,345,12854300,68.71
2015-03-31,344.75,345,333,337,18180300,67.12
2015-04-01,333.25,355,332.75,351,14824700,69.91
2015-04-02,351,351,351,351,0,69.91
2015-04-03,351,351,351,351,0,69.91
2015-04-06,353,355,345.25,346.5,16397200,69.01
2015-04-07,346.75,367,344.5,364,21515700,72.5
2015-04-08,361.5,365.75,357.5,361.5,12225300,72
2015-04-09,360,371.5,355,367.25,21695100,73.14
2015-04-10,363,378.75,363,375.5,16425900,74.79
2015-04-13,375,382.25,373,379.5,10029100,75.58
2015-04-14,379.5,379.5,379.5,379.5,0,75.58
2015-04-15,376.5,384,371,375,8566900,74.69
2015-04-16,373.5,382,369,378.75,10186700,75.43
2015-04-17,379.5,395,373.75,385.75,18939200,76.83
2015-04-20,386,389.25,363.25,367.25,12094200,73.14
2015-04-21,367.5,375.75,366.75,369.75,9715300,73.64
2015-04-22,368,374.75,358.75,363.25,13090900,72.35
2015-04-23,362.5,378.25,361.5,370,22732000,73.69
2015-04-24,372.25,373.75,364.75,370,9623700,73.69
2015-04-27,370.25,381,365.25,370,23645100,73.69
2015-04-28,370,374.5,366,369.5,14400000,73.59
2015-04-29,370.25,374.25,366.25,368.5,14511900,73.39
2015-04-30,367.75,368,345,347.25,52798800,69.16
2015-05-01,347.25,347.25,347.25,347.25,0,69.16
2015-05-04,349.75,361.5,347.5,357.75,15878200,71.25
2015-05-05,359.5,368.5,358.25,367.25,14766500,73.14
2015-05-06,366.5,368.5,351,353.25,17171600,70.36
2015-05-07,353.25,353.5,334,335.75,23131400,66.87
2015-05-08,342.25,344.25,335.5,337.5,16625800,67.22
2015-05-11,345,351.5,342.75,344.25,16048400,68.56
2015-05-12,344.25,350.5,334.5,335,18398100,66.72
2015-05-13,67.9,68.3,66.35,66.85,3142400,66.57
2015-05-14,67,67.75,66.75,66.95,3158200,66.67
2015-05-15,67.1,67.45,66.75,67.05,1509900,66.77
2015-05-18,67.1,67.9,66.9,67.3,1531700,67.02
2015-05-19,67.35,67.9,67,67.2,1228300,66.92
2015-05-20,67.45,67.65,66.8,67.05,1356700,66.77
2015-05-21,67.45,67.45,65.65,66.3,1592900,66.02
2015-05-22,66.8,66.8,65.9,66.05,881700,65.77
2015-05-25,66.4,66.6,65.4,65.7,1122400,65.43
2015-05-26,65.85,66.25,65.25,66,1488100,65.72
2015-05-27,65.8,66.5,65.1,66.3,1819000,66.02
2015-05-28,66.3,67.2,65.5,65.8,4969500,65.53
2015-05-29,65.95,66.3,65.3,65.9,1809400,65.62
2015-06-01,65.65,66.8,65.3,66.3,1390800,66.02
2015-06-02,66.6,67.3,65.45,65.75,1552600,65.48
2015-06-03,65.9,66.5,64.15,65,2129900,64.73
2015-06-04,65.55,65.6,61.45,62.25,2593800,61.99
2015-06-05,61.5,64.7,60.5,63.9,3711000,63.63
2015-06-08,65,65.1,62,62.65,2519500,62.39
2015-06-09,63.5,63.5,62,62.65,1747800,62.39
2015-06-10,62.55,63.3,62.5,62.95,1325200,62.69
2015-06-11,63.5,63.5,60.55,60.85,2196800,60.6
2015-06-12,60.85,60.9,59.3,60.25,1765000,60
2015-06-15,60.5,60.85,59.05,59.25,1418100,59
2015-06-16,59.8,60.15,59.05,59.9,1293900,59.65
2015-06-17,59.65,62.9,59.65,61.2,2669600,60.94
2015-06-18,61.3,61.7,60.7,61.1,1403200,60.84
2015-06-19,61.65,62.2,60.25,60.45,2399000,60.2
2015-06-22,60.95,62.9,60.65,62.6,2478500,62.34
2015-06-23,62.7,63.6,62.3,63,1355500,62.74
2015-06-24,63.15,63.35,61.4,61.85,1308000,61.59
