"Date","VOLTAS.NS.Open","VOLTAS.NS.High","VOLTAS.NS.Low","VOLTAS.NS.Close","VOLTAS.NS.Volume","VOLTAS.NS.Adjusted"
2016-05-16,324.55,328.45,320.5,325.05,1689400,322.62
2016-05-17,325.6,344.9,316.05,334.55,4753700,332.049
2016-05-18,348.8,349,326.1,331.15,8199700,328.675
2016-05-19,331.75,336.9,318.75,323.05,3049400,320.635
2016-05-20,324,333.5,319.9,331.7,2368700,329.221
2016-05-23,333.5,335.7,327.55,328.8,1586800,326.342
2016-05-24,325.55,328.8,324.05,326.25,1266800,323.811
2016-05-25,330.8,339,329.1,337.15,2652200,334.63
2016-05-26,338.95,340.9,333.1,338.35,3199100,335.821
2016-05-27,340.45,342,334.3,336.8,1918000,334.283
2016-05-30,337.4,342.9,334.4,339.55,1030900,337.012
2016-05-31,340,340.8,335,335.9,700800,333.389
2016-06-01,336.05,342.25,329.7,333.35,1213900,330.858
2016-06-02,332,340.9,332,339.3,970900,336.764
2016-06-03,341,345.9,332.5,334.1,1592200,331.603
2016-06-06,335.2,336.2,330.9,333.35,424600,330.858
2016-06-07,334.9,340,331.9,336.7,714000,334.183
2016-06-08,337.2,339.2,334.25,336.65,591700,334.134
2016-06-09,338.8,341,333.45,334.85,765800,332.347
2016-06-10,332,332.95,325.5,327.05,1219300,324.605
2016-06-13,323,324,318.5,322.65,1151000,320.238
2016-06-14,324,331.6,321.5,330.05,805200,327.583
2016-06-15,331.9,332,326.6,330.35,905000,327.881
2016-06-16,330.1,331,321.25,323.45,854800,321.032
2016-06-17,326.95,326.95,316.65,319.8,1072900,317.41
2016-06-20,315.25,322,315.25,321.1,1580900,318.7
2016-06-21,323,325.4,321.75,323.3,951200,320.883
2016-06-22,325,326.5,319.4,322.8,782600,320.387
2016-06-23,321.1,323.9,318.65,321.5,774300,319.097
2016-06-24,311,313.65,297.5,309.4,2104600,307.087
2016-06-27,303.25,312.5,302.5,310.75,1023100,308.427
2016-06-28,311.2,316.2,311.15,314,801900,311.653
2016-06-29,317.7,322.85,316.2,319.75,1042400,317.36
2016-06-30,323.75,323.9,319,322.25,1487900,319.841
2016-07-01,322.5,324.35,316.85,317.7,904600,315.325
2016-07-04,318.1,323.7,317.75,320.8,951700,318.402
2016-07-05,320.4,327.6,320.4,325.2,1148300,322.769
2016-07-06,325.2,325.2,325.2,325.2,0,322.769
2016-07-07,328.3,328.3,313.8,315.55,1645500,313.191
2016-07-08,316.8,317.45,311.7,314.45,1144300,312.1
2016-07-11,316,319.7,315.2,316.4,1094000,314.035
2016-07-12,317.85,320.5,317.2,318.3,685200,315.921
2016-07-13,318.6,326,318.6,324.8,1598000,322.372
2016-07-14,325.95,329.2,324.7,325.85,1303800,323.414
2016-07-15,324,327.9,323,325.5,634400,323.067
2016-07-18,328,329.85,322.75,324.4,827800,321.975
2016-07-19,325.3,327.5,317.1,325.4,946500,322.968
2016-07-20,326,336.45,326,334.55,2464700,332.049
2016-07-21,337.8,339.8,334.05,335.4,1380100,332.893
2016-07-22,334.8,338.5,330.4,334.75,1579700,332.248
2016-07-25,335.5,337.7,328.7,335.95,801700,333.439
2016-07-26,338,347.25,337.25,341.9,2035100,339.344
2016-07-27,344.8,349.45,341.15,343.8,1549400,341.23
2016-07-28,343.8,348.5,340.85,346.8,987700,344.208
2016-07-29,346.95,354.9,344.7,349.55,910100,346.937
2016-08-01,350,374.9,350,371.15,3665900,368.376
2016-08-02,375,375.75,358.85,366.05,6290300,363.314
2016-08-03,358.8,360.7,341.8,345.2,2751900,342.62
2016-08-04,350.9,356.5,343,347.85,2223000,345.25
2016-08-05,348.9,351.95,345.6,348.85,1923200,348.85
2016-08-08,349.4,355.65,349.05,351.8,1354300,351.8
2016-08-09,351.8,353.25,345.15,347.65,932500,347.65
2016-08-10,348.5,352.6,343.7,348.05,1156700,348.05
2016-08-11,348.7,362.45,345.15,360.25,3161100,360.25
2016-08-12,362,367.6,361.2,365.75,3330000,365.75
2016-08-15,365.75,365.75,365.75,365.75,0,365.75
2016-08-16,366.95,373.35,363.6,371.9,2049000,371.9
2016-08-17,369.25,374.25,363.55,366.35,1960200,366.35
2016-08-18,369.4,369.65,364.45,365.75,674200,365.75
2016-08-19,366.5,384.6,366.5,382.6,2529700,382.6
2016-08-22,382.95,382.95,371.4,372.15,1987900,372.15
2016-08-23,372.15,377.75,369.2,372.4,957400,372.4
2016-08-24,370,389.9,370,388.2,2252600,388.2
2016-08-25,389.9,390.1,378,379.3,2595900,379.3
2016-08-26,381.8,393.5,380.2,391.75,2173600,391.75
2016-08-29,392.5,395,386.1,391.35,1466900,391.35
2016-08-30,394,396.5,391.1,394.75,1235400,394.75
2016-08-31,395,401.8,389.35,390.3,1532100,390.3
2016-09-01,392.8,393.8,385.05,387.4,1005000,387.4
2016-09-02,388.4,391.9,387.25,390.5,1013500,390.5
2016-09-05,390.5,390.5,390.5,390.5,0,390.5
2016-09-06,394,394.95,389.2,391.9,1047000,391.9
2016-09-07,392.6,396,389.8,391.3,802700,391.3
2016-09-08,391.8,392.35,385.6,390.15,1303500,390.15
2016-09-09,389.25,393.75,386.4,389.2,803400,389.2
2016-09-12,381.8,389,372.6,374.5,737300,374.5
2016-09-13,374.5,374.5,374.5,374.5,0,374.5
2016-09-14,374.95,378.2,367.9,376.1,1654000,376.1
2016-09-15,376.6,386.45,371.1,384.4,1055400,384.4
2016-09-16,387,388.2,374,378.7,1287600,378.7
2016-09-19,380,394,377.5,391.05,1304300,391.05
2016-09-20,392.95,392.95,381.15,382.8,1004500,382.8
2016-09-21,382.5,384.5,377.5,379.1,1363400,379.1
2016-09-22,382.7,385.45,376.2,379.5,1332800,379.5
2016-09-23,379.55,387.3,378.35,382.95,951800,382.95
2016-09-26,380.05,383.5,375.1,378.25,1124000,378.25
2016-09-27,379,384.95,378.85,381.45,808200,381.45
2016-09-28,380.05,384,378.05,380.9,1096300,380.9
2016-09-29,383.4,385.4,358.25,370.15,2285000,370.15
2016-09-30,368.7,380.65,366,379.1,1423600,379.1
2016-10-03,382.2,391.35,380.4,388.75,991300,388.75
2016-10-04,389.9,399.95,386.4,397.15,922900,397.15
2016-10-05,401.3,404.4,393.65,396.15,1788500,396.15
2016-10-06,396.6,399.75,385,388.55,990100,388.55
2016-10-07,387.15,391,381.6,388.8,673800,388.8
2016-10-10,391.95,395,387.4,389.15,656500,389.15
2016-10-11,389.15,389.15,389.15,389.15,0,389.15
