"Date","SRTRANSFIN.NS.Open","SRTRANSFIN.NS.High","SRTRANSFIN.NS.Low","SRTRANSFIN.NS.Close","SRTRANSFIN.NS.Volume","SRTRANSFIN.NS.Adjusted"
2015-02-13,1219.85,1272,1216.25,1260,785600,1227.29
2015-02-16,1264,1284.45,1211.5,1221.4,413200,1189.69
2015-02-17,1221.4,1221.4,1221.4,1221.4,0,1189.69
2015-02-18,1217,1265,1215,1250.7,575200,1218.23
2015-02-19,1255,1263,1202,1227.8,291200,1195.92
2015-02-20,1239,1239,1204.3,1214.35,485600,1182.82
2015-02-23,1219.95,1228.7,1190.7,1210.5,447300,1179.07
2015-02-24,1213,1213,1150,1160.3,994800,1130.17
2015-02-25,1164,1191.55,1163.9,1180.2,542300,1149.56
2015-02-26,1180,1202.8,1151.2,1170.6,698400,1140.21
2015-02-27,1170,1178.8,1141,1157.3,897000,1127.25
2015-03-02,1235,1242.2,1200.55,1216.05,805200,1184.48
2015-03-03,1220.95,1246,1220.95,1240.3,457200,1208.1
2015-03-04,1255,1287.7,1201,1209.25,380600,1177.85
2015-03-05,1212,1212,1172.65,1188.15,379300,1157.3
2015-03-06,1188.15,1188.15,1188.15,1188.15,0,1157.3
2015-03-09,1188,1228,1172.5,1195,693400,1163.97
2015-03-10,1196.3,1214.7,1174,1191.85,392500,1160.91
2015-03-11,1196,1202.35,1158,1166.6,454000,1136.31
2015-03-12,1171,1217.95,1168.25,1205.6,474800,1174.3
2015-03-13,1201.05,1239.8,1178.6,1188,720200,1157.16
2015-03-16,1192,1192.5,1141.35,1147.65,373700,1117.85
2015-03-17,1152.65,1195,1150.65,1177.55,585400,1146.98
2015-03-18,1180,1189.95,1169.95,1178.35,98000,1147.76
2015-03-19,1191.2,1213.8,1175.05,1185.5,418800,1154.72
2015-03-20,1178.6,1203.65,1165.1,1192.55,243600,1161.59
2015-03-23,1200,1204,1175.4,1200.45,166200,1169.28
2015-03-24,1205,1206,1155.05,1160.75,286500,1130.61
2015-03-25,1160.75,1164.35,1110.6,1119.9,675600,1090.82
2015-03-26,1114.1,1123.55,1072.55,1095.1,819000,1066.67
2015-03-27,1107.75,1107.75,1045,1083.4,831100,1055.27
2015-03-30,1085.1,1122.7,1085.1,1120.35,329900,1091.26
2015-03-31,1135.5,1135.5,1097.05,1114.35,654100,1085.42
2015-04-01,1124.9,1159,1102.5,1148.8,292900,1118.97
2015-04-02,1148.8,1148.8,1148.8,1148.8,0,1118.97
2015-04-03,1148.8,1148.8,1148.8,1148.8,0,1118.97
2015-04-06,1155,1171.8,1127.1,1160.3,322000,1130.17
2015-04-07,1161.55,1194.8,1150,1187.05,394100,1156.23
2015-04-08,1198.85,1207.05,1155.05,1161.95,355100,1131.78
2015-04-09,1171.9,1171.9,1144.1,1157,339400,1126.96
2015-04-10,1157,1161,1127.25,1136.35,403000,1106.85
2015-04-13,1139,1157.1,1135,1144.1,311400,1114.4
2015-04-14,1144.1,1144.1,1144.1,1144.1,0,1114.4
2015-04-15,1150,1152.95,1090.1,1099.3,786400,1070.76
2015-04-16,1107.95,1109.8,1031,1050.6,996300,1023.32
2015-04-17,1055,1055.8,1014.3,1025.5,824300,998.87
2015-04-20,1031,1047.6,1000,1011.85,706400,985.58
2015-04-21,1017.85,1039.7,1010,1027.65,407000,1000.97
2015-04-22,1033,1055,1015.3,1041.8,550200,1014.75
