"Date","CAIRN.NS.Open","CAIRN.NS.High","CAIRN.NS.Low","CAIRN.NS.Close","CAIRN.NS.Volume","CAIRN.NS.Adjusted"
2016-08-31,205.4,205.4,198.65,199.15,2919500,186.81
2016-09-01,200,202.45,198.15,200.4,1490200,187.98
2016-09-02,201.9,202.45,196.45,201.55,2546700,189.06
2016-09-05,201.55,201.55,201.55,201.55,0,189.06
2016-09-06,203.6,205.8,202.2,203,3376900,190.42
2016-09-07,208.4,208.95,200,200.65,5065100,188.21
2016-09-08,201.55,203.9,196.6,198.25,4816000,185.96
2016-09-09,199.15,202.55,197.6,199.25,3947100,186.9
2016-09-12,196.85,204.45,186.75,189.05,10684100,177.33
2016-09-13,189.05,189.05,189.05,189.05,0,177.33
2016-09-14,192.25,194.6,188.65,192.65,5632100,180.71
2016-09-15,192.65,194.4,189.5,192.45,3134400,180.52
2016-09-16,194,194.4,186.1,190.05,11531100,178.27
2016-09-19,190,193.85,188.25,192.15,3735900,180.24
2016-09-20,192.15,193.4,190.6,192.05,1619100,180.15
2016-09-21,192.1,194.3,191.75,192.95,1883500,180.99
2016-09-22,195,197,192.1,195.1,3056600,183.01
2016-09-23,195.6,199.65,193.85,196.75,3082500,184.56
2016-09-26,194.55,197.95,193.1,194.2,2164400,182.16
2016-09-27,196,196.5,191.6,192.7,1747900,180.76
2016-09-28,192.5,202.2,192.5,201.35,3342600,188.87
2016-09-29,204.5,205.2,194,196.3,8208700,184.13
