"Date","TATACOMM.NS.Open","TATACOMM.NS.High","TATACOMM.NS.Low","TATACOMM.NS.Close","TATACOMM.NS.Volume","TATACOMM.NS.Adjusted"
2015-03-05,423.95,430.5,421.55,427.5,280000,417.82
2015-03-06,427.5,427.5,427.5,427.5,0,417.82
2015-03-09,427.4,434.3,412.6,414.5,538800,405.11
2015-03-10,417.1,437.35,417,422.05,687200,412.49
2015-03-11,422.9,431,416.05,427.95,529000,418.26
2015-03-12,427.8,434,424.1,430.35,716800,420.6
2015-03-13,431.55,437,420.1,423.8,667000,414.2
2015-03-16,423.3,426,417.3,421.3,220800,411.76
2015-03-17,428.9,435.8,423,429.75,779800,420.02
2015-03-18,431.8,449.9,428.5,438.2,1422100,428.28
2015-03-19,441.9,443.8,426.15,429.05,553200,419.33
2015-03-20,429,435,418.55,421.15,608000,411.61
2015-03-23,423.9,427.65,419,422.45,259700,412.88
2015-03-24,422,426.5,413.2,415.4,415100,405.99
2015-03-25,417,418.6,405.1,406.45,551300,397.24
2015-03-26,405,409.15,399.9,403.85,1056200,394.7
2015-03-27,406,409.95,388.6,405.45,537200,396.27
2015-03-30,407,416.95,404.3,414.9,391700,405.5
2015-03-31,417,423.9,413.05,422,425400,412.44
2015-04-01,421.4,432.5,420.6,426.05,559600,416.4
2015-04-02,426.05,426.05,426.05,426.05,0,416.4
2015-04-03,426.05,426.05,426.05,426.05,0,416.4
2015-04-06,430.15,430.3,421.8,423.6,529700,414.01
2015-04-07,425,426.5,417.3,422.2,345100,412.64
2015-04-08,425,432,419,429.3,501900,419.58
2015-04-09,437,465.95,433.3,453.2,2637700,442.94
2015-04-10,456.5,456.5,446.25,450.85,844600,440.64
2015-04-13,451,466.6,451,463.85,1001400,453.34
2015-04-14,463.85,463.85,463.85,463.85,0,453.34
2015-04-15,461,505.8,457.1,491.4,3608200,480.27
2015-04-16,491.85,497.45,475.5,482.65,1290700,471.72
2015-04-17,480.9,490.5,470.55,474.5,1012300,463.75
2015-04-20,476.7,476.7,452.6,456.95,913200,446.6
2015-04-21,458,463,441.95,453.1,524700,442.84
2015-04-22,454.8,458.35,441,452.95,702900,442.69
2015-04-23,456.15,460.8,449.25,451.7,437600,441.47
2015-04-24,453.85,453.85,437.55,440.95,328300,430.96
2015-04-27,441,442.25,430.25,436.3,432800,426.42
2015-04-28,435,447.25,433.3,444.55,801700,434.48
2015-04-29,446.7,449.05,432.1,434.45,801400,424.61
2015-04-30,434.3,439.35,428.25,435.45,546500,425.59
2015-05-01,435.45,435.45,435.45,435.45,0,425.59
2015-05-04,438.15,443.8,431.65,439.8,392200,429.84
2015-05-05,438.1,449.05,437.6,442.45,426600,432.43
2015-05-06,440.8,453.25,433,439.6,1327300,429.64
2015-05-07,439,439.7,407,417.8,616000,408.34
2015-05-08,422.1,432.5,422.1,428.25,382900,418.55
2015-05-11,429.1,433.65,426,429.25,339400,419.53
2015-05-12,436,436,421.5,423.55,496300,413.96
2015-05-13,428,432.35,419.45,429.6,385500,419.87
2015-05-14,428.9,438.5,422.75,430.85,315900,421.09
2015-05-15,432.3,439.5,431.4,433.05,304200,423.24
2015-05-18,434.3,443,432.05,435.65,444500,425.78
2015-05-19,437.2,441.8,434.85,438.4,344300,428.47
2015-05-20,440.65,443.8,435.7,437.1,277900,427.2
2015-05-21,438.5,442,435.6,438.7,374000,428.76
2015-05-22,437,447.3,437,439.75,540600,429.79
2015-05-25,440,444.85,438.5,441.2,296900,431.21
2015-05-26,442.55,449.3,442.1,445.15,589500,435.07
2015-05-27,442.5,444.95,428.6,438.15,1166700,428.23
2015-05-28,437.9,438.55,428.6,430.25,819100,420.51
2015-05-29,430,439.8,427.5,436.55,906300,426.66
2015-06-01,436,439.4,431.25,434.4,275100,424.56
2015-06-02,434,434,425.55,427.15,379500,417.48
2015-06-03,429.9,429.9,400.1,411.65,332500,402.33
2015-06-04,414,414,402.75,405.6,342100,396.41
2015-06-05,404,412,402,405.9,442700,396.71
2015-06-08,405.95,409.05,394.5,400.05,342600,390.99
2015-06-09,400,403.5,395.5,402.05,398100,392.94
2015-06-10,400,414.3,400,408.7,314800,399.44
2015-06-11,412.9,413.1,402.25,404.6,692100,395.44
2015-06-12,404.5,414.75,403.5,411.15,349500,401.84
2015-06-15,411.95,421.9,410.4,412.45,253600,403.11
2015-06-16,420.5,433,420.05,427.2,1079000,417.52
2015-06-17,430.1,432.1,424.2,430.2,385600,420.46
2015-06-18,432,439.55,428.95,432.35,490900,422.56
2015-06-19,436,437.4,427.55,429.4,353000,419.67
2015-06-22,430.8,436.8,429.5,432.05,411800,422.26
2015-06-23,432.6,437,431.45,432.35,414700,422.56
2015-06-24,433.5,434.55,423.25,425.05,508600,415.42
2015-06-25,425,427.95,420.1,424.55,643600,414.93
2015-06-26,421.3,427.35,411.75,423.1,620800,413.52
2015-06-29,423.1,424,415,422.8,456100,413.22
2015-06-30,425.5,444.95,421.5,443.1,606400,433.06
2015-07-01,447,450.4,435,438.2,638500,428.28
2015-07-02,440.9,450.95,440.55,444.7,384000,434.63
2015-07-03,445.4,453,441.25,445.4,375200,435.31
2015-07-06,439.65,447.8,437.3,445.2,283900,435.12
2015-07-07,440.1,456.9,440.1,450.8,485200,440.59
2015-07-08,449,455.75,430.1,442.3,501300,432.28
2015-07-09,445,450.9,442.25,443.95,298200,433.9
2015-07-10,449.8,464.3,447.8,456.45,478200,446.11
2015-07-13,462,469,455.6,464.3,668000,453.78
2015-07-14,467,469.4,458.6,461.35,358800,450.9
2015-07-15,467.8,467.8,455,457.7,329800,447.33
2015-07-16,456,467,456,460.45,278200,450.02
2015-07-17,462.5,479.25,458.35,471.65,624600,460.97
2015-07-20,472,484,465.6,467.85,732100,457.25
2015-07-21,468.4,472,453.5,456.4,282100,446.06
2015-07-22,458.9,471.5,452.7,470.2,446400,459.55
2015-07-23,477,481.6,470,476.9,619000,466.1
2015-07-24,478.85,491.35,476.6,480.7,615000,469.81
2015-07-27,477,478.25,466.7,470.35,332200,459.7
2015-07-28,470,478.7,469,474.35,293100,463.61
2015-07-29,467.9,467.9,433.2,439.8,1920400,429.84
2015-07-30,440,474,429.1,452.45,2249500,442.2
2015-07-31,454,460.3,444.4,450.45,330600,440.25
2015-08-03,448.25,452.75,438,440,253000,430.03
2015-08-04,440.1,452.7,428.1,434.8,1001100,424.95
2015-08-05,438.9,443.25,430.1,436.9,406100,427
2015-08-06,436.15,443.8,431.55,438.55,398600,428.62
2015-08-07,440,448.65,439,444.3,765800,434.24
2015-08-10,445.4,449.9,440.5,447,344700,436.88
2015-08-11,447.45,452.8,438.85,441.25,227000,431.26
2015-08-12,438.65,441.8,413.65,417.05,734800,407.6
2015-08-13,420.5,428,416,419.9,851600,410.39
2015-08-14,423.45,426,416.15,423,333800,413.42
2015-08-17,424.5,429,410,415.55,523300,406.14
2015-08-18,417,419.7,409.75,412.15,494900,402.82
2015-08-19,412.4,418.5,410.75,413.9,278900,404.53
2015-08-20,413,416.25,400.5,402.7,330000,393.58
2015-08-21,409,419.95,405.05,418.15,988900,408.68
2015-08-24,408.55,408.55,356,369.15,2373200,360.79
2015-08-25,376,391.05,335.55,386.35,1811600,377.6
2015-08-26,382,394.8,376.3,380,474700,371.39
2015-08-27,384.5,409.9,378.8,406.25,2882500,397.05
2015-08-28,411.25,413.7,391.2,393.85,396300,384.93
2015-08-31,395.25,399,389,392.5,292200,383.61
2015-09-01,384.25,390,375,382.9,309300,374.23
2015-09-02,384,389.05,373.55,378.1,295700,369.54
2015-09-03,380,394.45,377.25,388.65,385700,379.85
2015-09-04,387,390,369,380.85,390500,372.22
2015-09-07,381.2,384.1,363.15,371.7,222300,363.28
2015-09-08,371.5,383,364.65,380.75,234300,372.13
2015-09-09,388.3,405.95,386,396.7,702900,387.72
2015-09-10,390,398,383.3,396.65,288200,387.67
2015-09-11,395,402.95,393,398.1,291500,389.08
2015-09-14,404.4,404.9,390,402.75,181000,393.63
2015-09-15,402.8,403.6,388,390.05,220100,381.22
2015-09-16,397.6,404.5,390.7,393.2,600700,384.29
2015-09-17,393.2,393.2,393.2,393.2,0,384.29
2015-09-18,394.9,406.4,393.45,396.05,395400,387.08
2015-09-21,397.9,407,395.6,405.05,325400,395.88
2015-09-22,406.2,412,402.8,405.55,530600,396.36
2015-09-23,395.4,402.8,393,400.1,336100,396.41
2015-09-24,397.2,406.9,394.25,401.4,311200,397.7
2015-09-25,401.4,401.4,401.4,401.4,0,397.7
2015-09-28,398.9,403.5,395.25,400.55,247500,396.86
2015-09-29,395,404.4,380.1,400.5,381600,396.81
2015-09-30,401.25,417,397.45,413.6,393000,409.79
2015-10-01,415.3,424,399,402.05,706000,398.35
2015-10-02,402.05,402.05,402.05,402.05,0,398.35
2015-10-05,404.75,416.6,403.5,413.35,257600,409.54
2015-10-06,415,419.9,408.85,410.4,300700,406.62
2015-10-07,423.1,425.85,414.05,418,653600,414.15
2015-10-08,418,424.5,413,422.2,337700,418.31
2015-10-09,423.1,429.5,421.85,424.55,399800,420.64
2015-10-12,425,427.95,413.1,415.1,299700,411.28
2015-10-13,415.1,423.8,414.6,422,259200,418.11
2015-10-14,421,426.45,414,415.85,347600,412.02
2015-10-15,417.7,424.9,416.4,422.25,199200,418.36
2015-10-16,423,424.45,415.8,421.1,163900,417.22
2015-10-19,420.3,432,415.6,428.9,327100,424.95
2015-10-20,435,435,427.35,430.5,587200,426.53
2015-10-21,432.9,433.8,423.5,429.1,215200,425.15
2015-10-22,429.1,429.1,429.1,429.1,0,425.15
2015-10-23,428.05,432.8,416.8,419.45,212500,415.59
2015-10-26,421,430.5,417.5,427.15,421300,423.22
2015-10-27,428,430.8,416,427.4,890200,423.46
2015-10-28,424.85,432.55,421,425.9,497700,421.98
2015-10-29,426.35,435.8,421.5,432.35,575300,428.37
2015-10-30,434,439.3,427,429,269700,425.05
2015-11-02,433.8,434,424,432.8,238500,428.81
2015-11-03,433,442,432,433.75,325200,429.75
2015-11-04,436.3,441.8,432.8,435.5,293200,431.49
2015-11-05,435.4,437.25,428.7,433.3,318700,429.31
2015-11-06,433,434.8,426.9,433.05,265800,429.06
2015-11-09,432,432,426,429.55,335900,425.59
2015-11-10,428.1,429.75,417.3,421.4,233400,417.52
2015-11-11,421.4,421.4,421.4,421.4,0,417.52
2015-11-12,421.4,421.4,421.4,421.4,0,417.52
2015-11-13,424.95,424.95,414.1,416.95,282600,413.11
2015-11-16,417.2,423,416.5,421,227600,417.12
2015-11-17,422,423.6,414.25,415.65,163000,411.82
2015-11-18,415.05,420.85,411,413.6,219700,409.79
2015-11-19,414.4,424.4,414.4,422,207000,418.11
2015-11-20,422.55,439.05,422.55,435.95,330100,431.93
2015-11-23,437.05,446.05,431.95,434.7,608600,430.7
2015-11-24,436.7,436.7,428,431.85,366500,427.87
2015-11-25,431.85,431.85,431.85,431.85,0,427.87
2015-11-26,435.55,447.5,428.7,442.9,1766700,438.82
2015-11-27,442.05,442.15,429.3,430.75,363100,426.78
2015-11-30,430,436.85,426.05,431.6,387200,427.62
2015-12-01,434.7,435.7,423.25,425.7,282400,421.78
2015-12-02,427,427.35,421.1,423.1,164300,419.2
2015-12-03,417.5,424.65,417.5,420.05,180800,416.18
2015-12-04,413.75,421.8,413,413.7,169800,409.89
2015-12-07,415,417.9,407.4,411.45,320300,407.66
2015-12-08,409.1,421,408.6,414.6,550300,410.78
2015-12-09,413.5,416.5,403,406.25,443200,402.51
2015-12-10,406,408,397.25,404.9,269900,401.17
2015-12-11,407,409,398.5,400.5,235000,396.81
2015-12-14,398,405.55,392.3,403.6,312000,399.88
2015-12-15,404.15,407.95,400.1,406.55,189600,402.8
2015-12-16,410.1,412.5,406.2,409.2,257700,405.43
2015-12-17,409.75,419.5,408.3,418.85,206100,414.99
2015-12-18,419.5,423.2,413.5,417.5,308700,413.65
2015-12-21,416.8,425,412.55,421.4,271800,417.52
2015-12-22,420.95,424,418,421.05,96200,417.17
2015-12-23,421.95,428.75,421.95,427.3,224700,423.36
2015-12-24,428.6,437.9,426.4,435.6,342300,431.59
2015-12-25,435.6,435.6,435.6,435.6,0,431.59
2015-12-28,435.2,441.7,431.8,434.65,352300,430.65
2015-12-29,438,438,430.1,434.1,463900,430.1
2015-12-30,431.4,437,431.4,435.6,248300,431.59
2015-12-31,435.5,442.05,421,435.85,1168200,431.84
2016-01-01,433.9,438.2,431.45,434.3,207000,430.3
2016-01-04,432.6,449,425.2,429.2,332800,425.25
2016-01-05,429.6,442,428.15,437,412300,432.97
2016-01-06,448.8,462.6,439.5,440.8,1350000,436.74
2016-01-07,438,438,422,426.75,566100,422.82
2016-01-08,423.7,441.75,422.55,436.1,391900,432.08
2016-01-11,432.85,440.8,429.1,433.05,321000,429.06
2016-01-12,431.05,437,423.45,432.7,297400,428.71
2016-01-13,436,439.5,409,434.95,743200,430.94
2016-01-14,426.5,437.5,421.5,432.6,340300,428.62
2016-01-15,434,437.15,411,414.3,271200,410.48
2016-01-18,411,415,396.05,400.3,513200,396.61
2016-01-19,401.8,407.15,398,405.25,431500,401.52
2016-01-20,401.2,401.2,379.05,391.3,476800,387.7
2016-01-21,395,403.35,392.45,397.05,324000,393.39
2016-01-22,400,407,399.25,402.95,225900,399.24
2016-01-25,403,407,399,404.8,218300,401.07
2016-01-26,404.8,404.8,404.8,404.8,0,401.07
2016-01-27,404.9,406.8,397.85,398.85,445900,395.18
2016-01-28,398,414.9,372.95,401,1535400,397.31
2016-01-29,385,402.1,384,400,615100,396.32
2016-02-01,402,415,396.5,410.45,253100,406.67
2016-02-02,411.8,416,400.4,405.55,449400,401.81
2016-02-03,397,397,356.65,380.4,964200,376.9
2016-02-04,382,386,360.1,367.8,728600,364.41
2016-02-05,367,381.4,366.95,377.3,427700,373.82
2016-02-08,380.9,393.8,374.55,383.15,267000,379.62
2016-02-09,376.6,384.75,374.8,382.05,351900,378.53
2016-02-10,379,380.1,370.05,371.9,654400,368.47
2016-02-11,372,378.75,355.75,360.2,705100,356.88
2016-02-12,360.1,365.8,334.8,358.05,655500,354.75
2016-02-15,361.5,372.25,359.35,360.95,205500,357.63
2016-02-16,364.5,364.5,348.5,352.75,428400,349.5
2016-02-17,355.8,355.8,342.2,348.8,464600,345.59
2016-02-18,350.15,354.1,337.5,341.5,864000,338.35
2016-02-19,343.9,347.8,337.05,345.25,591000,342.07
2016-02-22,345,352.75,344.45,349.95,131800,346.73
2016-02-23,350.9,352.8,340,345.6,229000,342.42
2016-02-24,344.1,345.5,338.8,341.4,119100,338.26
2016-02-25,347.1,347.1,327.9,330.7,459900,327.65
2016-02-26,333.6,338,329.5,333.5,179700,330.43
2016-02-29,336,337.1,325,330.9,294300,327.85
2016-03-01,332.9,340.9,329.25,332.65,620800,329.59
2016-03-02,332.55,344.2,328.55,340.7,813800,337.56
2016-03-03,341.4,359.4,341.25,356.7,577800,353.41
2016-03-04,358,359.05,348.75,353.75,314500,350.49
2016-03-07,353.75,353.75,353.75,353.75,0,350.49
2016-03-08,354.7,356.9,341.2,343.35,309700,340.19
2016-03-09,343.35,354.4,340.2,353.3,295000,350.05
2016-03-10,357.8,363.5,352.55,359.5,413200,356.19
2016-03-11,360.3,364.4,356.8,359.15,359100,355.84
2016-03-14,357.2,366.7,354.7,360.2,376500,356.88
2016-03-15,361.7,363.9,356.4,360.1,223200,356.78
2016-03-16,360.5,364,356,359.8,292400,356.49
2016-03-17,362.6,365.7,360,361.5,168600,358.17
2016-03-18,364.9,367.5,355,365.05,173800,361.69
2016-03-21,367.25,370,364,366.6,184700,363.22
2016-03-22,366.6,368,360.2,366.3,306200,362.93
2016-03-23,367,385.4,366.4,374.25,753800,370.8
2016-03-24,374.25,374.25,374.25,374.25,0,370.8
2016-03-25,374.25,374.25,374.25,374.25,0,370.8
2016-03-28,374.25,379,365.25,373.05,344600,369.61
2016-03-29,371,373,359.75,368.45,246900,365.06
2016-03-30,374,383,370,381.9,272900,378.38
2016-03-31,382.9,389.35,373.8,377.6,977400,374.12
2016-04-01,375.5,385.2,372.8,384.1,166500,380.56
2016-04-04,385.95,389.45,382.95,386.45,166400,382.89
2016-04-05,386.45,389.4,377.1,385.3,282000,381.75
2016-04-06,386,390.95,383.25,388.35,129500,384.77
2016-04-07,387.55,391.7,377.35,380.9,231000,377.39
2016-04-08,380.5,385.85,380,384.6,250900,381.06
2016-04-11,385,391.3,382,388.45,145800,384.87
2016-04-12,388.45,394.8,386.5,392.65,447600,389.03
2016-04-13,395.1,407.4,394.25,404.5,493900,400.77
2016-04-14,404.5,404.5,404.5,404.5,0,400.77
2016-04-15,404.5,404.5,404.5,404.5,0,400.77
2016-04-18,398,414.8,397,402.9,431500,399.19
2016-04-19,402.9,402.9,402.9,402.9,0,399.19
2016-04-20,404.9,416,404,414,330900,410.19
2016-04-21,414.55,417.4,407.05,409.4,181000,405.63
2016-04-22,408,416.4,405.6,408.6,217000,404.84
2016-04-25,409.8,419,405.2,416.5,211300,412.66
2016-04-26,417,423,413,420.15,223000,416.28
2016-04-27,420.7,425.4,414.6,419.3,670200,415.44
2016-04-28,419.85,424.7,410.05,411.95,299900,408.16
2016-04-29,412,418,404.4,413.2,493500,409.39
2016-05-02,411.8,422.9,410,419.8,209500,415.93
2016-05-03,420,429.35,415.55,425.4,571600,421.48
2016-05-04,425.4,433.5,423.05,425.85,694600,421.93
2016-05-05,426.9,427.9,418.25,424.15,576800,420.24
2016-05-06,424.05,430,422.05,423.45,245200,419.55
2016-05-09,423.45,430.45,419.2,428.25,256400,424.31
2016-05-10,425.35,441.35,424.35,437.15,546700,433.12
2016-05-11,433.5,444.8,427.8,430.1,649600,426.14
2016-05-12,430.5,438.45,430.5,435.25,321500,431.24
2016-05-13,434.3,441,429.8,438.95,257400,434.91
2016-05-16,438.95,446.65,432.7,435,348300,430.99
2016-05-17,435,437,428.4,432.45,591000,428.47
2016-05-18,431.05,456.95,431.05,450.7,1656600,446.55
2016-05-19,455,455,437.3,444.1,1442900,440.01
2016-05-20,444.1,453.75,441.2,446.1,401100,441.99
2016-05-23,447.5,453.25,444.35,449.65,308400,445.51
2016-05-24,453.3,453.3,442.15,447.8,337500,443.68
2016-05-25,451.9,465.65,446.25,458.85,692500,454.62
2016-05-26,460,464.25,455.25,457.55,278300,453.34
2016-05-27,457.6,464,454,459.4,212100,455.17
2016-05-30,454,474.9,451.8,472.9,470700,468.54
2016-05-31,472.55,472.55,455.9,457.25,253300,453.04
2016-06-01,453.25,457.25,441.05,446.45,464500,442.34
2016-06-02,442.7,449,436.05,445.85,252800,441.74
2016-06-03,447.15,450.75,440,441.75,122700,437.68
2016-06-06,447.5,447.5,437.15,439.15,180100,435.1
2016-06-07,443.5,455.8,439.25,452.1,390800,447.94
2016-06-08,453.5,459.5,446.1,452.3,297900,448.13
2016-06-09,454.05,455.3,445.25,447.95,347500,443.82
2016-06-10,449,453.55,443.2,445.35,227400,441.25
2016-06-13,443.1,444.6,436.45,438.7,152800,434.66
2016-06-14,439.1,443.6,435.5,440.1,195900,436.05
2016-06-15,442.8,453.9,440.4,450.05,196000,445.9
2016-06-16,453.5,453.5,440.4,443.05,217300,438.97
2016-06-17,444.2,451,443.2,449.1,180200,444.96
2016-06-20,447.1,455.65,443.25,453.65,224100,449.47
2016-06-21,457.5,461.9,453,458.25,483200,454.03
2016-06-22,460.95,462.6,449.45,455.35,313900,451.16
2016-06-23,456,456.4,449.1,453.4,157000,449.22
2016-06-24,447.1,449,425.05,447.8,291300,443.68
2016-06-27,441.35,453.6,441.35,450.05,310500,445.9
2016-06-28,482.8,486,455.85,459.8,3547300,455.56
2016-06-29,462,474.8,458.1,472.55,1494700,468.2
2016-06-30,472.1,488.8,469,480.45,2236900,476.02
2016-07-01,482,484,476.4,478.9,291400,474.49
2016-07-04,479.5,493,479.45,487.25,751600,482.76
2016-07-05,487.7,492.9,482.3,488.85,226400,484.35
2016-07-06,488.85,488.85,488.85,488.85,0,484.35
2016-07-07,489,497.15,477.95,481.85,518000,477.41
2016-07-08,482.5,488,474.6,479.1,335400,474.69
2016-07-11,482.8,487,480.5,485,164800,480.53
2016-07-12,487,489.3,481.8,486.45,255300,481.97
2016-07-13,488.7,488.7,471.1,473.05,259800,468.69
2016-07-14,468.1,479.55,460.05,461.9,626500,457.65
2016-07-15,462.1,469.4,461,464.75,444300,460.47
2016-07-18,467.95,469.5,456.3,458.1,202100,453.88
2016-07-19,458.7,466,457,463.1,227200,458.83
2016-07-20,463.7,468.15,458.1,466.8,216300,462.5
2016-07-21,464.8,468.4,452.1,455.15,329900,455.15
2016-07-22,454.5,462,451.5,460.65,241600,460.65
2016-07-25,460,466.5,457.05,464.55,273700,464.55
2016-07-26,465.2,468,456.35,458.55,234300,458.55
2016-07-27,463,463,451.6,452.6,260900,452.6
2016-07-28,453,455.95,443.3,445.1,1296500,445.1
2016-07-29,445.2,445.85,438.6,440.6,379000,440.6
2016-08-01,441.15,446.6,430.25,433.8,448200,433.8
2016-08-02,435,471.9,434.9,460.8,2464300,460.8
2016-08-03,459.9,465.35,449.4,451.85,429800,451.85
2016-08-04,455.45,457.15,441.7,448.4,303300,448.4
2016-08-05,450,455.9,447.1,451.85,381900,451.85
2016-08-08,453.8,467,449.4,465.9,427900,465.9
2016-08-09,464.9,464.9,454,456.75,149400,456.75
2016-08-10,456.8,491,445.05,482.6,2765800,482.6
2016-08-11,488.5,519,471.2,481.5,5210700,481.5
2016-08-12,480,492.35,474,479.35,1172400,479.35
2016-08-15,479.35,479.35,479.35,479.35,0,479.35
2016-08-16,479.4,486,474.2,479.45,625000,479.45
2016-08-17,484.7,497.5,482.6,490.05,971800,490.05
2016-08-18,491,501.45,487,492.95,774200,492.95
2016-08-19,495,509.25,490.4,504.9,1472300,504.9
2016-08-22,504,514,497.05,499.5,1020300,499.5
2016-08-23,499,505.75,493.8,499.05,628800,499.05
2016-08-24,502.2,509,500.3,503.85,467800,503.85
2016-08-25,504.55,510.5,500.55,502.8,840300,502.8
2016-08-26,505,529.3,503.95,524.5,1799300,524.5
2016-08-29,525,535.5,515.8,526.9,911900,526.9
2016-08-30,527.5,530.5,522.05,525.2,559800,525.2
2016-08-31,525,536.5,521.4,526.05,635600,526.05
2016-09-01,526.05,535.8,504.2,511.15,1588500,511.15
2016-09-02,511,524,508.9,517.25,851000,517.25
2016-09-05,517.25,517.25,517.25,517.25,0,517.25
2016-09-06,520,524,516.5,518.6,631900,518.6
2016-09-07,522,525.65,516.1,519.35,602000,519.35
2016-09-08,522,531,516.6,524.95,731300,524.95
2016-09-09,524.9,525.95,510,512.6,480300,512.6
2016-09-12,507.5,509.9,490.9,495.95,435900,495.95
2016-09-13,495.95,495.95,495.95,495.95,0,495.95
2016-09-14,493.7,507.7,492.5,505.25,484800,505.25
2016-09-15,501.95,505.15,497.15,501.85,302300,501.85
2016-09-16,509.3,512.2,497.85,499.5,415200,499.5
2016-09-19,500.5,527.75,500.5,522.05,1334300,522.05
2016-09-20,522,533.6,519,527.3,970200,527.3
2016-09-21,526.9,533.35,524,525.95,703200,525.95
2016-09-22,530,544.9,530,533.6,1304000,533.6
2016-09-23,532,541.65,530,531.65,432200,531.65
2016-09-26,528.9,538.65,520.3,524.6,368700,524.6
2016-09-27,525.5,530.95,522,524.55,520700,524.55
2016-09-28,523,546.45,522,543.2,994900,543.2
2016-09-29,549.1,550,510.05,513.65,1286800,513.65
2016-09-30,518,579.35,513.2,565.65,2454200,565.65
2016-10-03,565,582.75,554.55,568.7,2314800,568.7
2016-10-04,573,583.7,568.25,574.7,967900,574.7
2016-10-05,583,626.4,580.8,609.95,4529300,609.95
2016-10-06,610.2,618.8,601.2,610.05,1188400,610.05
2016-10-07,612.5,623.6,603.5,611.5,1189400,611.5
2016-10-10,613,649.9,612,646.6,3624500,646.6
2016-10-11,646.6,646.6,646.6,646.6,0,646.6
2016-10-12,646.6,646.6,646.6,646.6,0,646.6
2016-10-13,645.8,653.85,633.55,651.2,3531900,651.2
2016-10-14,653,665,644.3,652.35,2105700,652.35
2016-10-17,651,666,630.35,641.05,2241400,641.05
2016-10-18,639.95,647.2,634,638.95,1220700,638.95
2016-10-19,645,655,639.25,646.25,896300,646.25
2016-10-20,649,656.7,638,641.65,891500,641.65
2016-10-21,643.5,683.9,639.3,680.05,1500700,680.05
2016-10-24,682,687.9,664,668.5,1092000,668.5
2016-10-25,649.9,659,642.7,655.1,1238000,655.1
2016-10-26,649.4,656.4,621.4,633.7,907400,633.7
2016-10-27,612.55,634.45,604.15,626.7,1882700,626.7
2016-10-28,631.5,648.5,628,635.3,729400,635.3
2016-10-31,635.3,635.3,635.3,635.3,0,635.3
2016-11-01,638,665,638,644.1,698500,644.1
2016-11-02,636.1,641,623.4,625.6,448100,625.6
2016-11-03,622,630,605.3,610.8,841900,610.8
2016-11-04,615,639,607.05,620.25,1267600,620.25
2016-11-07,624.4,634.55,600.5,606.6,643800,606.6
2016-11-08,605.75,617.6,605.75,611.45,1024600,611.45
2016-11-09,575,611.5,532.35,605.5,1686300,605.5
