"Date","SUZLON.NS.Open","SUZLON.NS.High","SUZLON.NS.Low","SUZLON.NS.Close","SUZLON.NS.Volume","SUZLON.NS.Adjusted"
2016-04-14,14.55,14.55,14.55,14.55,0,14.55
2016-04-15,14.55,14.55,14.55,14.55,0,14.55
2016-04-18,15,15.35,14.85,15.25,40194900,15.25
2016-04-19,15.25,15.25,15.25,15.25,0,15.25
2016-04-20,15.5,15.85,15.35,15.55,36721700,15.55
2016-04-21,15.55,15.65,15.05,15.1,22923500,15.1
2016-04-22,15.1,15.15,14.75,14.8,15924300,14.8
2016-04-25,14.8,15.05,14.55,14.6,24753000,14.6
2016-04-26,14.6,14.7,14.4,14.5,20657500,14.5
2016-04-27,14.55,14.6,14.3,14.35,16645100,14.35
2016-04-28,14.65,15.1,14.1,14.2,39975900,14.2
2016-04-29,14.25,15.25,14.1,14.95,60896800,14.95
2016-05-02,14.9,15.65,14.5,15.5,49519900,15.5
2016-05-03,15.5,15.75,14.9,15,39241600,15
2016-05-04,14.85,15,14.6,14.65,24364000,14.65
2016-05-05,14.75,14.85,14.6,14.65,14630600,14.65
2016-05-06,14.7,15,14,14.2,29302800,14.2
2016-05-09,14.55,14.9,14.25,14.65,18799200,14.65
2016-05-10,14.75,14.95,14.6,14.85,15029000,14.85
2016-05-11,14.6,14.8,14.45,14.55,12204400,14.55
2016-05-12,14.65,14.9,14.6,14.75,13335700,14.75
2016-05-13,14.65,14.75,14.45,14.65,12667800,14.65
2016-05-16,14.9,15.05,14.7,14.95,17599900,14.95
2016-05-17,15,15.5,15,15.15,25324200,15.15
2016-05-18,15.05,15.75,14.9,15.6,31080800,15.6
2016-05-19,15.5,15.65,15,15.1,28180200,15.1
2016-05-20,15.15,15.4,15,15.05,18524200,15.05
2016-05-23,15.2,15.3,14.8,14.85,14489700,14.85
2016-05-24,14.9,14.9,14.6,14.75,15224300,14.75
2016-05-25,14.95,15.15,14.85,15,15052300,15
2016-05-26,15.25,15.6,15.25,15.4,18284300,15.4
2016-05-27,15.5,16.35,15.4,16.2,51816000,16.2
2016-05-30,16.5,16.6,15.8,16.25,44309700,16.25
2016-05-31,16.8,16.9,15.85,15.9,51006000,15.9
2016-06-01,15.95,16,14.9,15.1,36215000,15.1
2016-06-02,15.2,15.6,15,15.5,26313100,15.5
2016-06-03,15.7,15.75,15.25,15.3,16875700,15.3
2016-06-06,15.55,15.75,15.45,15.5,18203900,15.5
2016-06-07,15.6,16,15.5,15.8,19210400,15.8
2016-06-08,15.95,16.55,15.9,16.3,43080600,16.3
2016-06-09,16.7,17.2,16.5,16.95,59077000,16.95
2016-06-10,17.2,17.7,16.9,17.25,55970500,17.25
2016-06-13,17,17.3,16.85,16.95,29561600,16.95
2016-06-14,17.5,18,17.35,17.9,54316700,17.9
2016-06-15,18.15,18.45,18.05,18.15,46149400,18.15
2016-06-16,18.1,18.15,17.1,17.8,56997300,17.8
2016-06-17,18,18.25,17.45,17.65,33330500,17.65
2016-06-20,17.5,17.9,17.35,17.45,34825000,17.45
2016-06-21,17.65,17.8,17.5,17.65,18961300,17.65
2016-06-22,17.5,17.6,17.05,17.15,17470400,17.15
2016-06-23,17.1,17.3,16.8,17.05,22585900,17.05
2016-06-24,16.3,16.85,15.95,16.75,57967100,16.75
2016-06-27,16.8,17.15,16.75,17,16945100,17
2016-06-28,17.1,17.45,17.1,17.2,16216700,17.2
2016-06-29,17.3,17.45,17.05,17.1,15277000,17.1
2016-06-30,17.35,17.75,17.15,17.4,25266900,17.4
2016-07-01,17.45,17.75,17.15,17.2,16944500,17.2
2016-07-04,17.35,17.6,17.2,17.3,18517500,17.3
2016-07-05,17.3,17.7,17.2,17.4,23012300,17.4
2016-07-06,17.4,17.4,17.4,17.4,0,17.4
2016-07-07,17.5,17.65,17.2,17.3,14052200,17.3
2016-07-08,17.8,18,17.55,17.55,22160600,17.55
2016-07-11,17.8,18.75,17.65,18.55,67440200,18.55
2016-07-12,18.75,19.1,18.55,18.75,49422600,18.75
2016-07-13,18.75,18.75,18.15,18.25,24648200,18.25
2016-07-14,18.4,18.6,18.35,18.45,17726300,18.45
2016-07-15,18.5,18.5,18.1,18.15,17334200,18.15
2016-07-18,18.3,18.7,18.05,18.1,24160900,18.1
2016-07-19,18.2,18.25,17.85,17.95,16724400,17.95
2016-07-20,18.1,18.25,17.85,18.2,12978400,18.2
2016-07-21,18.3,18.65,18.05,18.1,20075600,18.1
2016-07-22,18.15,18.25,17.95,18.05,15491000,18.05
2016-07-25,18.15,18.15,17.8,17.9,14701000,17.9
2016-07-26,18,18,17.5,17.55,13479200,17.55
2016-07-27,17.65,17.7,17,17.1,19534900,17.1
2016-07-28,17.25,17.5,17.15,17.25,13433400,17.25
2016-07-29,17.6,17.7,17.3,17.45,11643300,17.45
2016-08-01,17.6,17.65,17.05,17.15,14710200,17.15
2016-08-02,17.3,17.3,16.9,16.95,8997700,16.95
2016-08-03,17.05,17.1,16.4,16.5,12660700,16.5
2016-08-04,16.65,16.75,16.2,16.25,17965400,16.25
2016-08-05,16.65,17.6,16.6,17.15,29876500,17.15
2016-08-08,17.25,17.25,16.9,16.9,9721000,16.9
2016-08-09,17.05,17.05,16.7,16.75,9819700,16.75
2016-08-10,16.8,16.85,16.45,16.65,11859300,16.65
2016-08-11,16.8,16.9,16.4,16.65,8520200,16.65
2016-08-12,16.65,16.75,16.5,16.55,8176000,16.55
2016-08-15,16.55,16.55,16.55,16.55,0,16.55
2016-08-16,16.6,16.65,16.35,16.45,12000700,16.45
2016-08-17,16.55,16.95,16.45,16.75,14809700,16.75
2016-08-18,16.95,17.2,16.65,16.65,11818100,16.65
2016-08-19,16.65,16.75,16.45,16.5,11219900,16.5
2016-08-22,16.6,16.65,16.4,16.45,6454200,16.45
2016-08-23,16.45,16.6,16.35,16.5,9550200,16.5
2016-08-24,16.5,16.65,16.4,16.45,7197900,16.45
2016-08-25,16.5,16.5,16.25,16.3,7823500,16.3
2016-08-26,16.3,16.35,16.1,16.1,6954500,16.1
2016-08-29,16.15,16.2,15.7,15.75,14770700,15.75
2016-08-30,15.8,16.15,15.7,15.95,10365600,15.95
2016-08-31,15.95,16,15.75,15.8,12310500,15.8
2016-09-01,15.75,15.9,15.6,15.7,10293600,15.7
2016-09-02,15.7,15.8,15.65,15.75,7599600,15.75
2016-09-05,15.75,15.75,15.75,15.75,0,15.75
2016-09-06,15.75,16.5,15.7,16.25,29393500,16.25
2016-09-07,16.3,16.45,16.1,16.25,15055200,16.25
2016-09-08,16.8,17.6,16.6,17.45,54654900,17.45
2016-09-09,17.45,18.35,17.05,17.9,61743400,17.9
2016-09-12,17.4,17.85,17.15,17.25,32559500,17.25
2016-09-13,17.25,17.25,17.25,17.25,0,17.25
