"Date","TITAN.NS.Open","TITAN.NS.High","TITAN.NS.Low","TITAN.NS.Close","TITAN.NS.Volume","TITAN.NS.Adjusted"
2015-09-28,324.95,328.7,321.2,326.1,484700,324.0029
2015-09-29,323.8,324.95,318.5,321.2,589200,319.1344
2015-09-30,323,324.6,316.4,317.85,697600,315.806
2015-10-01,314,329.7,302.75,327.25,1842500,325.1455
2015-10-02,327.25,327.25,327.25,327.25,0,325.1455
2015-10-05,331.9,334.45,325.8,330.85,473400,328.7224
2015-10-06,333.2,349.95,329.45,348.5,1592300,346.2588
2015-10-07,344,347.7,342.4,345.15,398100,342.9304
2015-10-08,345.05,349.1,340,341.05,353600,338.8567
2015-10-09,342.75,347.25,340.35,343.2,521200,340.9929
2015-10-12,340.7,349.45,340.7,342.65,731000,340.4465
2015-10-13,342.5,346.1,342.3,343.45,222600,341.2413
2015-10-14,345,351.8,341.95,348.45,775100,346.2092
2015-10-15,350.2,355,343.3,352.95,830700,350.6802
2015-10-16,354.65,355.8,350.8,353.95,592100,351.6738
2015-10-19,346,356.75,346,350.95,535800,348.6931
2015-10-20,351.3,357.95,349.75,352.1,440500,349.8357
2015-10-21,353.6,354,343.7,347.8,397900,345.5633
2015-10-22,347.8,347.8,347.8,347.8,0,345.5633
2015-10-23,355.65,355.65,342.7,343.7,336200,341.4897
2015-10-26,344.4,349,343.1,344.8,475100,342.5826
2015-10-27,344.8,346.25,338.25,340.4,265000,338.2109
2015-10-28,341,355.5,340.95,350.8,670700,348.544
2015-10-29,351.3,356.5,348.2,352.3,880100,350.0344
2015-10-30,346,355,342.9,349.95,1191600,347.6995
2015-11-02,335,358.9,329.35,356.6,4413000,354.3068
2015-11-03,354.9,364.5,347.6,348.4,1697600,346.1595
2015-11-04,349.1,354.55,346.95,348,774900,345.7621
2015-11-05,347.05,354,346,348.75,476700,346.5072
2015-11-06,348.95,353,346.15,350.05,495500,347.7989
2015-11-09,340.5,361,340.5,354.4,714300,352.1209
2015-11-10,354,358,348.85,352.8,347200,350.5312
2015-11-11,352.8,352.8,352.8,352.8,0,350.5312
2015-11-12,352.8,352.8,352.8,352.8,0,350.5312
2015-11-13,351.7,359,350.2,354.65,567500,352.3693
2015-11-16,351.05,362.6,351.05,359.7,655200,357.3868
2015-11-17,360.2,361.25,356,358.4,506000,356.0952
2015-11-18,356.2,364.8,356.2,360.8,409900,358.4797
2015-11-19,363.7,372,358.8,369.9,802900,367.5212
2015-11-20,372.15,374.45,366.65,371.7,724800,369.3097
2015-11-23,371.7,382.9,370.2,380.3,869100,377.8543
2015-11-24,384,384.3,376.35,378.05,813400,375.6188
2015-11-25,378.05,378.05,378.05,378.05,0,375.6188
2015-11-26,376.1,392.4,376.1,388.55,2068600,386.0513
2015-11-27,389.75,389.75,378.65,379.9,638100,377.4569
2015-11-30,378,385.9,377.75,381.5,315500,379.0466
2015-12-01,382.15,382.5,376.65,377.9,400100,375.4698
2015-12-02,378.05,383.95,375.35,376.7,377300,374.2775
2015-12-03,373.5,379,370.05,372,411000,369.6077
2015-12-04,370.15,375.6,365.75,366.75,263000,364.3915
2015-12-07,368.2,372.75,364.5,367.85,463500,365.4844
2015-12-08,366,371.25,363.9,365.8,414600,363.4476
2015-12-09,365.7,368,358.7,359.8,419100,357.4862
2015-12-10,360.9,364.25,358.15,362.75,236800,360.4172
2015-12-11,370.85,378.35,349.7,352.55,3053800,350.2828
2015-12-14,348.8,358.3,348.05,353.2,1503800,350.9286
2015-12-15,353.95,365.4,350,364.05,1385700,361.7088
2015-12-16,364.45,365.95,352.4,355.45,1158100,353.1642
2015-12-17,356.15,356.85,350,353.15,1160400,350.8789
2015-12-18,352.9,363,350.5,361.8,2133700,359.4733
2015-12-21,360.95,360.95,352.8,355.1,893000,352.8164
2015-12-22,356,362.9,354.45,361.35,1122700,359.0262
2015-12-23,362.2,364.4,355.75,358.2,751700,355.8965
2015-12-24,360,364.7,343.2,350.65,1477700,348.395
2015-12-25,350.65,350.65,350.65,350.65,0,348.395
2015-12-28,350.65,353.4,349.3,350.5,647800,348.246
2015-12-29,349.5,352.5,343.8,351.3,1612900,349.0408
2015-12-30,351,352.5,348.5,349.85,312300,347.6002
2015-12-31,350.2,354.85,339.8,347.15,4706100,344.9175
2016-01-01,347.15,353.8,346.5,352.05,452800,349.786
2016-01-04,350,353.5,347.85,351.4,687900,349.1402
2016-01-05,351.9,355,345.8,347.7,1494300,345.464
2016-01-06,347.7,350.9,343.2,347.85,1000100,345.613
2016-01-07,346.7,347.7,336.55,344.05,1423300,341.8374
2016-01-08,347.7,350.5,338.2,348,1341600,345.7621
2016-01-11,345,350,343.65,345.05,705200,342.831
2016-01-12,346.5,349,344.7,346.9,638200,344.6691
2016-01-13,349.5,351.25,345,349.95,735100,347.6995
2016-01-14,347,359.95,340,341.7,2007200,339.5026
2016-01-15,342,342.5,332.55,335.85,1570400,333.6902
2016-01-18,335,343.8,332.6,334.25,2640400,332.1005
2016-01-19,334.1,340.45,326.95,339.2,1222600,337.0187
2016-01-20,335.9,343.9,333.95,340.85,1530200,338.658
2016-01-21,343.9,347.6,337.2,343.4,1015200,341.1916
2016-01-22,346,349,336.8,347.6,1027400,345.3646
2016-01-25,350.9,357.95,346.55,354.45,801800,352.1706
2016-01-26,354.45,354.45,354.45,354.45,0,352.1706
2016-01-27,357.85,357.85,345,349.65,866000,347.4014
2016-01-28,345.8,348.9,336.9,339,1060600,336.8199
2016-01-29,347,366.7,346.45,363.7,1807400,361.3611
2016-02-01,364.5,366.25,357.45,359.95,659700,357.6352
2016-02-02,359.9,362.8,350.7,352,757600,349.7363
2016-02-03,345,356.5,345,354.05,723200,351.7731
2016-02-04,356.05,372.9,356.05,362,1519500,359.672
2016-02-05,363.65,372,361.1,369.55,1549300,367.1735
2016-02-08,366.1,376,365,371.6,1047600,369.2103
2016-02-09,367.5,375.6,365.5,366.85,808000,364.4908
2016-02-10,365,373.8,364.05,370.4,2059900,368.018
2016-02-11,369,370.3,353.95,356.35,1069300,354.0584
2016-02-12,358.15,360.75,341.1,355.85,2187500,353.5616
2016-02-15,356.25,364.65,350.5,358.7,775600,356.3933
2016-02-16,362.95,363.4,346.5,347.55,1720500,345.3149
2016-02-17,346.3,346.35,323.05,326.85,2744000,324.7481
2016-02-18,328.1,335.5,320.15,333.65,1744800,331.5043
2016-02-19,333,340.8,331,334.7,807000,332.5476
2016-02-22,337.7,339.4,326.3,337.9,873700,335.727
2016-02-23,338,338,326.5,329.45,828300,327.3314
2016-02-24,331,332,324.15,326.95,668500,324.8474
2016-02-25,328.1,330.75,322.7,323.75,1270800,321.668
2016-02-26,328.55,337,324.95,330.15,881600,328.0268
2016-02-29,331.75,331.75,301.7,316.8,1857700,314.7627
2016-03-01,312.5,340,310,337.5,1388800,335.3296
2016-03-02,337.5,338.45,327.5,333.9,1520100,331.7527
2016-03-03,333,344.5,332.45,342.15,1501500,339.9497
2016-03-04,341.9,345.4,336,338.45,893800,336.2735
2016-03-07,338.45,338.45,338.45,338.45,0,336.2735
2016-03-08,338,344,336.2,341.55,2006400,339.3535
2016-03-09,341.55,341.55,337.2,339.85,914700,337.6645
2016-03-10,339.7,345.5,337.8,339.05,3429600,336.8696
2016-03-11,340.05,347.4,337,346,1425500,343.7749
2016-03-14,347.1,349.5,340.05,341.15,794100,338.9561
2016-03-15,342.7,345,340.25,343.8,963500,341.5891
2016-03-16,342.9,343.6,337.05,339.65,804700,337.4658
2016-03-17,343.5,343.9,337.7,339.5,1527000,337.3167
2016-03-18,340.1,344.5,336.05,337.8,2523800,335.6276
2016-03-21,341,344.45,337.25,342.1,1071700,339.9
2016-03-22,341.6,361,341.6,358.6,1399000,358.6
2016-03-23,358.6,358.9,351.5,352.7,472200,352.7
2016-03-24,352.7,352.7,352.7,352.7,0,352.7
2016-03-25,352.7,352.7,352.7,352.7,0,352.7
2016-03-28,356.7,357,325,327.4,1417000,327.4
2016-03-29,325,331,320.3,329.75,2005700,329.75
2016-03-30,331.4,339.55,331.4,338.25,1455300,338.25
2016-03-31,338.5,340.15,334.25,339.1,895500,339.1
2016-04-01,339,343,335.4,339.45,517400,339.45
2016-04-04,338.2,345.85,336.5,344.55,796400,344.55
2016-04-05,343.9,348,341.3,345.6,829200,345.6
2016-04-06,346.8,350,345.15,348.1,1075400,348.1
2016-04-07,346,348.4,338.45,339.3,1433300,339.3
2016-04-08,339,339,333.8,335.85,652900,335.85
2016-04-11,336.9,347.9,336.85,344.55,676400,344.55
2016-04-12,349.65,354,346.05,350.4,1549800,350.4
2016-04-13,353,360.3,348.4,352.85,1722200,352.85
2016-04-14,352.85,352.85,352.85,352.85,0,352.85
2016-04-15,352.85,352.85,352.85,352.85,0,352.85
2016-04-18,352.1,364.45,349.05,361.8,2020500,361.8
2016-04-19,361.8,361.8,361.8,361.8,0,361.8
2016-04-20,365.8,379,363.25,373.8,2840300,373.8
2016-04-21,379.95,384.6,366.75,369.35,1769800,369.35
2016-04-22,369,374.65,363.6,371.65,748400,371.65
2016-04-25,374.9,375,369.25,373.6,751600,373.6
2016-04-26,372.5,373.95,366.4,371.85,993500,371.85
2016-04-27,371.7,377,367.3,371.5,648900,371.5
2016-04-28,371.5,372.9,366.1,369.55,1902300,369.55
2016-04-29,366,368.3,355,355.9,1099900,355.9
2016-05-02,357.7,368.95,355.95,367.65,966000,367.65
2016-05-03,367.1,369,357.4,360.1,963100,360.1
2016-05-04,358,364.05,357.25,360.05,1040500,360.05
2016-05-05,358.7,364.5,353.2,359.2,1448900,359.2
2016-05-06,357.6,368.1,353.8,365.45,1508800,365.45
2016-05-09,354.2,369.55,354.2,365.5,4231500,365.5
2016-05-10,362.7,372.65,361,371.85,1693700,371.85
2016-05-11,367.5,374.15,366.95,372,3445800,372
2016-05-12,372,378.45,370.6,374,1198200,374
2016-05-13,375.1,384.85,363.65,364.7,2542600,364.7
2016-05-16,366,369,363.5,364.85,2146400,364.85
2016-05-17,367,371.4,363.25,364.75,1457300,364.75
2016-05-18,364.1,368.75,362.1,365.25,1500700,365.25
2016-05-19,365.75,368.3,362.8,363.95,1203500,363.95
2016-05-20,366.95,369.45,363.8,366.05,1829600,366.05
2016-05-23,366.4,368.85,361,362.6,791200,362.6
2016-05-24,364.9,367.5,358.7,362.6,2006700,362.6
2016-05-25,363.15,366.4,358.65,364.55,1152100,364.55
2016-05-26,363.25,366.95,359,361.9,1578400,361.9
2016-05-27,363.9,363.9,359.1,360.45,804600,360.45
2016-05-30,361.1,365.6,354.25,363.55,2101700,363.55
2016-05-31,372.5,381.95,355.35,360.5,27065500,360.5
2016-06-01,359,364.25,356.4,359.25,1519800,359.25
2016-06-02,358.75,363,354.6,358.05,1144300,358.05
2016-06-03,359.4,361.65,353.2,355.35,1126800,355.35
2016-06-06,354.9,357.05,351.7,353,908100,353
2016-06-07,354.3,361.8,353.95,360.6,1181700,360.6
2016-06-08,361.75,365.5,357.5,362.05,1176700,362.05
2016-06-09,363,366.45,361.5,364.65,394700,364.65
2016-06-10,364.2,366.65,360.6,362,422000,362
2016-06-13,360,367,358.25,364.2,603700,364.2
2016-06-14,364.7,368.85,363.6,367.05,452800,367.05
2016-06-15,368.05,369.9,364.25,366.85,736600,366.85
2016-06-16,366,372.55,364.5,371.5,850800,371.5
2016-06-17,372.35,378,372,376.35,1834200,376.35
2016-06-20,375,378.3,371.1,376.6,1358000,376.6
2016-06-21,376.9,377.4,373.2,375.45,453200,375.45
2016-06-22,375.95,380.9,375.5,379.3,887900,379.3
2016-06-23,378.8,389.7,377.55,388.15,1066900,388.15
2016-06-24,382,400.5,378.05,390.45,2567500,390.45
2016-06-27,392,395.8,388.45,391.5,963700,391.5
2016-06-28,395,396,388.1,389.9,451100,389.9
2016-06-29,389,398,387.7,396.5,972200,396.5
2016-06-30,398,410.15,396,406.25,3607500,406.25
2016-07-01,413.8,413.8,404.15,405.85,881000,405.85
2016-07-04,408,409.9,404.3,405.25,359700,405.25
2016-07-05,398,407,398,401.9,608900,401.9
2016-07-06,401.9,401.9,401.9,401.9,0,401.9
2016-07-07,402.9,404.7,401.2,402.85,442500,402.85
2016-07-08,402.1,405.9,397.75,401.45,332600,401.45
2016-07-11,405.2,407,401.6,402.65,896300,402.65
2016-07-12,404.15,408.45,398,406.05,602500,406.05
2016-07-13,406.15,407.4,401,404.8,996400,404.8
2016-07-14,408,416.8,406.3,414.9,1007300,414.9
2016-07-15,426.5,435,415.05,417.75,2849300,417.75
2016-07-18,422,422,391.5,413.8,613900,413.8
2016-07-19,413.9,415.35,409.5,413.25,614000,413.25
2016-07-20,409,417.4,407.2,412.1,537300,412.1
2016-07-21,412,414.3,406.25,409.2,316400,409.2
2016-07-22,410,412.15,405.7,409.7,562200,409.7
2016-07-25,411,416.5,409,412.75,704200,412.75
2016-07-26,414.5,419.35,411.2,414,675100,414
2016-07-27,414.3,416.4,407.2,411.7,529300,411.7
2016-07-28,411.7,432.5,410.55,426.6,1930300,426.6
2016-07-29,425.1,427.5,419.5,421.4,524600,421.4
2016-08-01,423.1,426,416.5,422.3,527500,422.3
2016-08-02,422.95,429,421.65,423.45,737700,423.45
2016-08-03,424.7,427,395.3,414.75,3494500,414.75
2016-08-04,410,411.65,398.1,408.2,1763200,408.2
2016-08-05,410,418.15,404.5,416.45,1055000,416.45
2016-08-08,420,422.2,415,419.7,616800,419.7
2016-08-09,405,421.75,405,420.1,813300,420.1
2016-08-10,420.1,420.1,402.35,403.95,915500,403.95
2016-08-11,404.8,405.95,398.45,400.35,1784000,400.35
2016-08-12,401.2,407.8,399.6,401.95,1055100,401.95
2016-08-15,401.95,401.95,401.95,401.95,0,401.95
2016-08-16,402.15,407.9,392.5,404.55,985300,404.55
2016-08-17,404.85,409.9,401.1,404.65,902500,404.65
2016-08-18,405,407.8,397.1,398.15,745800,398.15
2016-08-19,400,403.35,394.15,402,1115100,402
2016-08-22,402.5,406.5,399.15,402.95,618300,402.95
2016-08-23,403,407.5,401.6,406.75,1353900,406.75
2016-08-24,406.9,410.35,401.6,404.15,568000,404.15
2016-08-25,405.45,408.1,392,395.1,1667600,395.1
2016-08-26,398.4,407.3,398.05,405.75,586800,405.75
2016-08-29,405.75,405.85,400.25,403.2,232100,403.2
2016-08-30,403.95,410.5,402.1,407.6,866900,407.6
2016-08-31,408,420.25,408,418.5,1679300,418.5
2016-09-01,419,424.2,411.25,413.5,771200,413.5
2016-09-02,415.8,420.1,415,418.35,653000,418.35
2016-09-05,418.35,418.35,418.35,418.35,0,418.35
2016-09-06,419.15,440,419,437.45,1339400,437.45
2016-09-07,444,444.5,423.3,425.3,1104500,425.3
2016-09-08,425.4,434.9,423.35,432.85,990000,432.85
2016-09-09,434.2,434.2,422.1,423.95,975200,423.95
2016-09-12,420,420,410,411.3,994600,411.3
2016-09-13,411.3,411.3,411.3,411.3,0,411.3
2016-09-14,414,418,406,414.55,1555000,414.55
2016-09-15,417.9,417.9,404.4,406.4,1551400,406.4
2016-09-16,408.5,410.8,403.2,407.6,1324300,407.6
2016-09-19,406,409.5,401.5,402.85,860000,402.85
2016-09-20,401,406.5,399.7,402.85,515800,402.85
2016-09-21,405.7,409.9,402.25,406.45,1052700,406.45
2016-09-22,409.85,417,408.55,414.4,1140900,414.4
2016-09-23,414,419,407.3,409,834600,409
2016-09-26,408.5,410.85,401.5,404.75,555400,404.75
2016-09-27,402,406.75,402,405.35,599700,405.35
2016-09-28,405,410.9,402,409.7,1071000,409.7
2016-09-29,413,413.95,391.05,393.15,1437100,393.15
2016-09-30,393.05,399.2,383.2,395.1,1517800,395.1
2016-10-03,398,408.55,395.1,406.6,1133000,406.6
2016-10-04,407.35,408.2,400.6,406.55,784300,406.55
2016-10-05,406.7,408.85,400.7,405.9,734600,405.9
2016-10-06,406.5,408.9,395.1,398.85,903100,398.85
2016-10-07,399.9,400.95,392.3,395.3,1412900,395.3
2016-10-10,395.3,408.6,395,403.7,1317700,403.7
2016-10-11,403.7,403.7,403.7,403.7,0,403.7
2016-10-12,403.7,403.7,403.7,403.7,0,403.7
2016-10-13,403.5,404.05,385.5,388.2,4769900,388.2
2016-10-14,392.4,392.4,380.15,385.25,3113500,385.25
2016-10-17,385.25,389,380.3,386.1,1651900,386.1
2016-10-18,389.9,390.9,385,390.1,864700,390.1
