"Date","MRF.NS.Open","MRF.NS.High","MRF.NS.Low","MRF.NS.Close","MRF.NS.Volume","MRF.NS.Adjusted"
2015-04-29,37350,37625,36880,37025.6,9500,36913.36
2015-04-30,36924,37089,36402.1,36664.1,16100,36552.96
2015-05-01,36664.1,36664.1,36664.1,36664.1,0,36552.96
2015-05-04,37000,37950,36801,37813.3,11100,37698.67
2015-05-05,37813,38098.9,37640.4,37881.8,4700,37766.97
2015-05-06,37690,37850,36160.9,36345.7,10900,36235.52
2015-05-07,36299.9,36300.1,34702,35003.1,18100,34896.99
2015-05-08,35288,36150,35286.9,35902.4,7300,35793.56
2015-05-11,36102,36873.4,36011.1,36715.5,8400,36604.2
2015-05-12,36705,36848.9,35205.6,35402.6,7800,35295.28
2015-05-13,35550,36330,35261,36140.6,11000,36031.05
2015-05-14,36589,36589,35400,36452.2,8300,36341.7
