"Date","HEXAWARE.NS.Open","HEXAWARE.NS.High","HEXAWARE.NS.Low","HEXAWARE.NS.Close","HEXAWARE.NS.Volume","HEXAWARE.NS.Adjusted"
2016-08-09,218.1,221.35,216.65,217.05,1105100,214.9989
2016-08-10,217,218.2,212.25,213.3,718500,211.2843
2016-08-11,214,216.4,212.65,215.35,525800,213.315
2016-08-12,216.1,218,213.7,214.85,505500,212.8197
2016-08-15,214.85,214.85,214.85,214.85,0,212.8197
2016-08-16,214.8,214.95,210.75,211.35,820400,209.3528
2016-08-17,211.1,217.35,210,216.15,952900,214.1074
2016-08-18,216.7,219,215.3,216.1,550200,214.0579
2016-08-19,216.3,218.65,215.4,217.2,609000,215.1475
2016-08-22,217.9,219.4,214.45,216.6,510300,214.5532
2016-08-23,215.1,220.5,215.1,219.05,695800,216.98
2016-08-24,221,221,215.85,217.4,582800,215.3456
2016-08-25,217.1,217.75,210.8,211.5,896500,209.5013
2016-08-26,212,213.35,207.75,208.25,641100,206.2821
2016-08-29,208,209.3,197,197.8,2088600,195.9308
2016-08-30,198.8,203.4,197.8,202.05,1346900,200.1407
2016-08-31,203.9,206.4,201.7,203.05,965500,201.1312
2016-09-01,202.2,203.75,199.2,200,501100,198.11
2016-09-02,198.2,199.6,194.85,197.2,1192800,195.3365
2016-09-05,197.2,197.2,197.2,197.2,0,195.3365
2016-09-06,197.35,200.8,196.35,199.6,1010400,197.7138
2016-09-07,201.6,208.4,200,203.75,1755200,201.8246
2016-09-08,202,202.4,198.55,200.6,1225900,198.7044
2016-09-09,200.6,204.35,199.25,201.95,818500,200.0416
2016-09-12,199.5,202.5,196.1,199.35,759000,197.4662
2016-09-13,199.35,199.35,199.35,199.35,0,197.4662
2016-09-14,199,201.45,197.55,199.8,666100,197.9119
2016-09-15,202.1,202.6,199.55,200.35,522100,198.4567
2016-09-16,201.3,202.7,198.7,200.55,630000,198.6548
2016-09-19,200.8,202.65,199.5,200.05,543400,198.1596
2016-09-20,200.4,201.4,195,195.85,871700,193.9992
2016-09-21,194.15,197.5,192.2,196.15,1133000,194.2964
2016-09-22,196.6,198.75,193.65,195.15,777100,193.3058
2016-09-23,196,198.35,194.9,196.15,648800,194.2964
2016-09-26,196,196,192.45,192.75,394600,190.9285
