"Date","GRASIM.NS.Open","GRASIM.NS.High","GRASIM.NS.Low","GRASIM.NS.Close","GRASIM.NS.Volume","GRASIM.NS.Adjusted"
2016-08-04,4977,5016.85,4968.65,4995.5,519500,975.19
2016-08-05,5010,5361.05,4999,5265.45,960700,1027.89
2016-08-08,5280,5344,5266.1,5286.1,406100,1031.92
2016-08-09,5286,5309.8,5155,5186.35,314000,1012.45
2016-08-10,5200,5200,4805.6,4843.5,1337100,945.52
2016-08-11,4839,4846.8,4515.4,4539.6,3061200,886.2
2016-08-12,4442.05,4616.3,4155.55,4561.55,10768900,890.48
2016-08-15,4561.55,4561.55,4561.55,4561.55,0,890.48
2016-08-16,4565,4584.75,4411,4484.6,2529700,875.46
2016-08-17,4480,4589,4470.2,4520.15,1602400,882.4
2016-08-18,4523,4649.95,4523,4627,1313200,903.26
2016-08-19,4651,4695,4605.15,4632.65,1249900,904.36
2016-08-22,4632.65,4650,4490,4502.25,1329300,878.91
2016-08-23,4490.3,4575,4474.35,4526.6,1279200,883.66
2016-08-24,4531,4602.65,4495.5,4573.15,780200,892.75
2016-08-25,4575,4625,4515.65,4528.35,1347200,884
2016-08-26,4550,4571.4,4508,4533.45,406300,885
2016-08-29,4544,4569,4513.5,4523.85,346500,883.12
2016-08-30,4535.05,4734.8,4535.05,4683.2,1436500,914.23
2016-08-31,4710,4754.35,4657.6,4669.75,978000,911.6
2016-09-01,4651,4724,4581,4603.75,834500,898.72
