"Date","BHARATFIN.NS.Open","BHARATFIN.NS.High","BHARATFIN.NS.Low","BHARATFIN.NS.Close","BHARATFIN.NS.Volume","BHARATFIN.NS.Adjusted"
2016-09-01,820.1,826.7,803,805.4,1067500,805.4
2016-09-02,811,816.8,800.9,809.4,747400,809.4
2016-09-05,809.4,809.4,809.4,809.4,0,809.4
2016-09-06,815.75,832.8,811.8,829.15,1483700,829.15
2016-09-07,836.4,836.4,814.35,817.8,617400,817.8
2016-09-08,821.8,827.95,812.2,814.15,726800,814.15
2016-09-09,815.65,815.95,774,779.9,2264900,779.9
2016-09-12,758.95,758.95,721.4,730.7,2176600,730.7
2016-09-13,730.7,730.7,730.7,730.7,0,730.7
2016-09-14,729.2,779.8,726,775.4,1628200,775.4
2016-09-15,777.4,777.4,756.25,762.35,746800,762.35
2016-09-16,774,789.85,746.15,753.75,1198000,753.75
2016-09-19,756.7,781,756.05,769.35,1091900,769.35
2016-09-20,769.35,787,769.35,781.2,865000,781.2
2016-09-21,783,795,773,778.55,1200100,778.55
2016-09-22,794.1,815.95,784.8,812.3,2482400,812.3
2016-09-23,825,868.8,817.2,847.2,6809500,847.2
2016-09-26,845.05,864.75,838.8,849.8,2488300,849.8
2016-09-27,860.2,868.9,853.25,856.85,2584300,856.85
2016-09-28,863.7,867.65,851.4,864.05,1456800,864.05
2016-09-29,873.7,877.5,817.5,833.45,2835300,833.45
2016-09-30,838.8,882.7,821.5,880.65,2590000,880.65
2016-10-03,889,925,886,920.85,2231000,920.85
2016-10-04,927,928.05,903.6,919.7,1579300,919.7
2016-10-05,926,930,897.35,902.25,973200,902.25
2016-10-06,909.75,915,882.2,886.95,1621000,886.95
2016-10-07,890,891.45,867,882.2,1010600,882.2
2016-10-10,890,890.15,869,872.75,625200,872.75
2016-10-11,872.75,872.75,872.75,872.75,0,872.75
