"Date","OIL.NS.Open","OIL.NS.High","OIL.NS.Low","OIL.NS.Close","OIL.NS.Volume","OIL.NS.Adjusted"
2015-02-17,498.999,498.999,498.999,498.999,0,323.9
2015-02-18,501.799,506.499,494.399,501.099,349200,325.263
2015-02-19,503.299,505.999,494.148,497.299,215700,322.797
2015-02-20,498.999,502.899,492.999,494.399,293500,320.914
2015-02-23,499.999,499.999,485.199,487.299,258800,316.306
2015-02-24,488.999,490.499,468.399,470.249,724700,305.239
2015-02-25,472.499,483.999,472.049,478.999,607300,310.918
2015-02-26,480.899,481.948,469.099,473.799,320500,307.543
2015-02-27,475.899,513.499,473.899,502.799,628400,326.367
2015-03-02,500.099,507.648,489.999,498.599,326100,323.64
2015-03-03,503.999,504.999,487.049,489.549,539100,317.767
2015-03-04,491.549,496.499,487.148,488.249,580600,316.923
2015-03-05,492.999,495.648,485.099,492.648,92100,319.778
2015-03-06,492.648,492.648,492.648,492.648,0,319.778
2015-03-09,493.999,494.899,485.049,492.448,322100,319.648
2015-03-10,489.999,496.899,487.799,493.899,216000,320.59
2015-03-11,494.999,499.849,482.249,484.849,715200,314.716
2015-03-12,486.099,490.599,483.199,486.148,275700,315.559
2015-03-13,487.999,489.799,481.999,486.849,400400,316.014
2015-03-16,486.849,488.148,475.199,477.399,736600,309.88
2015-03-17,479.799,485.148,478.199,480.148,937100,311.664
2015-03-18,481.999,482.999,476.999,478.249,310000,310.432
2015-03-19,479.999,507.999,477.799,483.849,679400,314.067
2015-03-20,483.999,487.099,473.448,480.999,349800,312.216
2015-03-23,482.999,488.948,480.748,484.249,190900,314.326
2015-03-24,478.699,478.699,468.999,471.448,200400,314.681
2015-03-25,476.699,480.948,466.85,471.299,264000,314.582
2015-03-26,469.999,472.899,466.999,468.299,209800,312.579
2015-03-27,469.948,472.499,450.099,457.299,533700,305.237
2015-03-30,459.999,464.999,454.999,456.85,245800,304.937
2015-03-31,459.799,462.799,452.448,454.948,369600,303.668
