"Date","INDUSINDBK.NS.Open","INDUSINDBK.NS.High","INDUSINDBK.NS.Low","INDUSINDBK.NS.Close","INDUSINDBK.NS.Volume","INDUSINDBK.NS.Adjusted"
2015-10-30,914,922.25,902.35,911.9,905000,908.14
2015-11-02,911.9,916.85,904.2,913.65,777000,909.88
2015-11-03,914.95,921,908.5,911.85,1077400,908.09
2015-11-04,915.35,919.4,909.25,913.7,539300,909.93
2015-11-05,911,912.8,901.25,907.45,1329800,903.71
2015-11-06,911,924,908.6,920.95,1027400,917.15
2015-11-09,903,925.6,900,923.4,1281600,919.59
2015-11-10,914,917.9,891,893.75,1005000,890.06
2015-11-11,893.75,893.75,893.75,893.75,0,890.06
2015-11-12,893.75,893.75,893.75,893.75,0,890.06
2015-11-13,888.9,895.75,880,892.25,780600,888.57
2015-11-16,889.4,917.55,889.4,912.4,641300,908.64
2015-11-17,915.3,916.35,901,906.25,370400,902.51
2015-11-18,905,913,897.4,901.05,720300,897.33
2015-11-19,909,917.35,900.65,914.15,654100,910.38
2015-11-20,914.15,931.5,910,921.85,1277600,918.05
2015-11-23,923,929.95,918.05,919.7,561700,915.91
2015-11-24,918.75,928,912.05,919.55,758400,915.76
2015-11-25,919.55,919.55,919.55,919.55,0,915.76
2015-11-26,922.9,924.1,913.5,915.55,1010100,911.77
2015-11-27,921,926.5,910.6,923.35,1152400,919.54
2015-11-30,925.4,939,922.3,935.25,1180400,931.39
2015-12-01,940,945,933.5,942.65,856600,938.76
2015-12-02,944.5,945,935.2,942.6,795900,938.71
2015-12-03,939.65,949.5,933,946.7,766200,942.79
2015-12-04,940.1,944.95,934.85,942.95,1331500,939.06
2015-12-07,943,954.4,941,952.75,884300,948.82
2015-12-08,948.9,957.35,941.5,944.2,768600,940.31
2015-12-09,943,949,924.3,927.85,620200,924.02
2015-12-10,928.1,932.45,919.45,930.1,978600,926.26
2015-12-11,928,937.6,907.1,916.15,1189300,912.37
2015-12-14,911.7,922,903.75,914.35,1665400,910.58
2015-12-15,915,923.9,906.2,918.15,1122700,914.36
2015-12-16,921.3,941.4,919.05,932.75,822600,928.9
2015-12-17,938,951.8,929.4,949.05,799900,945.14
2015-12-18,945.7,948.5,929.8,935.05,1605300,931.19
2015-12-21,936,952.75,933.85,950.65,497300,946.73
2015-12-22,950,950,930.3,934.7,491300,930.84
2015-12-23,936.15,944.6,936.15,939.65,460400,935.77
2015-12-24,943.3,949.45,933.8,945.4,528800,941.5
2015-12-25,945.4,945.4,945.4,945.4,0,941.5
2015-12-28,946.5,959.5,944.5,957.6,918600,953.65
2015-12-29,955,962,952,958.75,748800,954.8
2015-12-30,962,969.9,960,968.55,647800,964.55
2015-12-31,969,971.95,963.25,968.95,1943800,964.95
2016-01-01,968,972.3,961.35,963.85,500200,959.87
2016-01-04,961.8,961.85,931.95,934.2,1210300,930.35
2016-01-05,940.8,946.35,932.2,935.25,780600,931.39
2016-01-06,936.15,951.8,926.5,943.95,1030600,940.06
2016-01-07,934.1,937.05,920.75,925.5,1976100,921.68
2016-01-08,934.55,948.7,932,947.05,744100,943.14
2016-01-11,939.95,942.2,928,936.75,1193300,932.89
2016-01-12,940,941.8,905.1,913.25,4267300,909.48
2016-01-13,913.85,944.75,913.8,936.4,3876400,932.54
2016-01-14,921,929.9,913,917,1625700,913.22
2016-01-15,919.8,932.1,915.6,921.55,1139000,917.75
2016-01-18,916.55,929.95,893.95,899.1,1123400,895.39
2016-01-19,897.25,905.5,888,896.45,1086700,892.75
2016-01-20,884.45,960,866.8,873.65,1179400,870.05
2016-01-21,880,896.25,868.3,873.4,1192100,869.8
2016-01-22,887.9,905.4,880.8,898,1018500,894.3
2016-01-25,905,910.9,899.6,907.2,666400,903.46
2016-01-26,907.2,907.2,907.2,907.2,0,903.46
2016-01-27,907.85,918,880.05,908.25,1054200,904.5
2016-01-28,907,917.7,900,907.15,1679200,903.41
2016-01-29,906.5,935,900,928.8,1369000,924.97
2016-02-01,928.75,939.6,924,927.1,916500,923.28
2016-02-02,927,932,903.8,908.25,688300,904.5
2016-02-03,895,915.2,891,905.65,773000,901.91
2016-02-04,912,918.25,903.55,913.2,812300,909.43
2016-02-05,913.95,917.4,909,911.85,1654400,908.09
2016-02-08,910.6,910.65,878.55,882.95,1754700,879.31
2016-02-09,873,878.5,859.45,868.35,2083600,864.77
2016-02-10,866,867,827.75,835.1,2329900,831.66
2016-02-11,830,833.2,799,811.15,5158200,807.8
2016-02-12,815,831.85,800,811.95,3788400,808.6
2016-02-15,825,832,817.25,823.7,2167900,820.3
2016-02-16,831.95,838.95,819.5,834.8,2242500,831.36
2016-02-17,830,835.4,813.4,831.55,1141900,828.12
2016-02-18,837.3,850.35,833.6,847.7,1064000,844.2
2016-02-19,843.1,848.7,835.1,841.5,1035900,838.03
2016-02-22,845,855.45,840.2,844.6,613000,841.12
2016-02-23,842,845.55,830.75,839.65,1908400,836.19
2016-02-24,835.65,838,818.9,821.9,1034200,818.51
2016-02-25,822,823.95,804.75,807.75,1480200,804.42
2016-02-26,815,822.5,813.2,816.35,1045100,812.98
2016-02-29,817.5,839.45,802,830,3045800,826.58
2016-03-01,837,867.6,834,860.8,1330300,857.25
2016-03-02,874.9,896.5,871,882.6,2349600,878.96
2016-03-03,885,898.1,884.25,895.75,1973900,892.05
2016-03-04,898.8,921.3,880.95,915.9,1327200,912.12
2016-03-07,915.9,915.9,915.9,915.9,0,912.12
2016-03-08,916,927.55,904,921.05,1879400,917.25
2016-03-09,913,937.45,912.25,934.45,1631900,930.6
2016-03-10,934,935.25,919,927.25,1128900,923.43
2016-03-11,921.05,933.15,918.05,926.7,1436000,922.88
2016-03-14,929,932,918.1,921.1,1238300,917.3
2016-03-15,921.9,931.95,916.8,918.4,1027900,914.61
2016-03-16,921.8,927,909.3,915.65,1558500,911.87
2016-03-17,926.5,928,901.35,912.55,2374200,908.79
2016-03-18,911.55,934.75,903.25,929,1678200,925.17
2016-03-21,930,936.5,922.8,932.2,1120000,928.35
2016-03-22,932.4,937,922.7,928,1462800,924.17
2016-03-23,929,934.5,925,928.05,1426700,924.22
2016-03-24,928.05,928.05,928.05,928.05,0,924.22
2016-03-25,928.05,928.05,928.05,928.05,0,924.22
2016-03-28,927,939,911.65,914.8,4743400,911.03
2016-03-29,917.9,930.5,912.8,928.05,1120600,924.22
2016-03-30,939,948.8,935.5,946.7,1817400,942.79
2016-03-31,946.2,970,936.6,967.6,2973700,963.61
2016-04-01,966.65,969,950.75,961.3,933700,957.33
2016-04-04,961.3,970,956,961.3,1501900,957.33
2016-04-05,959.8,964,946.4,951.3,1278300,947.38
2016-04-06,951.2,959.1,947.05,955.4,1055600,951.46
2016-04-07,955,958.95,937.5,939.6,865000,935.72
2016-04-08,940,946.8,935,937,1035900,933.13
2016-04-11,939,962,936.5,960.8,921800,956.84
2016-04-12,961,970.8,957.55,968.95,1045500,964.95
2016-04-13,975,994.45,974,986.4,2933400,982.33
2016-04-14,986.4,986.4,986.4,986.4,0,982.33
2016-04-15,986.4,986.4,986.4,986.4,0,982.33
2016-04-18,986.4,993.65,977.2,988.3,1475700,984.22
2016-04-19,988.3,988.3,988.3,988.3,0,984.22
2016-04-20,988,988.95,973.55,983.85,1424900,979.79
2016-04-21,993,993.8,964.5,972.1,3279300,968.09
2016-04-22,974.7,989,970.8,981.5,1648800,977.45
2016-04-25,982.4,987,974.15,982.35,904300,978.3
2016-04-26,982,1025,975,1021.4,3199400,1017.19
2016-04-27,1021.9,1042,1020,1040,3437000,1035.71
2016-04-28,1039.7,1048.6,1029,1035,1892300,1030.73
2016-04-29,1032.1,1053.5,1027.15,1048.85,922100,1044.52
2016-05-02,1043,1055,1040.4,1045.05,1190600,1040.74
2016-05-03,1045,1057.25,1032.55,1037.8,993300,1033.52
2016-05-04,1037,1046.95,1029.1,1042,1490400,1037.7
2016-05-05,1042,1044.3,1026.25,1037.55,1012200,1033.27
2016-05-06,1037.85,1044.3,1025.25,1042.2,858000,1037.9
2016-05-09,1042,1059.2,1038.9,1054.9,2193300,1050.55
2016-05-10,1055,1055,1047.25,1054.7,1037300,1050.35
2016-05-11,1036.1,1059.8,1036.1,1053.75,1502200,1049.4
2016-05-12,1052.5,1071.4,1046.25,1066.1,1085500,1061.7
2016-05-13,1060,1069,1055,1065.2,1078600,1060.81
2016-05-16,1063,1085,1058.05,1080.8,806700,1076.34
2016-05-17,1083,1099.8,1077,1084.45,1890300,1079.98
2016-05-18,1080,1086,1066.35,1083,692800,1078.53
2016-05-19,1078,1081.1,1064.95,1072.1,778300,1067.68
2016-05-20,1069,1076.4,1059,1070.45,687000,1066.03
2016-05-23,1072.35,1079.95,1050.3,1056.3,1038300,1051.94
2016-05-24,1056.4,1056.4,1039.15,1043.65,1287800,1039.34
2016-05-25,1055.25,1098.9,1055.25,1096.15,1011600,1091.63
2016-05-26,1095.05,1109,1088,1103.9,1356100,1099.35
2016-05-27,1101.25,1111.85,1099.15,1104.1,1377000,1099.55
2016-05-30,1106.2,1113.55,1096.9,1100.3,927500,1095.76
2016-05-31,1101.1,1107.05,1095,1102.85,1043200,1098.3
2016-06-01,1103,1107.8,1096.55,1103.75,692900,1099.2
2016-06-02,1105,1124.9,1099.15,1121.8,1139600,1117.17
2016-06-03,1130,1132.5,1119.1,1123.95,771900,1119.31
2016-06-06,1124.95,1130,1115.55,1121.75,453700,1117.12
2016-06-07,1126.5,1128.95,1104.45,1109.9,886100,1105.32
2016-06-08,1113,1119.6,1093.2,1113.6,644700,1109.01
2016-06-09,1114.85,1125,1103.35,1122,862700,1117.37
2016-06-10,1114.1,1126.25,1108.15,1109.9,1033000,1105.32
2016-06-13,1100,1119.9,1100,1108.45,986900,1103.88
2016-06-14,1103.35,1119.9,1099.55,1116.75,615000,1112.14
2016-06-15,1119.05,1125.6,1110,1123.55,894200,1118.92
2016-06-16,1118.9,1118.9,1086.25,1100.25,938600,1095.71
2016-06-17,1107,1107.7,1085.5,1099.2,1499500,1094.67
2016-06-20,1089.85,1113,1088.5,1103.55,655600,1099
2016-06-21,1103,1103.65,1088.5,1090.65,789000,1086.15
2016-06-22,1090.65,1097,1085.7,1090.9,1351700,1086.4
2016-06-23,1088.85,1111,1086.65,1103.3,1304900,1103.3
2016-06-24,1052.1,1100,1045.75,1095.8,1757400,1095.8
2016-06-27,1091.8,1100,1074.4,1079.8,651000,1079.8
2016-06-28,1080,1090.65,1076.7,1084.7,705400,1084.7
2016-06-29,1090,1108.9,1079.5,1101.3,933500,1101.3
2016-06-30,1110,1117.75,1101,1111.6,1401100,1111.6
2016-07-01,1125,1128.5,1118.05,1123.35,936000,1123.35
2016-07-04,1124,1126,1104.5,1107.6,466900,1107.6
2016-07-05,1100,1113.5,1096.25,1107.1,607200,1107.1
2016-07-06,1107.1,1107.1,1107.1,1107.1,0,1107.1
2016-07-07,1115,1116.3,1095.5,1105.4,1663200,1105.4
2016-07-08,1110,1130.5,1106.1,1126.7,1766200,1126.7
2016-07-11,1146,1147,1115.5,1124.45,5154100,1124.45
2016-07-12,1139.95,1140.5,1123.05,1125.2,1973200,1125.2
2016-07-13,1123.7,1129.7,1100.5,1104.4,1907100,1104.4
2016-07-14,1107,1124,1102.25,1114.1,790700,1114.1
2016-07-15,1114.7,1135.85,1113.1,1126.8,1430200,1126.8
2016-07-18,1128.05,1144.65,1127.05,1130.9,1161600,1130.9
2016-07-19,1134,1134,1104.2,1107.15,1961700,1107.15
2016-07-20,1103.9,1122,1101,1118.5,1567700,1118.5
2016-07-21,1120.1,1143.9,1111.3,1136.65,1213800,1136.65
2016-07-22,1131.5,1145,1131.05,1138.85,968300,1138.85
2016-07-25,1135,1164.45,1132.85,1156.35,1187100,1156.35
2016-07-26,1156.3,1167.65,1149.55,1156.45,1625200,1156.45
2016-07-27,1158,1181.7,1156.6,1178.3,1811600,1178.3
2016-07-28,1179.7,1192,1164.35,1168.3,1288800,1168.3
2016-07-29,1177.8,1184.95,1168.35,1175.65,810300,1175.65
2016-08-01,1173,1205,1173,1200.55,1229300,1200.55
2016-08-02,1200.1,1211.9,1189.4,1192.9,687400,1192.9
2016-08-03,1183.1,1193.2,1174,1178.4,938400,1178.4
2016-08-04,1183.4,1187,1157.5,1166.3,974900,1166.3
2016-08-05,1174.9,1188.35,1173.7,1184.6,792700,1184.6
2016-08-08,1190.35,1206.8,1188,1192.4,684500,1192.4
2016-08-09,1194.8,1196.8,1181.55,1186.25,1083700,1186.25
2016-08-10,1190,1190,1153,1158.1,835000,1158.1
2016-08-11,1159,1168,1145.45,1164.45,1279600,1164.45
2016-08-12,1175.2,1180,1161.4,1173.8,801800,1173.8
2016-08-15,1173.8,1173.8,1173.8,1173.8,0,1173.8
2016-08-16,1171,1182,1153.65,1158.35,1259400,1158.35
2016-08-17,1159.55,1161.8,1149,1153.55,834600,1153.55
2016-08-18,1158.2,1197,1157.05,1194.6,1343500,1194.6
2016-08-19,1199.9,1203.75,1184.55,1188.15,603600,1188.15
2016-08-22,1192,1203.3,1184,1186.75,545400,1186.75
2016-08-23,1184.7,1195,1179.15,1189.2,382600,1189.2
2016-08-24,1187.8,1192.75,1179,1182.75,336100,1182.75
2016-08-25,1183.5,1198.95,1178.15,1182.05,855800,1182.05
2016-08-26,1182.05,1185,1159.35,1163.55,926000,1163.55
2016-08-29,1161.2,1167.15,1148.1,1155.55,455700,1155.55
2016-08-30,1160,1170,1157.35,1160.1,1611500,1160.1
2016-08-31,1168,1199.6,1160.2,1186.2,2488400,1186.2
2016-09-01,1191.75,1196.65,1180.65,1184.2,656400,1184.2
2016-09-02,1184.7,1194.5,1181.55,1192.15,641700,1192.15
2016-09-05,1192.15,1192.15,1192.15,1192.15,0,1192.15
2016-09-06,1196.35,1233,1196.35,1226.95,1525200,1226.95
2016-09-07,1238.9,1256.05,1213.45,1217.05,1397300,1217.05
2016-09-08,1219.8,1224.95,1201,1219.6,857800,1219.6
2016-09-09,1218,1223.8,1200,1217.65,731500,1217.65
