"Date","HDFC.NS.Open","HDFC.NS.High","HDFC.NS.Low","HDFC.NS.Close","HDFC.NS.Volume","HDFC.NS.Adjusted"
2016-06-13,1218.05,1225,1201.2,1205.35,4888000,1190.1118
2016-06-14,1208.3,1209.4,1189,1198.2,2396900,1183.0522
2016-06-15,1206.2,1209.4,1189.25,1205.15,2921100,1189.9144
2016-06-16,1198,1205.8,1182.15,1200.95,1840800,1185.7674
2016-06-17,1215,1235.9,1210.35,1227.3,2684000,1211.7844
2016-06-20,1212,1234,1206,1227.55,2128200,1212.0313
2016-06-21,1233,1242.4,1220,1238.15,2277100,1222.4972
2016-06-22,1234,1241.8,1225,1238.35,2568900,1222.6946
2016-06-23,1237.9,1249.45,1228.2,1245.5,1323800,1229.7543
2016-06-24,1210,1225.9,1201,1222.75,2579100,1207.2919
2016-06-27,1211.1,1229.75,1210.55,1214.6,1699700,1199.2449
