"Date","LUPIN.NS.Open","LUPIN.NS.High","LUPIN.NS.Low","LUPIN.NS.Close","LUPIN.NS.Volume","LUPIN.NS.Adjusted"
2015-02-10,1546.95,1570.75,1542.05,1562.95,318000,1549.883
2015-02-11,1568,1599.95,1556.4,1590.5,400900,1577.202
2015-02-12,1600,1633.85,1586.1,1617.7,348100,1604.175
2015-02-13,1683,1692.15,1644.15,1679.45,1764000,1665.409
2015-02-16,1688,1689.8,1657.8,1662.25,830100,1648.352
2015-02-17,1662.25,1662.25,1662.25,1662.25,0,1648.352
2015-02-18,1684.95,1687.2,1664,1681.85,664100,1667.788
2015-02-19,1687,1705.5,1674.4,1686.5,905300,1672.4
2015-02-20,1688,1698.6,1676.05,1691.35,611200,1677.209
2015-02-23,1685,1703,1601.2,1648.9,2661100,1635.114
2015-02-24,1650.1,1668,1624,1661.8,713100,1647.906
2015-02-25,1667,1670,1648.45,1664.3,1030300,1650.385
2015-02-26,1665,1716,1648,1697.55,4295600,1683.357
2015-02-27,1700,1745.15,1700,1737.5,1319800,1722.973
2015-03-02,1749,1808.8,1743,1796.95,727100,1781.926
2015-03-03,1795,1826,1785,1802.35,764800,1787.281
2015-03-04,1815.95,1833.9,1769.3,1787.25,812900,1772.307
2015-03-05,1781.1,1843.4,1776.05,1838.15,990500,1822.782
2015-03-06,1838.15,1838.15,1838.15,1838.15,0,1822.782
2015-03-09,1836.7,1879.8,1830,1869.5,1055200,1853.87
2015-03-10,1884.4,1917.3,1870,1898.4,1443100,1882.528
2015-03-11,1904.4,1905,1859.9,1872,939900,1856.349
2015-03-12,1875,1889.85,1860,1883.35,980100,1867.604
2015-03-13,1888,1905.95,1865.5,1877.35,927700,1861.654
2015-03-16,1880,1894,1861,1864.55,817200,1848.961
2015-03-17,1874.8,1894,1865.15,1876.65,631100,1860.96
2015-03-18,1884.9,1898,1866.3,1873.4,694100,1857.737
2015-03-19,1900.1,1959.35,1882.6,1921.65,1675300,1905.584
2015-03-20,1934,1955.85,1884.9,1906.3,2981400,1890.362
2015-03-23,1912,1936.9,1895,1921.5,790800,1905.435
2015-03-24,1931,2025,1923.35,2007.9,1531200,1991.112
2015-03-25,2031.3,2036.95,1987,2008.9,1903400,1992.104
2015-03-26,1990,2013.5,1953.25,1972.95,1844800,1956.455
2015-03-27,1975,1988.5,1948,1954.8,1491400,1938.456
2015-03-30,1979,2012.6,1960,1999,1045600,1982.287
2015-03-31,2010.75,2028.8,1994.45,2008.4,872400,1991.608
2015-04-01,2008,2044.9,2004.05,2037.5,765800,2020.465
2015-04-02,2037.5,2037.5,2037.5,2037.5,0,2020.465
2015-04-03,2037.5,2037.5,2037.5,2037.5,0,2020.465
2015-04-06,2039.65,2095,2039,2088.25,876000,2070.791
2015-04-07,2100,2109.6,2059.75,2091.6,907900,2074.113
2015-04-08,2114.9,2115,2066.9,2082.1,1004400,2064.692
2015-04-09,2090,2090,2004.45,2015.75,1552400,1998.897
2015-04-10,2025.1,2025.8,1958.3,1964.2,2428300,1947.778
2015-04-13,1973.9,1992.8,1965,1981.5,1082600,1964.933
2015-04-14,1981.5,1981.5,1981.5,1981.5,0,1964.933
2015-04-15,1994.5,1998,1929,1951.45,1848400,1935.134
2015-04-16,1944,1944,1862.85,1900.5,1899600,1884.61
2015-04-17,1898.2,1898.2,1739.55,1770.05,4494000,1755.251
2015-04-20,1776.6,1819.5,1750,1786.95,2341200,1772.01
2015-04-21,1774,1802,1721,1759.65,1529600,1744.938
2015-04-22,1768,1777,1734,1750.5,1854000,1735.865
2015-04-23,1760.3,1779.95,1721.55,1725.85,1467400,1711.421
2015-04-24,1735,1777,1712.15,1757.15,1336100,1742.459
2015-04-27,1768.9,1769,1683.05,1723.15,1130500,1708.743
2015-04-28,1716.5,1740,1687.65,1721.75,1110800,1707.355
2015-04-29,1707.15,1768,1707.15,1744.1,977600,1729.518
2015-04-30,1749.8,1785,1730,1772.55,1877800,1757.73
2015-05-01,1772.55,1772.55,1772.55,1772.55,0,1757.73
2015-05-04,1781.4,1823.9,1777,1814.85,1013900,1799.676
2015-05-05,1810,1829.7,1795.3,1811.75,742800,1796.602
2015-05-06,1808,1818,1738.3,1754.85,1454700,1740.178
2015-05-07,1760,1760,1691.1,1741,1339700,1726.444
2015-05-08,1747,1786.9,1741,1770.35,879400,1755.549
2015-05-11,1764.95,1788.9,1730,1769.9,1358700,1755.102
2015-05-12,1770,1771.9,1736,1748.25,986100,1733.633
2015-05-13,1770,1804.95,1678.5,1689.5,5146100,1675.375
2015-05-14,1654,1654,1588.25,1631.95,4569400,1618.306
2015-05-15,1644.5,1695.8,1636,1684.25,2643500,1670.168
2015-05-18,1699.4,1746,1696,1732.55,1973100,1718.065
