"Date","ESCORTS.NS.Open","ESCORTS.NS.High","ESCORTS.NS.Low","ESCORTS.NS.Close","ESCORTS.NS.Volume","ESCORTS.NS.Adjusted"
2016-08-18,314.9,319.75,311.1,313.45,1938700,312.34
2016-08-19,314,315.1,304.6,305.75,1120100,304.66
2016-08-22,307.1,323.65,303.25,316,4251800,314.88
2016-08-23,316.4,333.4,312.1,326.85,4964000,325.69
2016-08-24,328,328,313.4,317.65,2520700,316.52
2016-08-25,319,332.9,317.1,329.45,4395300,328.28
2016-08-26,329,330.55,321.1,322.7,1431500,321.55
2016-08-29,323.2,326.25,316.7,321.15,1275000,320.01
2016-08-30,322.4,329,320,326.2,1602700,325.04
2016-08-31,328.5,334.9,323.5,325.45,2194400,324.29
2016-09-01,326.4,334.4,325.05,330.4,2629500,329.23
2016-09-02,332.4,337.2,330.6,332.5,1495400,331.32
2016-09-05,332.5,332.5,332.5,332.5,0,331.32
2016-09-06,333.8,336.8,331.25,333.8,1061900,332.61
2016-09-07,335.25,343.9,335.25,337.5,1919600,336.3
2016-09-08,338.7,344.9,337,342.2,1188500,342.2
2016-09-09,342.95,374.7,338.2,366.7,7203900,366.7
2016-09-12,354.1,365.7,347.15,351.65,3125500,351.65
2016-09-13,351.65,351.65,351.65,351.65,0,351.65
2016-09-14,350.6,358.85,348.1,352.7,1483700,352.7
2016-09-15,354.85,358,344,345.65,1245200,345.65
2016-09-16,347.85,357,337.55,345.05,1440000,345.05
2016-09-19,348,353.5,345.2,348.75,1061000,348.75
2016-09-20,351,373.8,350.1,366.85,5495600,366.85
2016-09-21,366.9,377.9,363.1,369.4,2788100,369.4
2016-09-22,373.4,385.9,371.8,382.7,3423700,382.7
2016-09-23,383.75,384.3,377.15,380.7,1228000,380.7
2016-09-26,378,380.9,370.5,375.1,1138700,375.1
