"Date","MFSL.NS.Open","MFSL.NS.High","MFSL.NS.Low","MFSL.NS.Close","MFSL.NS.Volume","MFSL.NS.Adjusted"
2016-04-04,346,346,335.5,337.8,229500,336.763
2016-04-05,337.5,343.5,336,340.15,43000,339.106
2016-04-06,343.7,349,339.2,345.3,31400,344.24
2016-04-07,344.1,356.95,341.45,348.5,587900,347.43
2016-04-08,349.1,351.9,341.4,341.75,36900,340.701
2016-04-11,341.5,348,333,345.8,33100,344.739
2016-04-12,346,357,345.6,350.7,114200,349.624
2016-04-13,350.75,363.8,350,353.1,352600,352.016
2016-04-14,353.1,353.1,353.1,353.1,0,352.016
2016-04-15,353.1,353.1,353.1,353.1,0,352.016
2016-04-18,343,364.4,343,357.85,106000,356.752
2016-04-19,357.85,357.85,357.85,357.85,0,356.752
2016-04-20,360.2,372,354,359.7,103500,358.596
2016-04-21,359.95,366,352.1,360.6,70000,359.493
2016-04-22,362,374.25,358,372.35,90700,371.207
2016-04-25,372.35,375.05,367,373.45,151400,372.304
2016-04-26,375,379,370.1,374.7,132300,373.55
2016-04-27,373.2,374.95,364,367.75,26000,366.621
2016-04-28,365.05,368.7,344.05,349.05,253100,347.979
2016-04-29,354.65,367,350.45,365.2,220500,364.079
2016-05-02,364.95,374.5,358.25,372.75,131900,371.606
2016-05-03,371.2,376.7,368,370,69200,368.864
2016-05-04,362.55,372,361,367.1,81700,365.973
2016-05-05,368.7,368.7,355.95,360.9,164700,359.792
2016-05-06,360.95,370,356.4,362.3,85100,361.188
2016-05-09,367.85,370.35,361.75,369.45,113300,368.316
2016-05-10,367.75,370.1,359.45,360.85,105700,359.742
2016-05-11,361,365,358.05,362.8,150500,361.686
2016-05-12,364.95,370.05,364,369.95,176500,368.815
2016-05-13,369.95,377.4,365.3,373.75,209600,372.603
2016-05-16,375.85,390.85,373.25,383,85900,381.824
2016-05-17,383.9,386,373.3,379.35,63900,378.186
2016-05-18,378.85,380.5,374,379.9,33800,378.734
2016-05-19,382.3,382.3,371.95,377.4,63200,376.242
2016-05-20,370.25,374.05,359.95,368.15,190300,367.02
2016-05-23,374.65,377,370.4,372.55,173900,371.407
2016-05-24,371.95,384.45,370.6,380.45,49200,379.282
2016-05-25,383.85,385.55,374.8,382.1,47000,380.927
2016-05-26,377.55,379.95,365,366.3,261900,365.176
2016-05-27,368.95,382.8,365.25,380.45,136200,379.282
2016-05-30,379.25,382.95,375,381.95,231300,380.778
2016-05-31,378,383.5,345,356.05,873400,354.957
2016-06-01,369.5,376,359.15,363.1,359500,361.986
2016-06-02,366.8,373,345,369.9,135800,368.765
2016-06-03,363.55,382.8,363.55,380.6,210200,379.432
2016-06-06,375,407,371.25,399.2,483000,397.975
2016-06-07,399,404.95,391.7,398.8,480400,397.576
2016-06-08,404.95,448,403.75,424.6,895800,423.297
2016-06-09,421,442.5,415,419.75,449000,418.462
2016-06-10,425.95,454,425.7,442.25,937300,440.893
2016-06-13,440,467,429.95,434.2,967700,432.867
2016-06-14,435.8,451,429.75,433.05,316500,431.721
2016-06-15,436.95,443.35,429.25,434.75,458100,433.416
2016-06-16,435.3,454,425.75,428.75,1161400,427.434
2016-06-17,460,514.5,456,473.85,8217900,472.396
2016-06-20,473.75,530,471.2,500.15,7609800,498.615
2016-06-21,506,515,486.7,504.85,2182400,503.3
2016-06-22,509.9,513,498,504.2,2467200,502.652
2016-06-23,503.05,508.7,496.1,506.3,1546400,504.746
2016-06-24,480,540.65,475.05,535.25,3732900,533.607
2016-06-27,535,564.7,523,552.05,2478500,550.356
2016-06-28,545.5,553.7,535,538.9,980400,537.246
2016-06-29,543.5,547.4,528.2,540.5,761900,538.841
2016-06-30,542,544.9,528.65,532.75,328700,531.115
2016-07-01,533,538,523.65,529.15,428000,527.526
2016-07-04,533.8,535.75,522.25,528.75,394200,527.127
2016-07-05,527.75,530.95,423,508.5,1351900,506.939
2016-07-06,508.5,508.5,508.5,508.5,0,506.939
2016-07-07,506.4,520.9,492.6,498.1,751800,496.571
2016-07-08,502.6,518,495.2,504.4,781900,502.852
2016-07-11,513.3,524.1,501.5,505,717600,503.45
2016-07-12,507.5,515,505.15,507.85,575800,506.291
2016-07-13,511.4,523,500.2,506,2201700,504.447
2016-07-14,516.1,524.45,500,504.6,1224800,503.051
2016-07-15,507,533.95,502.25,513.4,1482100,511.824
2016-07-18,513,520,502,505.65,431600,504.098
2016-07-19,509.2,520,502,511.45,2066400,509.88
2016-07-20,511,565,509,559.95,3237700,558.231
2016-07-21,566.7,592.4,548,555.9,2071000,554.194
2016-07-22,557.9,578.4,551,555.25,841100,553.546
2016-07-25,558,601,544,584.85,1509400,583.055
2016-07-26,581.95,594.7,572.1,578.1,901400,576.326
2016-07-27,580.05,598,575.3,593.8,659800,591.977
2016-07-28,594,618,576.1,589.05,1130000,587.242
2016-07-29,589.05,594.95,567,579.95,658400,578.17
2016-08-01,583,585.45,551.2,556.3,634300,554.593
2016-08-02,560,561.9,523,532.55,636800,530.915
2016-08-03,536,554.7,533.65,549.25,840900,547.564
2016-08-04,554.5,569,541,550.75,840600,549.06
2016-08-05,552,556.15,476.7,551.6,691100,549.907
2016-08-08,562.4,568.4,538.1,542.2,820900,540.536
2016-08-09,523,546.8,511.25,534,1813000,532.361
2016-08-10,535,540,510,517.15,880800,515.563
2016-08-11,512,517,500,510.65,577400,509.083
2016-08-12,512.4,521,488.3,507.75,1115700,506.192
2016-08-15,507.75,507.75,507.75,507.75,0,506.192
2016-08-16,507,510.45,497.8,500.45,318700,498.914
2016-08-17,502,523.6,500,516.8,409200,515.214
2016-08-18,521.9,525,505.5,507,1031000,505.444
2016-08-19,508,510.15,493.25,498.95,1365900,497.419
2016-08-22,500.2,505,492.35,500.35,373100,498.814
2016-08-23,502,524.35,500.7,512.3,725900,510.728
2016-08-24,514.55,528.7,513,523.55,399300,521.943
2016-08-25,521.6,539.6,517.1,533.45,599200,531.813
2016-08-26,535,551,530.35,547.65,652100,545.969
2016-08-29,545,549.95,530.3,546.6,345200,544.922
2016-08-30,548.6,569.45,546.4,565.35,590800,563.615
2016-08-31,568.8,583.4,562.4,579.8,911800,578.02
2016-09-01,580,580,552.7,568.95,417700,567.204
2016-09-02,568.95,574.75,555.1,572.05,253000,570.294
2016-09-05,572.05,572.05,572.05,572.05,0,570.294
2016-09-06,573.5,604.8,567.9,595.7,570800,593.872
2016-09-07,597,599.75,575,580.25,436700,578.469
2016-09-08,582,628,582,599.1,1380700,597.261
2016-09-09,600,602.75,582,593.95,316900,592.127
2016-09-12,585,609.75,581.55,605.3,537500,603.442
2016-09-13,605.3,605.3,605.3,605.3,0,603.442
2016-09-14,606.05,619.65,602.4,606.8,291200,604.938
2016-09-15,603.7,612.8,583.1,599.4,478400,597.56
2016-09-16,604.5,606.8,580.1,586.45,585600,584.65
2016-09-19,575.15,584.6,568,570.1,643800,570.1
2016-09-20,574,577.2,566.4,569.1,374000,569.1
2016-09-21,569.5,574,564.5,567.75,186800,567.75
2016-09-22,574.4,574.75,566.1,569.1,317200,569.1
2016-09-23,571.75,592,564,565.6,839500,565.6
2016-09-26,565.7,569.5,558.15,560.25,663300,560.25
2016-09-27,565,569.8,550.5,552.15,644900,552.15
2016-09-28,549.5,563,548.3,551.7,311000,551.7
2016-09-29,558.8,560,536.25,553.95,524600,553.95
2016-09-30,548.1,564,540,555.6,290700,555.6
2016-10-03,563.75,564,555,558.55,351600,558.55
2016-10-04,558.6,560,553,558.4,308400,558.4
2016-10-05,558.55,569.15,553,562.25,493300,562.25
2016-10-06,561,564,551.65,555.1,179100,555.1
2016-10-07,554.9,556.75,545.35,549.35,181600,549.35
2016-10-10,549,552.85,542,543.65,127800,543.65
2016-10-11,543.65,543.65,543.65,543.65,0,543.65
2016-10-12,543.65,543.65,543.65,543.65,0,543.65
2016-10-13,548,562.5,537.85,549.95,350000,549.95
2016-10-14,552,559.5,548.95,553.5,188000,553.5
2016-10-17,555,558,533.7,538.85,610100,538.85
2016-10-18,545,566.6,542.2,553.75,2184700,553.75
2016-10-19,558.5,560,551.25,555.6,178900,555.6
2016-10-20,554,562.9,552.35,558.15,284200,558.15
2016-10-21,558.2,573.75,556.65,561.8,1666400,561.8
2016-10-24,564.8,564.8,554,558.55,108800,558.55
2016-10-25,555,560,551.2,555.3,122300,555.3
2016-10-26,555,555,545.1,550,139100,550
2016-10-27,550.05,560,546,556.9,163100,556.9
2016-10-28,556.95,568,548.3,562.8,129700,562.8
2016-10-31,562.8,562.8,562.8,562.8,0,562.8
2016-11-01,563.2,565.95,555,558.2,209400,558.2
2016-11-02,556,560,541.55,546.85,115200,546.85
2016-11-03,547,553,537.55,540.7,96900,540.7
2016-11-04,540.75,551.55,522.2,542,275400,542
2016-11-07,543.05,555,536.1,551.65,120600,551.65
2016-11-08,551.65,567.7,550.05,565.15,555200,565.15
2016-11-09,538,559.5,520,554.9,574300,554.9
2016-11-10,564.9,580,559.85,573.2,832700,573.2
2016-11-11,570.8,570.8,545.25,558,155400,558
2016-11-14,558,558,558,558,0,558
2016-11-15,547,548.85,485.95,492.9,565000,492.9
2016-11-16,502.5,537.95,495.3,532.55,637300,532.55
