"Date","IBULHSGFIN.NS.Open","IBULHSGFIN.NS.High","IBULHSGFIN.NS.Low","IBULHSGFIN.NS.Close","IBULHSGFIN.NS.Volume","IBULHSGFIN.NS.Adjusted"
2016-10-25,870,874.95,861.25,868.05,687000,849.72
2016-10-26,863,870,850.2,854.3,1873200,836.26
2016-10-27,846.2,853.7,836.8,844.2,1934900,826.37
2016-10-28,847.2,853.8,836.8,848.9,2334500,830.97
2016-10-31,848.9,848.9,848.9,848.9,0,830.97
2016-11-01,851,868.85,848.5,860.4,973700,842.23
2016-11-02,847.9,847.9,821.4,833.85,854000,824.87
2016-11-03,830,843.3,797.2,802,817200,793.36
2016-11-04,799.5,804,775.05,788.2,1459200,779.71
2016-11-07,795.9,811.35,788.1,792.3,821900,783.76
2016-11-08,793,795.95,782.1,786.1,563200,777.63
2016-11-09,707.5,746.5,630,721.5,5657100,713.73
2016-11-10,740,751.65,673,700.5,8455400,692.95
2016-11-11,685.5,717.9,670.15,700.3,5474700,692.76
2016-11-14,700.3,700.3,700.3,700.3,0,692.76
2016-11-15,699,699,651,674.25,3572600,666.99
2016-11-16,687.5,699.55,658.5,669.85,2949300,662.63
2016-11-17,675.05,684.7,667.05,669.25,1553000,662.04
2016-11-18,675,678.85,657,667.85,2788000,660.66
2016-11-21,674.8,674.8,636.8,653.25,1505900,646.21
2016-11-22,659,674.95,639,671.8,2033200,664.56
2016-11-23,678.1,679.85,668.45,673.15,1223300,665.9
2016-11-24,669.5,684.75,664.25,676.7,2800000,669.41
2016-11-25,683.05,713.45,676.3,702.95,1832200,695.38
2016-11-28,695,712,687,707.65,864200,700.03
2016-11-29,715.9,737.8,712.05,726.5,1618200,718.67
2016-11-30,735,767.9,731,765.05,3185600,756.81
2016-12-01,765,767.7,753.05,756.15,680800,748
2016-12-02,746.1,750,731.05,736.9,1152400,728.96
2016-12-05,741.4,752,731.95,742.75,589600,734.75
2016-12-06,745,754.95,728.7,731.55,998200,723.67
2016-12-07,738,738,705.3,716.45,1604900,708.73
2016-12-08,718,728.5,715.6,720.85,1021000,713.08
2016-12-09,724.8,726.45,699.4,702.35,1504000,694.78
2016-12-12,701.9,705,681.2,694.15,968700,686.67
2016-12-13,692,694.95,667.05,670.3,1462500,663.08
2016-12-14,679,679,635.5,647.5,14631600,640.52
2016-12-15,640,658.45,638,649.55,1312700,642.55
2016-12-16,654,655.05,635.05,638.9,1634500,632.02
2016-12-19,636,655.35,632,651.3,1271800,644.28
2016-12-20,651.85,656.7,632,641.3,1317500,634.39
2016-12-21,640.5,652.4,633.1,642.1,1131100,635.18
2016-12-22,640.9,640.9,627,637.4,1499800,630.53
2016-12-23,645,645,628.2,639.25,917800,632.36
2016-12-26,634,639.4,625.8,629.15,636700,622.37
2016-12-27,625,639.9,616.55,637.15,1288700,630.29
2016-12-28,645.95,651,634.6,645.05,1551300,638.1
2016-12-29,642,652.85,636.85,642.35,9431900,635.43
2016-12-30,640.4,663,639.1,650.25,1482000,643.25
2017-01-02,657,684,648.5,678.65,3659300,671.34
2017-01-03,679,680.35,660,662.25,1660200,655.12
2017-01-04,663,666.9,641.4,643.75,2260800,636.82
2017-01-05,642.25,660.65,642.1,653.65,1926500,646.61
2017-01-06,655.3,670.55,655,657.45,2185400,650.37
2017-01-09,662,679.55,658,674,1804900,666.74
2017-01-10,672.45,691.7,668.05,688.75,1802000,681.33
2017-01-11,691.9,719.45,690,716,3039700,708.29
2017-01-12,718.4,729.3,708,725.75,2630100,717.93
2017-01-13,726.95,752.5,726.9,748.45,2411900,740.39
2017-01-16,748,769.9,743.8,766.1,1363900,757.85
2017-01-17,771.15,779.95,765.1,777,1532100,768.63
2017-01-18,780,780,753,762.35,1639300,754.14
2017-01-19,764.2,768.4,752,753.5,969800,745.38
2017-01-20,753,769,743.25,750.2,1502300,742.12
2017-01-23,756.45,769.75,746.45,755.45,1764900,747.31
2017-01-24,758,758,741.25,751.15,1656600,743.06
2017-01-25,751.65,759.25,748.3,755.45,3244700,747.31
2017-01-26,755.45,755.45,755.45,755.45,0,747.31
2017-01-27,761,761.35,751,753.35,2263700,745.23
2017-01-30,751,777,749.95,766.75,3292000,758.49
2017-01-31,768.95,772.3,748.55,750.65,1387700,742.56
2017-02-01,755,768.75,750.55,766.05,2530800,757.8
2017-02-02,770,791.1,767.65,781.1,2910700,772.69
2017-02-03,786.9,803.9,785,794,4299100,785.45
2017-02-06,795,806.95,794,798.1,1622200,789.5
2017-02-07,803,833,795,828.05,4746200,819.13
2017-02-08,829,849.95,827.15,835.45,3887500,826.45
2017-02-09,827,833.2,808.9,820.45,1331200,820.45
2017-02-10,828.45,830.7,810.65,813.25,816900,813.25
2017-02-13,816.3,834.4,813.3,831.8,819100,831.8
2017-02-14,836,837.2,820.05,823.6,530900,823.6
2017-02-15,816.35,828.8,804.4,816.15,839700,816.15
2017-02-16,817,833.4,814.1,831.8,953400,831.8
2017-02-17,849,882.5,845.9,854.25,2944300,854.25
2017-02-20,852,853,833.95,847.8,692700,847.8
2017-02-21,849,872,847,868.95,1059300,868.95
2017-02-22,875,876.85,863.6,872.65,808700,872.65
2017-02-23,877,879.9,857.1,864.5,3078700,864.5
2017-02-24,864.5,864.5,864.5,864.5,0,864.5
2017-02-27,864.8,877.35,851.55,867.8,2103000,867.8
2017-02-28,869.55,875.3,865.65,871.3,1098000,871.3
2017-03-01,872.25,880.8,864.1,870.6,1223900,870.6
2017-03-02,875.9,879.45,848.05,851.9,981600,851.9
2017-03-03,842.1,849.95,833.4,842.35,1055000,842.35
2017-03-06,845,855,843.8,853.65,589500,853.65
2017-03-07,856.9,858.35,844.5,852.25,588800,852.25
2017-03-08,850.2,864.65,837,855.85,975500,855.85
2017-03-09,852,858.75,844.35,851.7,597900,851.7
2017-03-10,850.25,861.95,850.1,856.6,558500,856.6
2017-03-13,856.6,856.6,856.6,856.6,0,856.6
2017-03-14,865,929.95,865,903.9,3434900,903.9
2017-03-15,909.85,917.85,906,912.6,1129300,912.6
2017-03-16,915.2,952.9,915.2,947,2663800,947
2017-03-17,944.95,968.6,944.95,964.85,2157100,964.85
2017-03-20,968,982.25,952.3,963.7,1328200,963.7
2017-03-21,960.25,969.8,922.95,931.5,2910600,931.5
2017-03-22,925,927.3,897.75,905.25,2014800,905.25
2017-03-23,910,936.95,907.4,933.35,2008100,933.35
2017-03-24,939.9,965.45,937.6,959.05,1723000,959.05
2017-03-27,958.95,966.95,950.1,957.4,1497200,957.4
2017-03-28,955.25,966.45,950.55,962.3,1166700,962.3
2017-03-29,966,978,956.3,961.3,2321800,961.3
2017-03-30,960.75,1001.9,960.75,990.6,6339600,990.6
2017-03-31,988,1000.6,984,997.75,2631700,997.75
2017-04-03,998,1001.65,986.8,995.9,1011000,995.9
2017-04-04,995.9,995.9,995.9,995.9,0,995.9
2017-04-05,994.9,998.95,978.6,986.3,2177300,986.3
2017-04-06,985,988,964.6,977,1544900,977
2017-04-07,974.55,977.75,952.5,955.85,2689700,955.85
2017-04-10,956.35,957.85,924.2,935.2,3628000,935.2
2017-04-11,932.7,944.5,926.65,937.15,5064100,937.15
2017-04-12,941.9,943.55,920,936.7,632400,936.7
2017-04-13,940.9,959.3,938,956.8,1208600,956.8
2017-04-14,956.8,956.8,956.8,956.8,0,956.8
2017-04-17,970.35,990,955.55,977.1,1464000,977.1
2017-04-18,980,988,954.45,962.25,1565500,962.25
2017-04-19,959.95,965.9,940.95,957.15,1033300,957.15
2017-04-20,957.15,984,955.8,979.25,828400,979.25
2017-04-21,982.35,998,975.3,989.9,1631100,989.9
