"Date","TATASTEEL.NS.Open","TATASTEEL.NS.High","TATASTEEL.NS.Low","TATASTEEL.NS.Close","TATASTEEL.NS.Volume","TATASTEEL.NS.Adjusted"
2015-03-19,334.25,344.8,333.65,336.6,6148700,319.791
2015-03-20,336.6,341.4,327,328.7,5776100,312.2856
2015-03-23,330.45,335,328.6,331.4,3580300,314.8507
2015-03-24,330.1,333.9,324.25,327.15,4453700,310.8129
2015-03-25,328,328.95,322,323.15,3544700,307.0127
2015-03-26,323,324.95,314,315.6,6516900,299.8397
2015-03-27,317.4,319.35,311.2,315.1,4019200,299.3647
2015-03-30,318,324.9,315.15,322.4,2990500,306.3001
2015-03-31,326.3,326.4,315.2,316.75,3934800,300.9323
2015-04-01,317,324.9,316,323.65,3086000,307.4877
2015-04-02,323.65,323.65,323.65,323.65,0,307.4877
2015-04-03,323.65,323.65,323.65,323.65,0,307.4877
2015-04-06,324.4,325.6,316.6,318.1,3669600,302.2149
2015-04-07,320.3,335.2,317,333.5,7293700,316.8458
2015-04-08,336.1,338.9,328.6,336.1,6284700,319.316
2015-04-09,337.5,347.4,337,346.05,6151500,328.7691
2015-04-10,345.7,349,341.25,342.7,4816200,325.5864
2015-04-13,344.25,348.25,341.1,345.2,3442800,327.9616
2015-04-14,345.2,345.2,345.2,345.2,0,327.9616
2015-04-15,345,345.2,336.2,337.65,3199900,320.7886
