"Date","INDIANB.NS.Open","INDIANB.NS.High","INDIANB.NS.Low","INDIANB.NS.Close","INDIANB.NS.Volume","INDIANB.NS.Adjusted"
2015-11-03,133.1,134.2,127.6,128.75,347900,127.32
2015-11-04,129.8,131,126.1,127.15,174900,125.74
2015-11-05,127.45,128.15,126.55,127.5,127700,126.09
2015-11-06,128.5,129.5,125.65,127.5,120500,126.09
2015-11-09,125.85,128.35,124,127.15,123900,125.74
2015-11-10,126.6,130.2,125.5,126.25,142500,124.85
2015-11-11,126.25,126.25,126.25,126.25,0,124.85
2015-11-12,126.25,126.25,126.25,126.25,0,124.85
2015-11-13,128.35,128.7,121.95,125.5,78600,124.11
2015-11-16,125.4,129.1,124.5,125.7,140000,124.31
2015-11-17,126.95,128,126,126.95,79300,125.54
2015-11-18,127,127.95,125.1,125.8,49400,124.41
2015-11-19,125.6,126.95,125.6,126.25,43200,124.85
2015-11-20,126,127.25,125.1,125.8,48000,124.41
2015-11-23,127,127.25,126.05,126.25,30700,124.85
2015-11-24,126.5,126.95,125,125.35,45900,123.96
2015-11-25,125.35,125.35,125.35,125.35,0,123.96
2015-11-26,125.55,127,125.2,126.35,66000,124.95
2015-11-27,126.4,132.9,126.4,131.05,179300,129.6
2015-11-30,131.05,133,131.05,131.15,117600,129.7
2015-12-01,133.1,133.15,128,130.8,57300,129.35
2015-12-02,131.1,131.3,127.7,129.3,63000,127.87
2015-12-03,128.1,128.85,126.25,126.75,54900,125.35
2015-12-04,126,129.3,124.9,127.05,53000,125.64
2015-12-07,126.5,128.7,126.5,127.6,67700,126.19
2015-12-08,127.5,127.5,125.1,125.55,56600,124.16
2015-12-09,125.1,125.85,123.1,123.7,46100,122.33
2015-12-10,125,125.8,121.6,122.1,82500,120.75
2015-12-11,122.85,123.75,116.5,117.1,216200,115.8
2015-12-14,117.45,120.45,113.6,114.05,165700,112.79
2015-12-15,115.4,117.2,112.5,114.4,180600,113.13
2015-12-16,113.7,117.4,113.7,114.2,173900,112.94
2015-12-17,115.5,116.85,113.55,114.35,183300,113.08
2015-12-18,114,115.65,112.5,112.85,292800,111.6
2015-12-21,112.6,115.5,112.6,114.5,232300,113.23
2015-12-22,114.9,116,113.1,113.4,185200,112.14
2015-12-23,114.3,114.75,112.5,112.7,170100,111.45
2015-12-24,114.3,114.8,112.8,114.35,93900,113.08
2015-12-25,114.35,114.35,114.35,114.35,0,113.08
2015-12-28,115.8,115.8,114.05,115.15,83800,113.88
2015-12-29,115.2,115.95,114.3,114.75,98000,113.48
2015-12-30,114.95,115.5,113.8,114.05,62800,112.79
2015-12-31,114.5,116.65,113.55,115.5,80300,114.22
2016-01-01,116.25,116.25,112.5,114.85,118500,113.58
2016-01-04,114.95,115.6,113.1,113.2,70500,111.95
2016-01-05,114.7,114.7,112.1,112.5,99800,111.25
2016-01-06,113.1,113.55,110.35,110.7,198000,109.47
2016-01-07,110,110.6,107,107.9,157700,106.71
2016-01-08,109.1,109.4,107,107.55,82300,106.36
2016-01-11,106.9,107.5,105,105.25,79000,104.08
2016-01-12,107.7,107.7,98.5,99.6,251600,98.5
2016-01-13,100.9,101.65,97.55,98.7,163500,97.61
2016-01-14,97.65,97.65,90.3,94.95,114200,93.9
2016-01-15,95.15,96.7,92,93.85,279700,92.81
2016-01-18,93.6,93.65,88.9,90.1,259900,89.1
2016-01-19,90.85,91.8,89.9,90.75,119900,89.75
2016-01-20,89.5,90.45,88.3,89.2,125500,88.21
2016-01-21,91.5,91.5,87.8,88.75,127200,87.77
2016-01-22,90,92.95,89.35,92.05,99100,91.03
2016-01-25,92.9,95.5,92.3,92.8,64300,91.77
2016-01-26,92.8,92.8,92.8,92.8,0,91.77
2016-01-27,94.6,94.6,91.5,93.65,130900,92.61
2016-01-28,93.75,93.75,90,90.45,103900,89.45
2016-01-29,89.9,92,88.15,91.45,179900,90.44
2016-02-01,91.85,92.9,91,91.8,112700,90.78
2016-02-02,93.15,93.15,87.5,88.35,259100,87.37
2016-02-03,87,87,83.9,84.65,232900,83.71
2016-02-04,85.55,86.75,84,85.1,101600,84.16
2016-02-05,85.5,86.9,85,86,173000,85.05
2016-02-08,86.4,90.5,86.25,87.95,166600,86.98
2016-02-09,87,88.7,86.15,86.7,101200,85.74
2016-02-10,86,89.6,83.65,85.3,406300,84.36
2016-02-11,85.95,85.95,78.95,80.7,452200,79.81
2016-02-12,80.7,85.5,76.75,83.3,197900,82.38
2016-02-15,86,88.9,83.35,85.85,186400,84.9
2016-02-16,88.25,88.25,85.15,85.65,117000,84.7
2016-02-17,85.65,88.4,80.65,87.2,149800,86.23
2016-02-18,88.4,89.8,85.4,86.8,188400,85.84
2016-02-19,87.8,87.8,85.15,86.05,126800,85.1
2016-02-22,86.05,87,84.1,84.65,105600,83.71
2016-02-23,84.4,85,82.4,82.85,115800,81.93
2016-02-24,81.25,83,79.8,80.8,198900,79.91
2016-02-25,80.9,81.25,77.9,78.3,211200,77.43
2016-02-26,79.65,79.65,76.25,77.25,294500,76.39
2016-02-29,79.85,79.9,75.5,76.05,345300,75.21
2016-03-01,76.85,77.45,75.3,76.55,210400,75.7
2016-03-02,79,87.25,79,84.25,493400,83.32
2016-03-03,85.9,94.25,83.65,92.1,666500,91.08
2016-03-04,93,103.45,91.1,100.3,1440100,99.19
2016-03-07,100.3,100.3,100.3,100.3,0,99.19
2016-03-08,102.5,102.5,98,100.65,631000,99.54
2016-03-09,100.35,104.7,97.35,102.9,688100,101.76
2016-03-10,103.45,105.75,101.7,102.8,237700,101.66
2016-03-11,100.7,103.75,99.05,100,867500,98.89
2016-03-14,101.75,102.2,99.05,101.2,114800,100.08
2016-03-15,102,102.9,99.1,99.5,168200,98.4
2016-03-16,99.55,101,98,99,513000,97.9
2016-03-17,100.5,102.9,99.85,102.15,271500,101.02
2016-03-18,102.3,105.2,101.05,102.5,423600,101.37
2016-03-21,102.05,109.4,102.05,107.45,743900,106.26
2016-03-22,107.2,108.15,105.2,107.4,203500,106.21
2016-03-23,107,107,105.05,106.15,134800,104.97
2016-03-24,106.15,106.15,106.15,106.15,0,104.97
2016-03-25,106.15,106.15,106.15,106.15,0,104.97
2016-03-28,106,106.8,102,102.9,145400,101.76
2016-03-29,104.8,104.8,100.3,100.95,104200,99.83
2016-03-30,101.5,105,101.5,103.8,171200,102.65
2016-03-31,103.25,106.45,103.25,103.9,159800,102.75
2016-04-01,104,108.95,103.8,104.7,349800,103.54
2016-04-04,105.1,105.9,104.3,105.25,231000,104.08
2016-04-05,105.45,105.9,101.5,102.45,315800,101.32
2016-04-06,103,104.5,101.1,101.95,601800,100.82
2016-04-07,102.95,103.15,99,99.4,158800,98.3
2016-04-08,101,101,99.05,99.25,112200,98.15
2016-04-11,99,100,98.8,98.95,159000,97.85
2016-04-12,99.45,99.85,98.7,99,576800,97.9
2016-04-13,100,100.7,99,99.45,273100,98.35
2016-04-14,99.45,99.45,99.45,99.45,0,98.35
2016-04-15,99.45,99.45,99.45,99.45,0,98.35
2016-04-18,99.7,100.85,97,97.9,120800,96.82
2016-04-19,97.9,97.9,97.9,97.9,0,96.82
2016-04-20,98.5,99.1,97,97.6,174400,96.52
