"Date","GODREJCP.NS.Open","GODREJCP.NS.High","GODREJCP.NS.Low","GODREJCP.NS.Close","GODREJCP.NS.Volume","GODREJCP.NS.Adjusted"
2015-04-07,1116.1,1157,1105,1140.55,124700,1129.96
2015-04-08,1136.25,1184.7,1111,1173.8,267300,1162.9
2015-04-09,1173.8,1181,1130,1167.6,137400,1156.76
2015-04-10,1170,1213.65,1151.25,1196.6,187500,1185.49
2015-04-13,1206.9,1238,1200,1226.15,208400,1214.77
2015-04-14,1226.15,1226.15,1226.15,1226.15,0,1214.77
2015-04-15,1238,1238,1191.1,1205,145000,1193.81
2015-04-16,1200,1204.4,1181.1,1199.25,162000,1188.12
2015-04-17,1197.9,1197.9,1155,1169.9,78400,1159.04
2015-04-20,1170,1178,1137.25,1165.6,62300,1154.78
2015-04-21,1165.5,1180,1137.75,1150.75,366200,1140.07
2015-04-22,1148.5,1148.5,1112,1128.25,149300,1117.77
2015-04-23,1134,1138.95,1075.6,1090.05,217200,1079.93
2015-04-24,1093,1138.95,1080,1126.1,159600,1115.64
2015-04-27,1127.35,1143.9,1115,1124.6,65700,1114.16
2015-04-28,1130,1134.55,1086.05,1098.15,216400,1087.95
2015-04-29,1099,1103.95,1020,1080.5,471700,1070.47
2015-04-30,1090,1094,1034,1051.75,216900,1041.98
2015-05-01,1051.75,1051.75,1051.75,1051.75,0,1041.98
2015-05-04,1062,1065.9,1021,1053.8,216900,1044.02
2015-05-05,1059,1099.5,1049.4,1088.95,617600,1081.4
2015-05-06,1088.9,1093.95,1061.05,1077.85,508200,1070.38
2015-05-07,1080,1080,1049,1050.95,147100,1043.67
2015-05-08,1051.35,1099,1051.35,1081.4,110600,1073.91
2015-05-11,1090,1120,1085.05,1107.15,111000,1099.48
2015-05-12,1117.9,1136.55,1102.3,1118.3,153000,1110.55
2015-05-13,1119.7,1119.7,1080.1,1085.3,178800,1077.78
2015-05-14,1091,1131.75,1091,1123.7,114500,1115.91
2015-05-15,1124,1172.6,1120,1166,64800,1157.92
2015-05-18,1166,1220.2,1150.25,1198.9,91600,1190.59
2015-05-19,1190.1,1212.3,1150.2,1157.55,117600,1149.53
2015-05-20,1162,1182.55,1155.05,1169.5,76500,1161.4
2015-05-21,1178.75,1178.75,1141.2,1159.35,99000,1151.32
2015-05-22,1174.85,1174.85,1110.1,1129.7,148400,1121.87
2015-05-25,1149.7,1149.7,1102,1107.3,82400,1099.63
2015-05-26,1119.9,1130.4,1070.2,1089.15,199200,1081.6
2015-05-27,1087,1142.8,1081.1,1133.7,187900,1125.84
2015-05-28,1137.7,1140,1086,1096.3,320600,1088.7
2015-05-29,1109.9,1114.5,1037,1050.05,662000,1042.77
2015-06-01,1072,1098,1050.05,1093.3,167900,1085.72
2015-06-02,1099.9,1108,1067.35,1073.9,145100,1066.46
2015-06-03,1086,1095,1060,1087.85,52400,1080.31
2015-06-04,1080.1,1128,1075.3,1123.6,81300,1115.81
2015-06-05,1122.9,1133.65,1108.8,1121.35,369400,1113.58
2015-06-08,1124.8,1145.35,1114,1138.45,139900,1130.56
2015-06-09,1130.05,1142.65,1110.55,1121.4,60600,1113.63
2015-06-10,1119.95,1134.8,1112.05,1122.5,107500,1114.72
2015-06-11,1129,1143.15,1110.55,1124.65,103600,1116.86
2015-06-12,1125,1196,1118.45,1124.55,84800,1116.76
2015-06-15,1111,1147.2,1111,1125.1,195000,1117.3
2015-06-16,1164.5,1164.5,1118,1125.2,47700,1117.4
2015-06-17,1125.2,1138.9,1112.65,1125.9,75600,1118.1
2015-06-18,1127,1129.9,1115.55,1122,149700,1114.23
2015-06-19,1124.95,1134.8,1098.4,1121.45,353500,1113.68
2015-06-22,1108.5,1163,1108.5,1157.35,76400,1149.33
2015-06-23,1150.1,1164,1135,1144.25,31600,1136.32
2015-06-24,1141,1170,1141,1162.6,53600,1154.54
2015-06-25,1158.85,1163,1140.8,1156.7,229600,1148.69
2015-06-26,1153.45,1204.8,1148,1199.1,223100,1190.79
2015-06-29,1155.1,1219.8,1155.1,1204.35,115700,1196.01
2015-06-30,1205,1262.8,1205,1237.2,325900,1228.63
2015-07-01,1230,1249.9,1179,1205.65,162500,1197.3
2015-07-02,1216.65,1232.9,1188,1194.45,104600,1186.17
2015-07-03,1199.85,1229,1184.15,1222.55,129400,1214.08
2015-07-06,1222,1231,1192,1212.85,67600,1204.45
2015-07-07,1210,1224.5,1200.1,1214.4,50600,1205.99
2015-07-08,1195.9,1205.05,1156,1166.15,89200,1158.07
2015-07-09,1169.9,1176.9,1139.65,1144.45,141800,1136.52
2015-07-10,1152,1173.55,1148,1169.3,112800,1161.2
2015-07-13,1169.9,1190,1167.6,1180.5,115800,1172.32
2015-07-14,1181.8,1206.1,1179.95,1203.55,146400,1195.21
2015-07-15,1203.6,1205.1,1181.85,1202.1,78300,1193.77
2015-07-16,1203,1217,1181,1208.45,95300,1200.08
2015-07-17,1217.7,1245,1208,1239.85,67900,1231.26
2015-07-20,1245,1245.05,1210,1225.45,51700,1216.96
2015-07-21,1232,1238.85,1212.1,1219.45,132000,1211
2015-07-22,1219,1239.7,1216.5,1220.1,78000,1211.65
2015-07-23,1220.1,1245,1217.5,1235.7,81700,1227.14
2015-07-24,1230.1,1238.9,1208,1229,319000,1220.48
2015-07-27,1230,1255,1203.25,1228.1,128200,1219.59
2015-07-28,1220,1229.75,1188,1202.3,144200,1193.97
2015-07-29,1213,1277,1210,1248.65,593000,1240
2015-07-30,1270,1352,1257,1320.15,340400,1311
2015-07-31,1327.95,1398,1325,1376.1,627700,1366.57
2015-08-03,1376.1,1459,1368.7,1378.6,301500,1369.05
2015-08-04,1372,1413.95,1326,1333.5,235100,1324.26
2015-08-05,1343,1425,1339.8,1408.4,382300,1399.69
2015-08-06,1413.5,1433.95,1380,1385.3,166500,1376.73
2015-08-07,1396.5,1433.8,1385.3,1402.05,117800,1393.38
2015-08-10,1418.9,1424,1391.15,1403.65,128000,1394.97
2015-08-11,1418.9,1429.7,1367.85,1397.35,175800,1388.71
2015-08-12,1397,1403.6,1353.25,1355.35,71100,1346.97
2015-08-13,1376.9,1386.9,1280.1,1294.2,126600,1286.2
2015-08-14,1305,1331.75,1285.1,1291.05,85600,1283.07
2015-08-17,1292,1328.55,1292,1297.5,44600,1289.48
2015-08-18,1322.5,1322.5,1292,1304.15,102700,1296.09
2015-08-19,1304,1315.6,1262.1,1273.5,82900,1265.63
