"Date","TORNTPHARM.NS.Open","TORNTPHARM.NS.High","TORNTPHARM.NS.Low","TORNTPHARM.NS.Close","TORNTPHARM.NS.Volume","TORNTPHARM.NS.Adjusted"
2015-07-10,1304.8,1330.05,1300,1328.7,188900,1282.912
2015-07-13,1332,1332,1324.4,1329.7,78500,1283.878
2015-07-14,1335,1335,1326,1328.35,86800,1282.574
2015-07-15,1333.9,1335.2,1308,1322,365200,1276.443
2015-07-16,1329.95,1330.5,1311.05,1326.5,81500,1280.788
2015-07-17,1331,1356,1325,1333.45,171400,1287.498
2015-07-20,1339.8,1345,1330.1,1336.35,79500,1290.299
2015-07-21,1344,1344,1305,1321.45,51000,1275.912
2015-07-22,1333,1340.05,1324.15,1329.2,105000,1283.395
2015-07-23,1342.8,1342.8,1320.05,1327.65,180600,1281.898
2015-07-24,1328,1379.95,1328,1365.05,271800,1318.01
2015-07-27,1365.9,1410,1365.9,1390.4,428600,1342.486
2015-07-28,1514.9,1515,1381.6,1397.4,1068600,1349.245
2015-07-29,1417.8,1430,1400,1421.3,411500,1372.321
2015-07-30,1429.75,1449.95,1423,1436,241800,1386.515
2015-07-31,1448,1450,1434,1441.65,121000,1391.97
2015-08-03,1442,1449.9,1420,1426.4,144500,1377.245
2015-08-04,1427.3,1441.9,1411.5,1424.8,146000,1375.701
2015-08-05,1433.2,1489,1430,1480.05,243000,1429.047
2015-08-06,1490,1494,1476.05,1485.45,128500,1434.26
2015-08-07,1494,1497.95,1478,1484,77300,1432.86
2015-08-10,1491,1498.3,1479.05,1492,81700,1440.585
2015-08-11,1498.25,1505.6,1487.1,1493.6,104900,1442.13
2015-08-12,1493.6,1493.6,1493.6,1493.6,0,1442.13
2015-08-13,1530.3,1540,1487.15,1516.4,102100,1464.144
2015-08-14,1544,1605.8,1542,1565.8,290400,1511.842
2015-08-17,1565.5,1622.05,1550.35,1599.15,125200,1544.042
2015-08-18,1644,1644,1595.25,1602.9,135200,1547.663
2015-08-19,1612.9,1628,1585.2,1607.95,101700,1552.539
2015-08-20,1609,1674.75,1595,1605.05,240500,1549.739
2015-08-21,1614,1669,1584,1641.45,189000,1584.885
2015-08-24,1590,1610,1450,1475.15,221100,1424.315
2015-08-25,1512,1561,1390.05,1544.1,380400,1490.889
2015-08-26,1544.9,1604,1522.2,1570.05,161700,1515.945
2015-08-27,1610,1656,1595,1605.15,191400,1549.836
2015-08-28,1630.8,1647.25,1597.55,1614.65,151900,1559.008
2015-08-31,1603.2,1620,1595.6,1607,98100,1551.622
2015-09-01,1600,1718.4,1583.15,1635.8,498700,1579.429
2015-09-02,1644.7,1675.15,1621.15,1625.5,181000,1569.484
2015-09-03,1644.65,1675,1628.1,1650,410600,1593.14
2015-09-04,1659.95,1659.95,1563.15,1589.35,143100,1534.58
2015-09-07,1595,1595,1514.95,1528.7,139700,1476.02
2015-09-08,1532.9,1570,1473.65,1534.4,189900,1481.524
2015-09-09,1559.5,1574.4,1482,1489.1,147400,1437.785
2015-09-10,1450.35,1460,1406.9,1415.65,226900,1366.866
2015-09-11,1419.5,1471,1413.5,1421.25,208600,1372.273
2015-09-14,1435,1470,1427.75,1458.45,195100,1408.191
2015-09-15,1462.9,1509.9,1462.9,1501.5,153800,1449.757
2015-09-16,1512,1517,1458,1471.7,187700,1420.984
2015-09-17,1471.7,1471.7,1471.7,1471.7,0,1420.984
2015-09-18,1489.9,1530.9,1392,1416.9,859700,1368.073
2015-09-21,1419.5,1444.9,1395,1437.9,208600,1388.349
2015-09-22,1452,1455,1392,1401.1,152800,1352.817
2015-09-23,1386.1,1401,1377.5,1384.95,156100,1337.224
2015-09-24,1402,1417,1389.65,1400.7,179000,1352.431
2015-09-25,1400.7,1400.7,1400.7,1400.7,0,1352.431
2015-09-28,1412.65,1424,1391.25,1396.65,189200,1348.521
2015-09-29,1393,1418.9,1375,1407.6,138500,1359.093
2015-09-30,1417,1510,1410.4,1502.25,282800,1450.482
2015-10-01,1511,1529.9,1471.1,1492.65,111100,1441.212
2015-10-02,1492.65,1492.65,1492.65,1492.65,0,1441.212
2015-10-05,1507.6,1594,1505.05,1577.75,196400,1523.38
2015-10-06,1585.9,1604.8,1556.1,1569.7,97600,1515.607
2015-10-07,1590.55,1602,1538.5,1546.6,90300,1493.303
2015-10-08,1556,1568,1501.1,1509.3,111100,1457.289
2015-10-09,1536,1548.8,1505.3,1526.85,88800,1474.234
2015-10-12,1520.7,1541.1,1520.7,1528.65,77600,1475.972
2015-10-13,1537,1537,1505.35,1509.35,62400,1457.337
2015-10-14,1517,1550,1510.05,1543.95,73700,1490.745
2015-10-15,1567.9,1567.9,1517,1521.3,128900,1468.875
2015-10-16,1532.85,1540,1505.5,1529.95,60300,1477.227
2015-10-19,1532.9,1549,1518.5,1527,71300,1474.379
2015-10-20,1531.1,1545,1525.35,1531.85,41300,1479.061
2015-10-21,1539,1622.9,1533.5,1582.15,421300,1527.628
2015-10-22,1582.15,1582.15,1582.15,1582.15,0,1527.628
2015-10-23,1600,1605.45,1573,1581.4,142500,1526.904
2015-10-26,1595,1604.9,1555.9,1572.25,97600,1518.069
2015-10-27,1566.1,1605,1566,1598.85,145800,1543.753
2015-10-28,1605.1,1620,1575.25,1598.6,227200,1543.511
2015-10-29,1605.1,1635,1522.3,1578.65,558600,1524.249
2015-10-30,1620,1625,1530,1541.15,417500,1488.041
2015-11-02,1540,1572.1,1524.15,1536.55,237400,1483.6
2015-11-03,1552,1574.75,1539.35,1567.2,127300,1513.193
2015-11-04,1571,1585.85,1561,1566.45,123300,1512.469
2015-11-05,1573.25,1573.25,1540.05,1548.95,75100,1495.572
2015-11-06,1553.05,1573,1528.8,1547.6,82000,1494.269
2015-11-09,1512,1560,1510.05,1550.15,127300,1496.731
2015-11-10,1548,1570,1543,1548.45,129700,1495.089
2015-11-11,1548.45,1548.45,1548.45,1548.45,0,1495.089
2015-11-12,1548.45,1548.45,1548.45,1548.45,0,1495.089
2015-11-13,1575,1575,1541.1,1547.15,113400,1493.834
2015-11-16,1545,1554.75,1521,1530.05,63400,1477.324
2015-11-17,1532,1545.5,1517.25,1529.05,273700,1476.358
2015-11-18,1534,1553.45,1529.9,1540.4,208300,1487.317
2015-11-19,1544,1549,1521.45,1534.3,119600,1481.427
2015-11-20,1540,1542,1516.1,1534.4,85900,1481.524
2015-11-23,1539,1544.85,1534,1534.7,65000,1481.813
2015-11-24,1539.9,1539.9,1505.25,1510.95,61700,1458.882
2015-11-25,1510.95,1510.95,1510.95,1510.95,0,1458.882
2015-11-26,1513,1524.85,1503.05,1515.85,57200,1463.613
2015-11-27,1522.95,1531.6,1505,1522.45,56400,1469.985
2015-11-30,1529,1541.8,1403.5,1437,864600,1387.48
2015-12-01,1438,1484.5,1430,1468.65,388600,1418.039
2015-12-02,1480,1494.15,1441.2,1483.95,136900,1432.812
2015-12-03,1493.25,1495,1454.85,1469.95,92700,1419.295
2015-12-04,1465.25,1509.9,1452,1489.5,231200,1438.171
2015-12-07,1502.95,1502.95,1465,1475.6,90300,1424.75
2015-12-08,1475,1475.9,1448,1459.55,90500,1409.253
2015-12-09,1460,1472.95,1431,1442.85,93100,1393.128
2015-12-10,1442.85,1472.35,1410,1448.2,205100,1398.294
2015-12-11,1456.8,1456.8,1421.65,1433.1,130700,1383.714
2015-12-14,1424,1424,1390,1397.15,186300,1349.003
2015-12-15,1400,1407,1375.6,1387.3,121600,1339.493
2015-12-16,1393,1413,1393,1405.55,156900,1357.114
2015-12-17,1416.3,1450,1414,1442.25,138900,1392.549
2015-12-18,1442.25,1470,1430.2,1446.15,162600,1396.315
2015-12-21,1456.85,1474.6,1447.5,1470.1,118600,1419.439
2015-12-22,1463.05,1477.9,1456.1,1459.1,98200,1408.819
2015-12-23,1465,1474.75,1458.15,1463.95,39600,1413.501
2015-12-24,1460.1,1470,1447,1455.45,43800,1405.294
2015-12-25,1455.45,1455.45,1455.45,1455.45,0,1405.294
2015-12-28,1457,1482,1454.65,1463.5,106000,1413.067
2015-12-29,1469.5,1479.05,1461.25,1465.35,47900,1414.853
2015-12-30,1478.9,1478.9,1452,1458.1,66300,1407.853
2015-12-31,1486.2,1498.7,1441.1,1451.65,219100,1401.625
2016-01-01,1459.9,1509.9,1456.2,1478.9,375400,1427.936
2016-01-04,1470,1482.95,1442.1,1448.35,143600,1398.439
2016-01-05,1444.15,1459.7,1420.55,1435.95,186600,1386.466
2016-01-06,1430.15,1476,1430.15,1442.85,162000,1393.128
2016-01-07,1425.05,1440.05,1416,1425,163400,1375.894
2016-01-08,1425.2,1449,1425.2,1440.6,189900,1390.956
2016-01-11,1439.95,1439.95,1408.5,1416.5,199000,1367.687
2016-01-12,1417.3,1450,1414.7,1438.4,89800,1388.832
2016-01-13,1440.7,1455.75,1364.1,1409.85,227600,1361.266
2016-01-14,1365.05,1412,1365.05,1390.15,126500,1342.245
2016-01-15,1386.55,1402.25,1306.25,1323.8,246700,1278.181
2016-01-18,1302.15,1359.85,1271,1329.5,219000,1283.685
2016-01-19,1329,1379.8,1304.15,1370.75,122900,1323.513
2016-01-20,1350,1350,1284.1,1311.9,281400,1266.691
2016-01-21,1317.65,1353.4,1312.6,1338.95,135800,1292.809
2016-01-22,1341.05,1398.4,1341.05,1391.3,138200,1343.355
2016-01-25,1392.2,1411,1383.75,1399.9,141700,1351.659
2016-01-26,1399.9,1399.9,1399.9,1399.9,0,1351.659
2016-01-27,1401,1425,1390,1395.15,143700,1347.072
2016-01-28,1403,1405,1355.05,1384,197300,1336.307
2016-01-29,1392.75,1409.85,1384.75,1398.85,114000,1350.645
2016-02-01,1412,1412,1385.6,1395.9,97400,1347.796
2016-02-02,1403.95,1403.95,1342,1348.6,185300,1302.126
2016-02-03,1344,1394,1324.4,1378.65,138400,1331.141
2016-02-04,1389.9,1409.9,1333.35,1351.3,246400,1304.733
2016-02-05,1390,1402,1360.15,1374.3,907600,1326.941
2016-02-08,1381.95,1393.95,1325,1340.75,190700,1294.547
2016-02-09,1323.8,1338.85,1302.4,1326.55,94200,1280.836
2016-02-10,1329.95,1334.95,1302.5,1318.95,137500,1273.498
2016-02-11,1300.1,1309.9,1254.75,1266.1,308200,1241.292
2016-02-12,1270,1277.45,1189,1235.05,408700,1210.85
2016-02-15,1266.1,1307,1245,1301.45,160800,1275.949
2016-02-16,1301,1309.75,1237.1,1272.55,223200,1247.616
2016-02-17,1278,1330.95,1250,1322.9,161900,1296.979
2016-02-18,1330.05,1336.95,1305.1,1329.5,177100,1303.45
2016-02-19,1329.5,1358.45,1309,1334.8,73700,1308.646
2016-02-22,1335,1354.6,1304.6,1350.2,136900,1323.744
2016-02-23,1355,1359.7,1304,1308.55,97200,1282.91
2016-02-24,1304.95,1304.95,1250,1263.4,180900,1238.645
2016-02-25,1267.5,1285,1256,1265.15,178700,1240.361
2016-02-26,1272.55,1292.1,1243.05,1264.95,203300,1240.164
2016-02-29,1273.95,1275,1224,1261,192200,1236.292
2016-03-01,1265,1297.25,1251.15,1287.45,118300,1262.223
2016-03-02,1296,1325,1287.55,1301.15,314800,1275.655
2016-03-03,1315,1327.85,1297.7,1316,415300,1290.214
2016-03-04,1324,1348.1,1314.1,1328.75,244900,1302.714
2016-03-07,1328.75,1328.75,1328.75,1328.75,0,1302.714
2016-03-08,1335,1344.7,1306,1313,61500,1287.273
2016-03-09,1313,1317.8,1301.1,1309.4,131700,1283.743
2016-03-10,1319,1319,1270.2,1277.25,384400,1252.223
2016-03-11,1275,1295.75,1275,1287.9,91700,1262.665
2016-03-14,1288,1301.25,1275,1288.9,70300,1263.645
2016-03-15,1290,1291.45,1275,1278.55,65400,1253.498
2016-03-16,1270,1270,1250,1254.25,258500,1244.272
2016-03-17,1267.85,1271.9,1251,1256.1,284500,1246.107
2016-03-18,1270,1320,1262,1312.75,673000,1302.307
2016-03-21,1328,1358,1308.15,1347.75,379000,1337.028
2016-03-22,1356.9,1445,1350,1418.1,512000,1406.818
2016-03-23,1420.8,1430.85,1390,1398,188600,1386.878
2016-03-24,1398,1398,1398,1398,0,1386.878
2016-03-25,1398,1398,1398,1398,0,1386.878
2016-03-28,1399,1408.9,1359.25,1366.3,80400,1355.431
2016-03-29,1368,1368.35,1304.1,1340.8,215000,1330.133
2016-03-30,1340.1,1372,1325.55,1351,237700,1340.252
2016-03-31,1364,1373.3,1322.7,1340.25,290800,1329.588
2016-04-01,1348,1368,1343.25,1362.1,114800,1351.264
2016-04-04,1369.9,1409.8,1358.5,1398.1,138900,1386.977
2016-04-05,1398.1,1418.65,1384,1398.6,228800,1387.474
2016-04-06,1415,1415,1375.1,1380.65,93100,1369.666
2016-04-07,1379.5,1407.3,1376.2,1384.1,95600,1373.089
2016-04-08,1394,1449,1385.05,1436.75,207300,1425.32
2016-04-11,1450,1454.85,1420.1,1436.25,75200,1424.824
2016-04-12,1436.25,1471,1434,1458.25,114200,1446.649
2016-04-13,1470,1478,1456,1471.25,249400,1459.546
2016-04-14,1471.25,1471.25,1471.25,1471.25,0,1459.546
2016-04-15,1471.25,1471.25,1471.25,1471.25,0,1459.546
2016-04-18,1474,1487,1449.4,1474.2,180300,1462.472
2016-04-19,1474.2,1474.2,1474.2,1474.2,0,1462.472
2016-04-20,1466,1484.2,1420.5,1425.1,191100,1413.763
2016-04-21,1440,1467.7,1430,1460.8,111000,1449.179
2016-04-22,1468.8,1479,1458.1,1460.45,85200,1448.831
2016-04-25,1474.25,1474.25,1418.8,1422.7,108500,1411.382
2016-04-26,1424,1442,1410.1,1430.2,87400,1418.822
2016-04-27,1428.3,1452,1426.75,1442.85,93000,1431.371
2016-04-28,1436,1449.9,1412.4,1419,113200,1407.711
2016-04-29,1423.95,1442.7,1419.1,1430.25,63400,1418.872
2016-05-02,1426,1459.95,1415.9,1427.2,116700,1415.846
2016-05-03,1435,1446.95,1420.1,1435.35,74600,1423.931
2016-05-04,1439.95,1444.9,1395.55,1402.6,47900,1391.442
2016-05-05,1401,1408.8,1364,1400.65,105200,1389.507
2016-05-06,1400,1418.35,1382.5,1393.15,34700,1382.067
2016-05-09,1395,1418.15,1379,1388.85,126400,1377.801
2016-05-10,1390,1406.65,1377.6,1390.2,49700,1379.14
2016-05-11,1381.05,1399,1369.95,1384.05,42400,1373.039
2016-05-12,1388.95,1404,1382,1397.2,41900,1386.085
2016-05-13,1399.9,1407.9,1388,1391.7,47500,1380.628
2016-05-16,1399,1407.9,1381.85,1398.95,39900,1387.821
2016-05-17,1390.1,1396.05,1379.7,1385.2,49300,1374.18
2016-05-18,1384.6,1393.15,1380,1381.85,25700,1370.857
2016-05-19,1372,1389.7,1366,1374.7,31900,1363.764
2016-05-20,1380.7,1385.7,1315,1325.05,94000,1314.509
2016-05-23,1340,1355,1315,1329.55,71900,1318.973
2016-05-24,1290,1420,1250,1354.5,715700,1343.724
2016-05-25,1357.15,1405,1357.15,1391.45,181500,1380.38
2016-05-26,1391,1402,1370,1382.4,140000,1371.402
2016-05-27,1383.9,1406,1360,1378.5,139800,1367.533
2016-05-30,1379,1384.8,1353.25,1370.4,50400,1359.498
2016-05-31,1365,1369.95,1332.1,1341.75,91500,1331.076
2016-06-01,1355.45,1369.4,1331,1362.7,104100,1351.859
2016-06-02,1359.85,1359.85,1326,1335.95,112200,1325.322
2016-06-03,1340,1388.7,1340,1381.8,304000,1370.807
2016-06-06,1392,1399.9,1351,1371.6,105000,1360.688
2016-06-07,1374.4,1379,1355,1375.4,35500,1364.458
2016-06-08,1380.1,1402.5,1365.2,1397.55,93200,1386.432
2016-06-09,1399,1420,1364.75,1368.3,101500,1357.415
2016-06-10,1367.9,1376,1342.5,1350.5,92700,1339.756
2016-06-13,1338.35,1350,1329,1336.3,66600,1325.669
2016-06-14,1338.5,1365,1336.1,1339.9,149400,1329.241
2016-06-15,1340.05,1354,1328.9,1340.6,341500,1329.935
2016-06-16,1334.95,1357.95,1330.1,1339.75,92800,1329.092
2016-06-17,1339.85,1355,1335.75,1347.6,105300,1336.879
2016-06-20,1339.95,1350,1332.2,1340.35,60400,1329.687
2016-06-21,1340.35,1349.2,1318.05,1329.4,139400,1318.824
2016-06-22,1325,1345.9,1307,1328.35,107900,1317.782
2016-06-23,1340.05,1353,1331.75,1344.6,78200,1333.903
2016-06-24,1287.6,1329,1287.55,1322,163300,1311.483
2016-06-27,1322,1334.1,1318.15,1325.75,60700,1315.203
2016-06-28,1323,1347.95,1317.8,1343.4,75900,1332.713
2016-06-29,1348,1356.4,1344.05,1350.7,201600,1339.955
2016-06-30,1355,1379.15,1350,1372.85,119300,1361.928
2016-07-01,1376,1406.6,1376,1393.7,119100,1382.612
2016-07-04,1397.9,1410,1383,1393.65,84200,1382.563
2016-07-05,1395.15,1405,1388.7,1398.65,58800,1387.523
2016-07-06,1398.65,1398.65,1398.65,1398.65,0,1387.523
2016-07-07,1397.75,1405,1387.4,1398.35,55400,1387.225
2016-07-08,1403,1448,1403,1420.35,271600,1409.05
2016-07-11,1436,1453,1403,1446.95,129500,1435.439
2016-07-12,1451.9,1459.7,1428.5,1435.75,76300,1424.328
2016-07-13,1434,1437.8,1414,1418.3,71500,1407.017
2016-07-14,1425,1445,1414,1439.75,108000,1428.296
2016-07-15,1448.75,1457.2,1392.3,1413.15,122100,1401.908
2016-07-18,1410.95,1424,1392,1396.65,77100,1385.539
2016-07-19,1396.65,1410.55,1372,1393.1,83200,1382.017
2016-07-20,1408,1441.9,1395.1,1435.55,96100,1424.13
2016-07-21,1440,1505,1424.05,1455.3,405400,1443.723
2016-07-22,1441.5,1475.55,1415.3,1459.65,184700,1448.038
2016-07-25,1466,1478.65,1454.05,1460.45,73000,1448.831
2016-07-26,1465,1475,1456.75,1462.45,117600,1450.816
2016-07-27,1469,1469,1393,1406.45,350200,1395.261
2016-07-28,1375,1446.85,1363.15,1437,571800,1425.568
2016-07-29,1439,1456.8,1421,1440.45,289400,1428.991
2016-08-01,1445,1468,1416,1458.1,142100,1446.5
2016-08-02,1458,1494.45,1458,1483.65,259500,1471.847
2016-08-03,1480,1490,1454.4,1463.55,64200,1451.907
2016-08-04,1466.3,1486.95,1452.55,1464.9,49000,1453.246
2016-08-05,1465,1528.9,1465,1519.6,292000,1507.511
2016-08-08,1521,1535.25,1505.55,1526.45,87300,1514.306
2016-08-09,1534,1534.9,1487.6,1501.5,127300,1489.555
2016-08-10,1495,1523.95,1470.2,1479.25,76900,1467.482
2016-08-11,1479.25,1489.95,1461.4,1478.6,48200,1466.837
2016-08-12,1478.6,1495,1466.55,1486.9,70600,1475.071
2016-08-15,1486.9,1486.9,1486.9,1486.9,0,1475.071
2016-08-16,1500,1524.85,1486,1490.45,134700,1478.593
2016-08-17,1497,1510,1490.1,1505.55,106200,1493.573
