"Date","ANDHRABANK.NS.Open","ANDHRABANK.NS.High","ANDHRABANK.NS.Low","ANDHRABANK.NS.Close","ANDHRABANK.NS.Volume","ANDHRABANK.NS.Adjusted"
2016-06-23,54.45,55.7,54.2,55.3,2833200,54.42
2016-06-24,53.95,53.95,50.5,53.15,5558100,52.3
2016-06-27,53,55.5,52.9,54.8,3825600,53.93
2016-06-28,54.7,55.95,54.7,55.35,3536400,54.47
2016-06-29,55.85,56.2,55.5,55.8,2289500,54.91
2016-06-30,56.5,58.95,55.8,57.8,9578100,56.88
2016-07-01,58.2,58.45,56.55,57.55,5833900,56.63
2016-07-04,58.15,60.85,57.8,60.35,6092200,59.39
2016-07-05,60.75,62.1,60.25,60.8,5500100,59.83
2016-07-06,60.8,60.8,60.8,60.8,0,59.83
2016-07-07,61.1,62,60.45,60.75,2665700,59.78
2016-07-08,60.7,61,59.05,60.35,3637000,59.39
2016-07-11,61.75,62.9,61.1,62.65,3417000,61.65
2016-07-12,63.4,63.45,61.85,62.5,4036900,62
2016-07-13,62,62.8,59.9,61,3132600,61
2016-07-14,60.65,63.25,60.45,62.75,3951200,62.75
2016-07-15,63.5,63.75,61.65,62,4307100,62
2016-07-18,62.3,62.45,59.5,59.7,3401100,59.7
2016-07-19,59.9,60.7,58.5,59.25,5703300,59.25
2016-07-20,59.35,60.2,59,59.8,3196800,59.8
2016-07-21,60.45,60.45,58,58.2,2285700,58.2
2016-07-22,58,58.45,56.65,57.9,3499600,57.9
2016-07-25,58,60.9,57.75,60.55,3165100,60.55
2016-07-26,60.6,61.9,59.4,59.65,2579100,59.65
2016-07-27,59.95,60.45,58.55,59.6,2097800,59.6
2016-07-28,59.95,60.7,58.95,59.5,3581200,59.5
2016-07-29,59.65,61.15,59,60.15,3822100,60.15
2016-08-01,60.3,61.3,59.05,59.95,5300100,59.95
2016-08-02,59.85,61,59.85,60.3,2769100,60.3
2016-08-03,60.25,61,59.15,59.7,2434100,59.7
2016-08-04,60.05,61.2,59.25,60.75,3541700,60.75
2016-08-05,61.5,61.85,60.9,61.35,3218700,61.35
2016-08-08,59.25,59.8,57.6,58.25,4659900,58.25
2016-08-09,58.3,59.2,58,58.35,3293700,58.35
2016-08-10,58.6,58.7,55.6,56.15,3024900,56.15
2016-08-11,55.9,56.65,54.7,54.95,3537800,54.95
2016-08-12,55.2,56.5,54.3,55.75,4286000,55.75
2016-08-15,55.75,55.75,55.75,55.75,0,55.75
2016-08-16,55.95,56.3,55,55.95,3151800,55.95
2016-08-17,55.9,56.9,55.55,56.55,2160700,56.55
2016-08-18,56.9,58.9,56.8,58.5,3322600,58.5
2016-08-19,58.3,59.8,58.3,59.5,2890700,59.5
2016-08-22,59.6,60.05,58.2,59.25,2282300,59.25
2016-08-23,59.05,60,58.6,59.85,3606700,59.85
2016-08-24,59.85,60.15,59.2,59.85,3289800,59.85
2016-08-25,60,60,58.4,58.7,1677000,58.7
2016-08-26,58.7,59.2,57.55,58.25,1666200,58.25
2016-08-29,58.2,58.45,57.35,58,1851600,58
2016-08-30,58.15,61.25,58,60.8,3803400,60.8
2016-08-31,61,61.4,60.1,60.35,3993500,60.35
2016-09-01,60.2,60.5,58.15,58.4,3300800,58.4
2016-09-02,58.5,59.6,58.45,59.45,1690000,59.45
2016-09-05,59.45,59.45,59.45,59.45,0,59.45
2016-09-06,59.8,60.8,59.75,60.5,2006900,60.5
2016-09-07,60.8,63.25,60.1,62.25,5939600,62.25
2016-09-08,62.5,64.05,62.25,62.85,3731400,62.85
2016-09-09,62.9,63.4,61.95,62.4,1975200,62.4
