"Date","HINDPETRO.NS.Open","HINDPETRO.NS.High","HINDPETRO.NS.Low","HINDPETRO.NS.Close","HINDPETRO.NS.Volume","HINDPETRO.NS.Adjusted"
2016-04-06,804.999,821.901,790.101,817.101,3286700,247.8236
2016-04-07,816,827.799,810.999,817.101,2272600,247.8236
2016-04-08,817.101,820.299,806.85,816.099,1750400,247.5197
2016-04-11,811.101,838.35,810.999,836.25,1712700,253.6314
2016-04-12,840,846.201,827.799,832.35,1756400,252.4486
2016-04-13,835.5,856.749,828.501,850.35,2671700,257.9079
2016-04-14,850.35,850.35,850.35,850.35,0,257.9079
2016-04-15,850.35,850.35,850.35,850.35,0,257.9079
2016-04-18,860.001,873.249,851.7,868.899,2093900,263.5338
2016-04-19,868.899,868.899,868.899,868.899,0,263.5338
2016-04-20,870,870.999,839.1,845.901,4301000,256.5586
2016-04-21,849.801,870.999,845.199,856.401,3275300,259.7432
2016-04-22,854.001,861.9,847.101,851.751,2280400,258.3328
2016-04-25,849.999,863.4,843.999,860.55,1144300,261.0015
2016-04-26,858,867.201,855.051,856.95,1463100,259.9097
2016-04-27,854.001,869.451,851.349,858.051,1234800,260.2436
2016-04-28,855,863.601,828.651,831.351,2709700,252.1456
2016-04-29,826.5,842.901,815.601,833.751,2375500,252.8735
2016-05-02,843.999,847.749,832.101,841.2,1656300,255.1327
2016-05-03,846.999,846.999,826.65,835.101,2458200,253.283
2016-05-04,830.499,844.401,828.351,830.901,1709600,252.0091
2016-05-05,832.95,833.499,808.2,819.099,1832000,248.4296
2016-05-06,815.001,843,812.601,840.249,2361700,254.8443
2016-05-09,845.001,845.001,815.001,831.501,1892800,252.1911
2016-05-10,839.001,844.2,825.249,829.851,1577200,251.6906
2016-05-11,825,840.45,812.901,837.3,2609900,253.9499
2016-05-12,839.799,842.751,821.499,829.899,2832900,251.7052
2016-05-13,831,840,825.651,832.299,3049100,252.4331
2016-05-16,830.001,837.999,819.999,836.001,2378100,253.5559
2016-05-17,843,857.001,840,842.601,4248500,255.5577
2016-05-18,840,849.999,833.1,842.799,1748500,255.6177
2016-05-19,840,851.55,834.099,838.2,1520300,254.2229
2016-05-20,839.301,844.251,824.151,832.2,1329400,252.4031
2016-05-23,834.999,843.75,817.599,829.149,1535700,251.4777
2016-05-24,824.001,836.799,800.799,807.549,2802600,244.9265
2016-05-25,816,844.8,805.449,840.999,2736100,255.0718
2016-05-26,840,853.65,825.549,849.651,2388400,257.6959
2016-05-27,864.999,953.949,863.001,931.65,18895500,282.5659
2016-05-30,938.001,945.099,910.05,913.401,6582300,277.0311
2016-05-31,915,927.699,904.599,906.45,4325400,274.9228
2016-06-01,920.001,921.999,901.101,905.799,2936300,274.7254
2016-06-02,905.799,919.551,900.999,912.549,2077500,276.7726
2016-06-03,920.001,939.999,914.1,934.05,4713100,283.2938
2016-06-06,927.999,943.5,919.899,922.251,2733100,279.7152
2016-06-07,928.899,929.001,903,905.949,2014600,274.7709
2016-06-08,911.001,914.199,900.951,903.699,2306400,274.0885
2016-06-09,909.3,914.7,896.499,900.549,2185200,273.1331
2016-06-10,903.999,908.001,889.2,893.1,1435500,270.8738
2016-06-13,892.95,905.901,887.151,898.149,3179800,272.4052
2016-06-14,903.801,904.299,883.449,887.649,1719600,269.2206
2016-06-15,891.699,921.9,891.3,918.999,3545000,278.7289
2016-06-16,923.001,924.801,906.201,917.751,2678700,278.3504
2016-06-17,921.999,925.95,912.999,921.399,1631800,279.4568
2016-06-20,915.3,927.951,908.55,921.651,1912200,279.5332
2016-06-21,920.001,933.399,917.001,931.551,3054100,282.5359
2016-06-22,933.999,936,917.349,925.5,1855900,280.7006
2016-06-23,927.999,957.399,924,953.55,3552200,289.2081
2016-06-24,930,953.949,924.999,935.499,2782400,283.7333
2016-06-27,937.899,984.249,937.5,974.301,3829800,295.5018
2016-06-28,978,997.899,977.301,993.75,4264500,301.4006
2016-06-29,995.001,1004.949,981.501,987,3014300,299.3533
2016-06-30,987,1001.001,983.25,996.249,4512000,302.1585
2016-07-01,993.099,1031.001,993.099,1021.299,4209900,309.7561
2016-07-04,1024.599,1043.901,1024.599,1035.6,6511500,314.0935
2016-07-05,1032.501,1050.999,1026.999,1032.801,2872400,313.2446
2016-07-06,1032.801,1032.801,1032.801,1032.801,0,313.2446
2016-07-07,1037.001,1042.2,1024.65,1033.05,1545300,313.3201
2016-07-08,1040.001,1041.9,1024.8,1029.051,2331300,312.1072
2016-07-11,1038.999,1059.699,1031.001,1056.051,3879300,320.2962
2016-07-12,1059.9,1098.999,1055.1,1065.6,10845700,323.1924
2016-07-13,1057.599,1074.801,1046.4,1048.95,2830500,318.1425
2016-07-14,1052.799,1074.249,1047.3,1070.901,2528300,324.8002
2016-07-15,1074,1079.799,1059.15,1068.3,1766800,324.0113
2016-07-18,1068.3,1089.999,1056.45,1060.35,2833100,321.6001
2016-07-19,1064.949,1116.699,1062,1108.5,4439000,336.2038
2016-07-20,1108.101,1134.801,1108.101,1121.001,4060600,339.9953
2016-07-21,1215,1215,1151.001,1159.899,12505200,351.7929
2016-07-22,1166.001,1176,1146.75,1170.3,4368300,354.9475
2016-07-25,394.017,408.233,394.017,405.9,6036500,123.1079
2016-07-26,406.667,409.933,402.067,403.467,3278000,122.37
2016-07-27,405.083,417.767,405.083,414.667,5065300,125.7669
2016-07-28,413.183,416.333,406.7,409.8,7357700,129.279
2016-07-29,409.95,425.867,409.567,420.567,6806600,132.6757
2016-08-01,424.333,428,416.7,422.667,3867300,133.3382
2016-08-02,426.483,426.65,411.683,414.1,3859600,130.6356
2016-08-03,412.5,412.683,402.783,406.533,3751200,128.2484
2016-08-04,408.733,410,394.6,402,5808700,126.8184
2016-08-05,406.667,420.7,404.217,419.233,5585300,132.2549
2016-08-08,425,440.633,423.967,438.483,6778500,138.3276
2016-08-09,440,442.667,423.033,424.417,6452500,133.8902
2016-08-10,426.833,429.65,406.05,408.333,8150300,128.8162
2016-08-11,410,417.55,392.367,404.233,11062800,127.5228
2016-08-12,404.8,409.817,396.667,399.517,5695000,126.0351
2016-08-15,399.517,399.517,399.517,399.517,0,126.0351
2016-08-16,399.333,413.667,397.2,407.317,5476800,128.4957
2016-08-17,404.417,411.65,403.667,406.117,3915400,128.1172
2016-08-18,409.667,410,404.133,409.3,3469200,129.1213
2016-08-19,408.333,414.967,405.167,413.233,3421500,130.362
2016-08-22,415.667,417.133,401.683,405.05,4730700,127.7806
2016-08-23,403.333,403.333,380.333,383.567,16370500,121.0033
2016-08-24,387.433,391.917,381.2,390.433,7791700,123.1694
