"Date","SANWARIA.NS.Open","SANWARIA.NS.High","SANWARIA.NS.Low","SANWARIA.NS.Close","SANWARIA.NS.Volume","SANWARIA.NS.Adjusted"
2016-08-31,6.2,6.3,6,6.1,287700,6.1
2016-09-01,6.05,6.1,5.75,6,213000,6
2016-09-02,6,6.1,6,6,77400,6
2016-09-05,6,6,6,6,0,6
2016-09-06,6.05,6.25,6,6.15,87300,6.15
2016-09-07,6.05,6.2,6,6.15,190100,6.15
2016-09-08,6.05,6.25,6,6.1,171300,6.1
2016-09-09,6.25,6.25,6,6.1,36100,6.1
2016-09-12,6,6.15,5.8,6.05,163900,6.05
2016-09-13,6.05,6.05,6.05,6.05,0,6.05
2016-09-14,6.05,6.15,6,6.1,101600,6.1
2016-09-15,6.2,6.2,6,6.2,101200,6.2
2016-09-16,6.2,6.25,6.15,6.2,109000,6.2
2016-09-19,6.15,6.9,6.05,6.65,487500,6.65
2016-09-20,6.85,6.85,6.4,6.5,146700,6.5
2016-09-21,6.55,6.65,6.3,6.45,139700,6.45
2016-09-22,6.65,6.7,6.4,6.5,188900,6.5
2016-09-23,6.7,6.7,6.15,6.2,113900,6.2
2016-09-26,6.45,6.45,6.05,6.1,75400,6.1
2016-09-27,6.2,6.7,6,6.1,83200,6.1
2016-09-28,6.25,6.25,6.05,6.1,52900,6.1
2016-09-29,6.1,6.2,5.15,5.5,302200,5.5
2016-09-30,5.9,6,5.4,5.85,299400,5.85
2016-10-03,5.85,6,5.75,5.95,70800,5.95
2016-10-04,6,6.05,5.8,6,35800,6
2016-10-05,6,6,5.8,5.9,72400,5.9
2016-10-06,5.85,6.1,5.85,5.9,90800,5.9
2016-10-07,5.95,5.95,5.8,5.8,36600,5.8
2016-10-10,5.9,6.8,5.65,6.7,463000,6.7
2016-10-11,6.7,6.7,6.7,6.7,0,6.7
2016-10-12,6.7,6.7,6.7,6.7,0,6.7
2016-10-13,6.65,6.9,6.25,6.45,353500,6.45
2016-10-14,6.5,6.9,6.35,6.65,250600,6.65
2016-10-17,6.85,6.85,6.4,6.45,112300,6.45
2016-10-18,6.75,6.75,6.25,6.4,155200,6.4
2016-10-19,6.35,6.75,6.35,6.45,150600,6.45
2016-10-20,6.45,6.6,6.25,6.35,141300,6.35
2016-10-21,6.45,6.6,6.1,6.2,158600,6.2
