"Date","TORNTPOWER.NS.Open","TORNTPOWER.NS.High","TORNTPOWER.NS.Low","TORNTPOWER.NS.Close","TORNTPOWER.NS.Volume","TORNTPOWER.NS.Adjusted"
2015-04-10,162.85,164.4,161.5,162.6,276300,157.91
2015-04-13,162.25,173,162.25,171.5,598900,166.55
2015-04-14,171.5,171.5,171.5,171.5,0,166.55
2015-04-15,171.5,174.2,167.35,168.8,414400,163.93
2015-04-16,167.55,171.7,165.5,169.45,194800,164.56
2015-04-17,169.7,169.75,163.5,164.15,147600,159.42
2015-04-20,165.75,165.75,160.05,161.95,157500,157.28
2015-04-21,163,164.5,161.05,163.3,161700,158.59
2015-04-22,163.9,164.2,162.1,163.35,91900,158.64
2015-04-23,164.85,165.4,162.85,163.55,94500,158.83
2015-04-24,164.45,164.45,159.85,160.7,137200,156.07
2015-04-27,160.95,161.55,156.7,158.55,219000,153.98
2015-04-28,159.95,164.3,157.8,163.35,215500,158.64
2015-04-29,161.2,166.5,161.2,165,250400,160.24
2015-04-30,163.9,165.9,163,165.1,153600,160.34
2015-05-01,165.1,165.1,165.1,165.1,0,160.34
2015-05-04,164.1,165.7,163.8,164.6,62100,159.85
2015-05-05,165,165.5,163.5,164.1,75100,159.37
2015-05-06,163.5,164.2,158,161.9,257500,157.23
2015-05-07,162.8,162.85,157.65,159.15,594100,154.56
2015-05-08,160.5,161.45,157.5,159.65,99300,155.05
2015-05-11,160.05,162.8,157.3,158.05,331700,153.49
2015-05-12,160.9,162.7,157.05,158.25,289200,153.69
2015-05-13,165.55,172.65,163.15,164.75,1718300,160
2015-05-14,165,167.8,164.25,164.85,291200,160.1
2015-05-15,165.5,166,161.6,162.9,161100,158.2
2015-05-18,164.7,166.1,162.2,163.4,190300,158.69
2015-05-19,164.25,166.35,162.35,162.45,193900,157.77
2015-05-20,163,164.4,162.8,163.6,111600,158.88
2015-05-21,162.3,164,161.1,162.2,94600,157.52
2015-05-22,163.3,163.3,160.15,160.8,118800,156.16
2015-05-25,161.8,161.8,159.5,160.4,90600,155.78
2015-05-26,161.9,161.9,156.65,157.25,135200,152.72
2015-05-27,157,163.3,155.6,160.45,168100,155.82
2015-05-28,161.35,162.15,159.2,161.5,211400,156.84
2015-05-29,161.4,163,160.5,162.4,530100,157.72
2015-06-01,162.4,162.85,160.1,160.5,120500,155.87
2015-06-02,160.1,161.5,158.9,159.5,78600,154.9
2015-06-03,160.4,160.4,155.1,155.9,540700,151.4
2015-06-04,157.35,157.35,149.6,151.8,152400,147.42
2015-06-05,153.45,153.8,150.65,152,75600,147.62
2015-06-08,152.9,152.9,146.1,146.95,82600,142.71
2015-06-09,147.25,147.8,144.4,145.2,88800,141.01
2015-06-10,145.55,150.8,145.2,145.85,144600,141.64
2015-06-11,148.75,153,145.3,146.5,453300,143.75
2015-06-12,145.95,146.5,140.5,140.95,126700,138.31
2015-06-15,142.7,145,140.1,142.25,122200,139.58
2015-06-16,142.25,144,139.8,142,82500,139.34
2015-06-17,142.95,146,142.6,143.5,140000,140.81
2015-06-18,143.6,145.8,143.35,144.3,109800,141.6
2015-06-19,144.95,145.9,138.5,139.8,258600,137.18
2015-06-22,140.7,143.9,138.05,143,180600,140.32
2015-06-23,143.4,150.7,141.55,145.05,502200,142.33
2015-06-24,145.95,149,142,142.95,232600,140.27
2015-06-25,142.95,144.75,141.1,141.5,148800,138.85
2015-06-26,141.5,143.8,141.1,141.95,111000,139.29
2015-06-29,140,140,136.75,138.85,161800,136.25
2015-06-30,139.2,141.45,137.05,140,408900,137.38
2015-07-01,140.75,143.1,140.25,140.75,145200,138.11
2015-07-02,141.75,143.3,140.2,141.1,711300,138.46
2015-07-03,141,144.2,140.75,142.05,232100,139.39
2015-07-06,140.95,143.2,140.25,142.15,138400,139.49
2015-07-07,142.3,145,141.65,142.65,178300,139.98
2015-07-08,141.6,145.9,139.15,143.4,247600,140.71
2015-07-09,144.4,149.8,141.9,142.45,500600,139.78
2015-07-10,143.8,149.5,143.5,148.35,341300,145.57
2015-07-13,149.9,151.95,145.85,146.75,352300,144
2015-07-14,146.55,147.7,144.5,144.95,157600,142.23
2015-07-15,146,147.9,144.3,144.65,136200,141.94
2015-07-16,144.6,147.8,144.6,146.35,138800,143.61
2015-07-17,147.3,151.9,145.1,150.15,531200,147.34
2015-07-20,150.95,151.4,147.4,147.75,123800,144.98
2015-07-21,148.35,148.7,145.15,145.4,115000,142.67
2015-07-22,145.65,147.5,145,146.15,76700,143.41
2015-07-23,146.6,148.9,146.25,148.2,159200,145.42
2015-07-24,148.1,150.2,145.35,146,192700,143.26
2015-07-27,144.2,146.5,141.2,141.9,102900,139.24
2015-07-28,140.7,144.8,139.2,139.7,161800,137.08
2015-07-29,140.7,144,140.1,140.55,162900,137.92
2015-07-30,141.8,148.4,141.65,145,339300,142.28
2015-07-31,146.35,148.3,145.4,146.2,219400,143.46
2015-08-03,146.6,151.9,145.55,150.2,307600,147.38
2015-08-04,151.7,164.8,151.5,163.7,1857600,160.63
2015-08-05,171,176.7,166.3,167.75,2230600,164.61
2015-08-06,168.3,173.5,164,164.75,697000,161.66
2015-08-07,165.5,174.9,160.35,172.8,1127600,169.56
2015-08-10,172.75,180.8,170,174.2,1435500,170.94
2015-08-11,175,176.6,167.5,169.65,391600,166.47
2015-08-12,169,169,161.6,162.5,239200,159.45
2015-08-13,163.05,170.5,163.05,166.3,234300,163.18
2015-08-14,167.35,180,165.2,178,732400,174.66
2015-08-17,179.75,187.4,174.4,179.5,925400,176.14
2015-08-18,180.4,191.9,175.65,183.9,1441000,180.45
2015-08-19,183.5,187.5,179,182.35,596700,178.93
2015-08-20,181.3,183.8,172.95,174.55,303500,171.28
2015-08-21,172.5,175.5,167.4,174.35,277700,171.08
2015-08-24,165,167.9,141.95,148.55,400600,145.77
2015-08-25,152,158,140.05,149.6,463600,146.8
2015-08-26,149.95,156.7,146,150.4,248700,147.58
2015-08-27,154.4,156.35,153,154.8,177900,151.9
2015-08-28,157.3,162.7,154.25,155.4,267700,152.49
2015-08-31,156,158.2,153,154.55,225700,151.65
2015-09-01,153.1,154.2,149.05,152.95,241400,150.08
2015-09-02,153.5,159.8,152.55,154.75,231400,151.85
2015-09-03,156.4,160.3,153.6,158.3,209500,155.33
2015-09-04,157.7,157.7,150.2,151.65,180600,148.81
2015-09-07,153.75,154.8,146,146.9,155500,144.15
2015-09-08,147.95,152,147.3,149.6,229400,146.8
2015-09-09,152,157.3,151.45,153,311300,150.13
2015-09-10,151,154.4,148.25,153.15,191500,150.28
2015-09-11,154,156.5,152.2,153.2,100700,150.33
2015-09-14,154.4,156,152.1,155.05,111300,152.14
2015-09-15,154.1,159.8,154.1,156.6,221400,153.66
2015-09-16,158.8,158.8,156.7,157.5,92600,154.55
2015-09-17,157.5,157.5,157.5,157.5,0,154.55
2015-09-18,162,168,160,165.5,458600,162.4
2015-09-21,167.5,182.85,166.9,179.4,1181100,176.04
2015-09-22,180.9,186.6,170.4,173.25,830300,170
2015-09-23,173.2,183,169.65,180.9,405300,177.51
2015-09-24,181,186.8,180,181.6,512500,178.2
2015-09-25,181.6,181.6,181.6,181.6,0,178.2
2015-09-28,179,183.4,177.9,179.45,304300,176.09
2015-09-29,176.5,182.3,174.45,178.85,241600,175.5
2015-09-30,181.2,181.6,175.5,178.15,216600,174.81
2015-10-01,179.9,186,178.55,180.1,562600,176.72
2015-10-02,180.1,180.1,180.1,180.1,0,176.72
2015-10-05,181.3,184.8,179.65,180.5,316700,177.12
2015-10-06,181.05,184.2,178.65,179.3,289400,175.94
2015-10-07,180.75,185.25,176.55,178.2,412400,174.86
2015-10-08,178.75,181.4,177.3,178.2,202600,174.86
2015-10-09,179.75,181.9,176.8,177.4,160000,174.08
2015-10-12,178.5,182.2,175.25,176,279100,172.7
2015-10-13,177,179.8,175.5,176.05,209400,172.75
2015-10-14,176.4,180.4,176.25,176.7,262000,173.39
2015-10-15,178,180,176,176.65,237800,173.34
2015-10-16,177.05,178.8,175.25,175.85,193400,172.55
2015-10-19,177,178.3,172.1,172.7,300400,169.46
2015-10-20,173.65,188.85,173,186,1986200,182.51
2015-10-21,188.3,192,180,181.65,1211900,178.25
2015-10-22,181.65,181.65,181.65,181.65,0,178.25
2015-10-23,184,185.5,178.25,179.4,541400,176.04
2015-10-26,181,183.4,176.2,178.25,391000,174.91
2015-10-27,178.25,184.9,177.35,183.35,1028900,179.91
2015-10-28,184.8,187.7,182.25,183.2,775500,179.77
2015-10-29,188.5,199.9,187,190.65,4760700,187.08
2015-10-30,192.2,197.5,187.6,194.3,1519700,190.66
2015-11-02,195.45,197.7,188.1,189.8,538100,186.24
2015-11-03,190.65,192.85,187.5,188.65,336500,185.11
2015-11-04,189.8,190.9,184.5,185.2,386400,181.73
2015-11-05,185.7,190.4,182.7,185.2,639700,181.73
2015-11-06,185.75,187.4,181.05,182.15,367900,178.74
2015-11-09,179.75,184.4,172.25,182.9,276600,179.47
2015-11-10,182,189.4,181.05,186.8,521100,183.3
2015-11-11,186.8,186.8,186.8,186.8,0,183.3
2015-11-12,186.8,186.8,186.8,186.8,0,183.3
2015-11-13,189.8,191,185.95,189.55,213400,186
2015-11-16,188.1,191.85,187.5,188.9,184400,185.36
2015-11-17,189.2,192.4,187.5,189.1,296300,185.56
2015-11-18,189.1,195,187.55,188.5,657300,184.97
2015-11-19,190.8,191.9,186.5,187.8,422900,184.28
2015-11-20,188,191.85,186.3,187.2,377200,183.69
2015-11-23,188,188.6,184.1,184.75,227300,181.29
2015-11-24,184,186.15,183.45,184.2,229700,180.75
2015-11-25,184.2,184.2,184.2,184.2,0,180.75
2015-11-26,184.25,185.9,183.6,184.3,163800,180.85
2015-11-27,184.25,188.9,183.7,184.4,194200,180.94
2015-11-30,184.4,187.9,184.05,184.55,228700,181.09
2015-12-01,185.35,193.5,184.6,190.9,886700,187.32
2015-12-02,192,199.45,189.6,197.15,2283800,193.45
2015-12-03,196,196.5,190.35,191.35,358000,187.76
2015-12-04,189.85,190.75,186.25,186.9,254200,183.4
2015-12-07,187.9,190.65,186.5,187.1,151100,183.59
2015-12-08,186.05,187.85,178.5,179.4,334200,176.04
2015-12-09,179,181.45,176.35,177.3,327500,173.98
2015-12-10,177.8,178.65,175.1,175.7,277900,172.41
2015-12-11,176,177.5,172.1,172.9,286300,169.66
2015-12-14,171.85,173,170.1,171,291300,167.8
2015-12-15,171.95,173.8,170.35,172.15,256700,168.92
2015-12-16,174,176.25,172.2,172.8,274000,169.56
2015-12-17,174.4,178.25,173.4,176.1,531400,172.8
2015-12-18,175.5,176.85,172.7,173.55,338400,170.3
2015-12-21,173.5,178.8,173.05,175.85,324000,172.55
2015-12-22,176.3,177.1,174.05,174.9,248600,171.62
2015-12-23,175.9,177.4,173.75,174.35,318000,171.08
2015-12-24,174.9,176.5,173.4,174.45,182000,171.18
2015-12-25,174.45,174.45,174.45,174.45,0,171.18
2015-12-28,174.85,176.15,174.05,174.5,218200,171.23
2015-12-29,175,175.5,172.25,173,242000,169.76
2015-12-30,173.4,177.65,172.5,173.3,388000,170.05
2015-12-31,173.6,177.6,172.65,173.55,842200,170.3
2016-01-01,174.1,182,171.35,180.75,1455900,177.36
2016-01-04,181,206.1,179.25,198.85,4463400,195.12
2016-01-05,200.15,204.8,197.1,200.85,1900500,197.09
2016-01-06,201.45,234,200.5,224.55,8468200,220.34
2016-01-07,220.5,235,215.6,220.75,4849600,216.61
2016-01-08,223.45,232.4,222.1,224.6,1867800,220.39
2016-01-11,222,227.9,217.75,224.45,1162800,220.24
2016-01-12,225,228.5,217.5,219.7,815300,215.58
2016-01-13,221.4,241.9,213.25,237.55,3764800,233.1
2016-01-14,231.5,233.4,217.2,219.65,1673000,215.53
2016-01-15,221.9,229,217,219.75,1551300,215.63
2016-01-18,219.05,219.1,190,193.75,1481800,190.12
2016-01-19,195.35,209.5,195.35,207.4,1327600,203.51
2016-01-20,202,210,198,205.95,1086000,202.09
2016-01-21,208.9,219.5,206.7,217.45,1271500,213.37
2016-01-22,221,223.95,214.35,215.7,679600,211.66
2016-01-25,216.35,217.85,207.4,211.6,542200,207.63
2016-01-26,211.6,211.6,211.6,211.6,0,207.63
2016-01-27,213.8,222.5,212.1,216.1,1123400,212.05
2016-01-28,216.5,226.9,215.2,222.5,1067800,218.33
2016-01-29,220.5,236,220.5,234,1740200,229.61
2016-02-01,236,243.85,233.1,238.25,1635800,233.78
2016-02-02,239.35,246.4,226.15,231.6,1373500,227.26
2016-02-03,236,246.9,231.05,232.85,2753400,228.49
