"Date","BHEL.NS.Open","BHEL.NS.High","BHEL.NS.Low","BHEL.NS.Close","BHEL.NS.Volume","BHEL.NS.Adjusted"
2016-08-11,138.1,139,134.2,136.4,6098500,134.977
2016-08-12,137.9,139.6,137.35,138.5,4733400,137.055
2016-08-15,138.5,138.5,138.5,138.5,0,137.055
2016-08-16,139,139,135.5,137.1,4901400,135.67
2016-08-17,137,138.7,136.5,137.6,3085200,136.165
2016-08-18,138.65,141.2,138,140.35,3891700,138.886
2016-08-19,140.95,142.8,140.15,142,3788500,140.519
2016-08-22,141.9,146.4,141.1,143.9,8409700,142.399
2016-08-23,143.45,143.45,135.9,136.9,9763800,135.472
2016-08-24,136.45,138.1,135.35,136.8,5087900,135.373
2016-08-25,136.5,142,136.3,140.9,13325300,139.43
2016-08-26,140,142.2,138,139.45,4432700,137.995
2016-08-29,139.25,141.5,137.65,140.95,3901000,139.48
2016-08-30,140.5,142.25,139.15,140.55,4345100,139.084
2016-08-31,140.1,141.65,138.15,139.1,4848600,137.649
2016-09-01,139.1,139.95,134.6,135.45,5065900,134.037
2016-09-02,134.25,136.9,134.25,136.1,4706300,134.68
2016-09-05,136.1,136.1,136.1,136.1,0,134.68
2016-09-06,137,138.9,137,138.15,3761700,136.709
2016-09-07,137.95,161.55,134.05,159.65,79287100,157.985
2016-09-08,158.45,162.9,153.55,156.75,40482000,155.115
2016-09-09,155.05,156.9,153,154.05,12309700,152.443
2016-09-12,150.5,153.85,146.25,147.5,11723500,146.342
2016-09-13,147.5,147.5,147.5,147.5,0,146.342
2016-09-14,148,149.45,144.7,146.35,10833500,145.595
2016-09-15,147.4,151.45,145.35,150.3,16496900,149.525
2016-09-16,152.95,153.3,145.6,146.65,13625500,145.894
2016-09-19,146.9,149.4,146.55,147.15,6780400,146.391
2016-09-20,147.5,148.3,145.25,145.75,10277700,144.998
2016-09-21,148,148,143.55,144.35,7132300,143.606
2016-09-22,146.5,147.8,145.6,147.1,6075600,146.342
2016-09-23,147.5,150.7,145.6,146.15,13606500,145.396
2016-09-26,146,146.75,142.3,142.8,8015700,142.064
