"Date","TCS.NS.Open","TCS.NS.High","TCS.NS.Low","TCS.NS.Close","TCS.NS.Volume","TCS.NS.Adjusted"
2015-01-01,2567,2567,2541,2545.55,183400,2454.483
2015-01-02,2551,2590.95,2550.6,2579.45,462800,2487.17
2015-01-05,2581,2599.9,2524.65,2540.25,877100,2449.372
2015-01-06,2529.1,2529.1,2440,2446.6,1211800,2359.073
2015-01-07,2470,2479.15,2407.45,2417.7,1318100,2331.206
2015-01-08,2442.4,2449,2420.55,2443.8,782700,2356.373
2015-01-09,2455,2519.9,2450,2512.3,1598800,2422.422
2015-01-12,2517,2528,2480.25,2509.7,798000,2419.915
2015-01-13,2520,2530.4,2480.1,2497.9,734200,2408.537
2015-01-14,2516,2531.8,2500.5,2521.95,893500,2431.727
2015-01-15,2533,2581.75,2523.25,2539.1,2504900,2448.263
2015-01-16,2543.7,2545,2484.3,2532.15,2646900,2441.562
2015-01-19,2536,2551,2503,2511,567500,2421.169
2015-01-20,2520,2530,2483.25,2500.45,1029200,2410.996
2015-01-21,2522,2522,2488.25,2513.8,1155200,2423.869
2015-01-22,2516.5,2521.25,2495.5,2513.55,1056600,2423.627
2015-01-23,2514,2532.05,2496.1,2503.6,1575100,2414.033
2015-01-26,2503.6,2503.6,2503.6,2503.6,0,2414.033
2015-01-27,2512.35,2515,2489.55,2502.05,1369300,2417.367
2015-01-28,2503,2544.9,2502.9,2539.6,1560900,2453.646
2015-01-29,2538,2568.7,2512.9,2544.65,1867100,2458.525
2015-01-30,2560.7,2575,2470,2482.05,2908700,2398.044
2015-02-02,2482,2521.45,2462.05,2514.2,1590900,2429.105
2015-02-03,2511.65,2565,2507.1,2558.25,1172500,2471.664
2015-02-04,2568,2571.7,2502.1,2514.3,1122700,2429.202
2015-02-05,2520,2591.7,2519,2552.4,2265000,2466.012
2015-02-06,2553,2594.8,2550.85,2575.75,1068200,2488.572
2015-02-09,2561.5,2569.1,2500,2512.9,1038200,2427.849
2015-02-10,2510,2526.25,2433,2441.15,1899500,2358.528
2015-02-11,2455.05,2487.25,2447.25,2459.9,1468700,2376.643
2015-02-12,2479.8,2479.8,2447,2462.15,1553900,2378.817
2015-02-13,2470,2547.75,2460.25,2538.75,2079100,2452.824
2015-02-16,2560,2595,2555,2584.8,1182100,2497.316
2015-02-17,2584.8,2584.8,2584.8,2584.8,0,2497.316
2015-02-18,2585.05,2643,2565.25,2635.65,1330000,2546.445
2015-02-19,2636,2687.3,2635,2681.05,1309000,2590.308
2015-02-20,2698.8,2698.8,2642.25,2675.55,900700,2584.994
2015-02-23,2671,2722,2671,2696.65,807400,2605.38
2015-02-24,2694,2730,2679,2704.75,1099900,2613.206
2015-02-25,2710,2722,2667.85,2672.2,883900,2581.758
