"Date","EXIDEIND.NS.Open","EXIDEIND.NS.High","EXIDEIND.NS.Low","EXIDEIND.NS.Close","EXIDEIND.NS.Volume","EXIDEIND.NS.Adjusted"
2016-06-27,164.5,170.25,164.5,167.45,2169700,164.58
2016-06-28,168.5,169.4,166.4,166.8,1292500,163.94
2016-06-29,167.25,170.7,163.95,164.4,4085500,161.58
2016-06-30,166.55,170.2,164.3,169.3,4299700,166.4
2016-07-01,169.35,177.3,169.35,175.5,1892100,172.49
2016-07-04,175.8,176.95,174.5,175,1936700,172
2016-07-05,174.4,175.3,169.6,170.55,3908200,167.62
2016-07-06,170.55,170.55,170.55,170.55,0,167.62
2016-07-07,170.7,176.85,170.25,176,3153400,172.98
2016-07-08,177,177.9,172.8,173.45,1752700,171.25
2016-07-11,174.7,175.5,172.15,172.75,640500,171.35
2016-07-12,172.75,178.4,171.8,177.05,1812100,175.62
2016-07-13,179.7,183,176.55,182.45,3140600,180.97
2016-07-14,184.45,184.45,178.35,179.8,2440700,178.34
2016-07-15,180.5,182.85,179.1,179.95,1437200,178.49
2016-07-18,181.8,183.25,177.4,179.3,4197900,177.85
2016-07-19,181,181,173.05,175.7,5813000,174.28
2016-07-20,177,178.3,174.1,176.55,2185100,175.12
2016-07-21,177,179.6,173.3,174.6,1471900,173.19
2016-07-22,175.3,182.5,175.25,181.4,5127000,179.93
2016-07-25,182.8,183.4,180.15,181.8,1817100,180.33
2016-07-26,180.35,183.95,176.4,177.1,2613500,175.67
2016-07-27,178.25,181.85,175.6,178.2,1705900,176.76
2016-07-28,178.2,180,176,176.7,2287700,175.27
2016-07-29,176.65,181.4,176.65,179.1,2542900,177.65
2016-08-01,180.1,183.15,176,177.3,4704500,175.87
2016-08-02,177.3,180.75,174.55,175.95,1792800,174.53
2016-08-03,176.2,176.9,172.7,173.6,1189900,172.2
2016-08-04,177,177.6,172.1,173.05,1699400,171.65
2016-08-05,174.1,176.5,173.65,175.05,1157100,173.63
2016-08-08,175.65,176.4,173.75,174.25,2404900,172.84
2016-08-09,174,179.7,168.5,178.35,62096000,176.91
2016-08-10,181,181,174.1,176.05,6682900,174.63
2016-08-11,176,178.5,170.55,174.8,3495000,173.39
2016-08-12,175,176.4,172.5,173.05,1620200,171.65
2016-08-15,173.05,173.05,173.05,173.05,0,171.65
2016-08-16,173,175.7,172.15,174.95,1651500,173.53
2016-08-17,174,177,173.4,176,1498800,174.58
2016-08-18,176.75,178.05,176.05,177.2,1742100,175.77
2016-08-19,177.5,180.9,176.05,178.55,2442300,177.1
2016-08-22,178.65,180,174.65,175.4,1864900,173.98
2016-08-23,175.1,177.15,173.2,175,1806100,173.58
2016-08-24,175.3,176.05,173.5,174.95,1136700,173.53
2016-08-25,176,178.35,173.85,176.6,4952100,175.17
2016-08-26,176.5,178.35,174.25,174.6,952300,173.19
2016-08-29,174.2,180.75,173.25,179.05,1984500,177.6
2016-08-30,181.9,184.35,180.1,183.5,4669500,182.01
2016-08-31,184,187.7,181.8,185.3,5277800,183.8
2016-09-01,185.6,187.5,183.55,184.75,2533200,183.25
2016-09-02,185.85,188.85,185.05,187.1,2266700,185.59
2016-09-05,187.1,187.1,187.1,187.1,0,185.59
2016-09-06,188.95,191.5,187,189.75,2578100,188.21
2016-09-07,190,193.2,187.05,190.85,2157200,189.31
2016-09-08,191,194,190.65,192.9,1560900,191.34
2016-09-09,193.95,196.25,186.6,190.75,5023400,189.21
2016-09-12,186.3,187.95,183.4,184.2,3137800,182.71
2016-09-13,184.2,184.2,184.2,184.2,0,182.71
2016-09-14,185.9,189,184.55,188.05,2140400,186.53
2016-09-15,188,195.7,186.75,194.7,4076500,193.12
2016-09-16,196,199.5,190.7,193.45,4534500,191.88
2016-09-19,194.95,195.9,190.7,194.05,2091800,192.48
2016-09-20,194.15,196.7,192.75,195.1,2267800,193.52
2016-09-21,194.7,196.55,191.4,192.1,1797900,190.55
2016-09-22,196.5,197.85,193.95,194.95,4533700,193.37
2016-09-23,195.7,195.8,192.35,193.05,4567300,191.49
