"Date","UBL.NS.Open","UBL.NS.High","UBL.NS.Low","UBL.NS.Close","UBL.NS.Volume","UBL.NS.Adjusted"
2015-02-25,964.5,978,964.5,973,128200,970.5
2015-02-26,975.9,976,951,956.95,252000,954.49
2015-02-27,956.55,1014,956.55,1008.65,761000,1006.06
2015-03-02,1000.65,1009,975,996.95,212400,994.39
2015-03-03,999,1021.2,991.85,999.15,102700,996.59
2015-03-04,1002.1,1035,981.4,1000.7,428400,998.13
2015-03-05,1000,1045,1000,1026.65,503000,1024.01
2015-03-06,1026.65,1026.65,1026.65,1026.65,0,1024.01
2015-03-09,1018.85,1035.4,1012.8,1019.15,153000,1016.53
2015-03-10,1023,1040,1007.6,1021.25,292300,1018.63
2015-03-11,1025,1036.35,1014,1019.75,199300,1017.13
2015-03-12,1026.8,1030.8,1017.15,1018.65,370100,1016.03
2015-03-13,1022.15,1035,983.2,993.6,281600,991.05
2015-03-16,997.8,1004.2,960.35,978.6,106900,976.09
2015-03-17,978.6,997.45,978,990.2,149200,987.66
2015-03-18,990.2,993.3,979.55,985.85,88700,983.32
2015-03-19,986,999.9,984.35,994.15,138200,991.6
2015-03-20,991,996.85,973.65,981.05,105900,978.53
2015-03-23,989.15,997.8,948,966.75,110500,964.27
2015-03-24,961.6,973.5,950,958.25,69100,955.79
2015-03-25,960,973.6,945.35,966.75,125000,964.27
2015-03-26,955.05,979,955.05,965.05,266700,962.57
2015-03-27,984.8,988,970.8,980.4,76100,977.88
2015-03-30,971,997.05,971,992.05,62900,989.5
2015-03-31,994,1009.9,988.95,1000.3,123100,997.73
2015-04-01,1005,1014,994,996.1,84800,993.54
2015-04-02,996.1,996.1,996.1,996.1,0,993.54
2015-04-03,996.1,996.1,996.1,996.1,0,993.54
2015-04-06,1000,1015.9,977,1004.15,135700,1001.57
2015-04-07,1011.9,1126.5,995.35,1112.8,726100,1109.94
2015-04-08,1122.95,1142,1102.5,1122.35,327200,1119.47
2015-04-09,1131,1131,1086.75,1104.5,164100,1101.66
2015-04-10,1112,1162,1105.25,1142.3,445600,1139.37
2015-04-13,1142,1174,1141.05,1164.8,196900,1161.81
2015-04-14,1164.8,1164.8,1164.8,1164.8,0,1161.81
2015-04-15,1166,1203.8,1134.75,1161.85,239200,1158.87
2015-04-16,1161,1183.2,1135,1170.45,184400,1167.45
2015-04-17,1177,1226,1155,1163.05,367200,1160.06
2015-04-20,1151.25,1159.25,1086.85,1107.9,188700,1105.06
2015-04-21,1104,1105,1045.75,1070.7,185500,1067.95
2015-04-22,1075,1086.9,1047.1,1078.85,146500,1076.08
2015-04-23,1073.5,1096.95,1061,1071.65,138800,1068.9
2015-04-24,1066.25,1086.95,1055.35,1068.1,118400,1065.36
2015-04-27,1063,1065,918.5,940.95,277300,938.53
2015-04-28,905.5,955.9,900,930.55,330600,928.16
2015-04-29,932,976,919.5,957.8,260600,955.34
2015-04-30,955,960.9,913,932.4,339400,930.01
2015-05-01,932.4,932.4,932.4,932.4,0,930.01
2015-05-04,931,969.95,931,960.4,168700,957.93
2015-05-05,951.85,988.75,951.85,977.8,180800,975.29
