"Date","RELINFRA.NS.Open","RELINFRA.NS.High","RELINFRA.NS.Low","RELINFRA.NS.Close","RELINFRA.NS.Volume","RELINFRA.NS.Adjusted"
2015-03-13,490,495.6,460.3,462.4,2720500,445.3
2015-03-16,464.15,465.15,451.4,454.6,1354400,437.79
2015-03-17,458.2,462.2,448.1,457,1970900,440.1
2015-03-18,454.35,460.8,450.05,453.85,1660600,437.07
2015-03-19,460,468.9,451.25,454.6,2092800,437.79
2015-03-20,450.7,453.5,435,436.4,2124100,420.27
2015-03-23,431.1,438.65,427.55,434.05,2196800,418
2015-03-24,433,435,420.3,424.9,1804900,409.19
2015-03-25,427,430.4,421.5,427,1428300,411.21
2015-03-26,424.1,433.75,422.7,425.1,1817300,409.38
2015-03-27,429.3,433.45,416,421,2258700,405.44
2015-03-30,424.5,435,424.5,433.55,1035600,417.52
