"Date","JPASSOCIAT.NS.Open","JPASSOCIAT.NS.High","JPASSOCIAT.NS.Low","JPASSOCIAT.NS.Close","JPASSOCIAT.NS.Volume","JPASSOCIAT.NS.Adjusted"
2015-04-01,24.8,25.25,24.6,25.05,12134700,25.05
2015-04-02,25.05,25.05,25.05,25.05,0,25.05
2015-04-03,25.05,25.05,25.05,25.05,0,25.05
2015-04-06,25,25.6,24.4,25.35,19205000,25.35
2015-04-07,25.5,25.55,24.8,25.2,12376300,25.2
2015-04-08,25.45,26.3,25.15,25.45,23412100,25.45
2015-04-09,25.65,26.05,25.35,25.6,13180200,25.6
2015-04-10,25.6,26.7,25.5,26.3,25474200,26.3
2015-04-13,26.4,26.55,25.9,26.15,11279000,26.15
2015-04-14,26.15,26.15,26.15,26.15,0,26.15
2015-04-15,26.15,26.6,25.5,25.65,13911800,25.65
