"Date","POWERGRID.NS.Open","POWERGRID.NS.High","POWERGRID.NS.Low","POWERGRID.NS.Close","POWERGRID.NS.Volume","POWERGRID.NS.Adjusted"
2016-07-21,168.3,168.35,161.8,162.5,2356400,160.37
2016-07-22,163.5,168.05,162.85,166.35,4053400,164.17
2016-07-25,166.55,169.6,166.15,168.95,2231600,166.74
2016-07-26,169.25,173,167.2,171.4,4656800,169.16
2016-07-27,173,173.7,171.55,172.45,4979000,170.19
2016-07-28,172.9,178.85,172.15,176.2,17673800,173.89
2016-07-29,177.1,177.5,174.7,176,6962300,173.69
2016-08-01,176,179.9,175.65,177.2,6730600,174.88
2016-08-02,177.5,180.2,176.05,178.9,3648900,176.56
2016-08-03,179,179.1,173.7,175.9,6026300,173.6
2016-08-04,176.8,179.35,176.35,178.2,5089100,175.87
2016-08-05,179,181.2,176.05,176.5,4959200,174.19
2016-08-08,177,180,175.5,178.5,5366500,176.16
2016-08-09,178.5,179.65,175.5,176.1,3551600,173.79
2016-08-10,176.1,176.5,173.6,174.4,2131600,172.12
2016-08-11,174.1,176.55,172.45,174.05,2822100,171.77
2016-08-12,174.2,179,174.2,178.05,2458100,175.72
2016-08-15,178.05,178.05,178.05,178.05,0,175.72
2016-08-16,178.8,183.1,176.25,177.5,12584600,175.18
2016-08-17,177.95,178.8,174.25,174.65,6524400,172.36
2016-08-18,177,183.2,176.25,182,11623600,179.62
2016-08-19,183,183,179.3,180.95,9317100,178.58
2016-08-22,181.45,182.8,180.75,181.95,6376200,179.57
2016-08-23,181.45,183.4,180,182.15,4175800,179.76
2016-08-24,182.3,183,181.1,182.3,2992000,179.91
2016-08-25,182.5,185,180.5,182.25,7309900,179.86
2016-08-26,182.65,183.4,180.2,180.8,3992500,178.43
2016-08-29,181.2,181.35,177.6,180.25,1662900,177.89
2016-08-30,180.9,183.8,179.7,183.3,2932100,180.9
2016-08-31,183.1,184.5,181.85,183.7,3620100,181.29
2016-09-01,183.5,185,182.25,184.3,3440400,181.89
2016-09-02,184.55,185,182.3,183.8,2170300,181.39
2016-09-05,183.8,183.8,183.8,183.8,0,181.39
2016-09-06,184.75,187.7,183.8,186.6,5063100,184.16
2016-09-07,186.1,187,183.9,184.75,2826500,182.33
2016-09-08,183.9,187.65,181.65,186.4,3363900,185.47
2016-09-09,186,186.65,183.4,183.8,2841600,182.89
2016-09-12,182.6,183.4,179.75,180.25,2331200,179.36
2016-09-13,180.25,180.25,180.25,180.25,0,179.36
2016-09-14,179.95,181.05,178.5,179.15,3757900,178.26
2016-09-15,180.4,180.4,174.05,174.8,5017500,173.93
2016-09-16,176.3,180.5,173.15,176.05,12201000,175.18
2016-09-19,175.7,178.2,174.25,177.4,2400000,176.52
2016-09-20,177.65,179.4,177,178.1,2682900,177.22
2016-09-21,178.1,180.1,174.55,175.3,2788800,174.43
2016-09-22,177.1,180.3,176.2,178.55,2630400,177.66
2016-09-23,178.25,179.4,175.7,175.95,4274700,175.08
2016-09-26,175.7,178.3,174.85,175.7,3562500,174.83
2016-09-27,176.65,178.15,175.85,176.2,3414100,175.33
2016-09-28,176.2,179.1,176.2,178.45,2540000,177.56
2016-09-29,178.75,182.1,171.7,173.4,7526700,172.54
