"Date","BRITANNIA.NS.Open","BRITANNIA.NS.High","BRITANNIA.NS.Low","BRITANNIA.NS.Close","BRITANNIA.NS.Volume","BRITANNIA.NS.Adjusted"
2015-04-21,2170,2189.7,2035.5,2069.5,238600,2043.6973
2015-04-22,2069.5,2119.95,2046.5,2066.25,283300,2040.4878
2015-04-23,2072.5,2162,2072.5,2151.6499,160700,2124.8229
2015-04-24,2170,2181.8501,2115.6499,2139.7,191400,2113.022
2015-04-27,2145,2145,2006.5,2071.5,96200,2045.6723
2015-04-28,2081,2130,2046.55,2095.05,157800,2068.9288
2015-04-29,2096,2168.45,2085,2151.6001,100500,2124.7737
2015-04-30,2149,2215,2149,2197.8501,151200,2170.4471
2015-05-01,2197.8501,2197.8501,2197.8501,2197.8501,0,2170.4471
2015-05-04,2208,2260,2202,2248.3999,59900,2220.3666
2015-05-05,2250,2374.3999,2249.8999,2344.95,86300,2315.7129
2015-05-06,2356,2405,2235.1001,2247.3,224100,2219.2805
2015-05-07,2245,2289.8,2190.6499,2236.3501,111300,2208.4671
2015-05-08,2247,2298,2196.7,2203.3999,93600,2175.9277
2015-05-11,2230,2299,2209.1499,2283.2,152600,2254.7328
2015-05-12,2285,2285,2248,2272.3999,51600,2244.0674
2015-05-13,2310,2310,2254.1001,2282.6001,95500,2254.1404
2015-05-14,2283.1001,2315,2236,2258.3,51100,2230.1433
2015-05-15,2275,2300,2251.05,2263.8999,95900,2235.6734
2015-05-18,2274,2300,2260.45,2293.8501,52900,2265.2501
2015-05-19,2301,2338.95,2296,2324.75,78700,2295.7648
2015-05-20,2336,2363.1001,2320.1499,2332.05,257300,2302.9738
2015-05-21,2355.8501,2377.3,2272,2287.8501,163100,2259.325
2015-05-22,2397,2554.6499,2375,2430.8501,785600,2400.542
2015-05-25,2449.75,2528.8999,2440,2507,244800,2475.7425
2015-05-26,2511,2549,2490,2513.6499,130300,2482.3095
2015-05-27,2520,2598,2500,2578.75,282200,2546.5979
2015-05-28,2590,2668,2588,2657.25,489300,2624.1191
2015-05-29,2669,2686,2520,2544.7,453900,2512.9724
2015-06-01,2560,2605,2504.7,2567.8999,187500,2535.8831
2015-06-02,2571,2596.5,2501.1001,2509.1001,118600,2477.8164
2015-06-03,2515,2532,2424,2511.6001,185000,2480.2852
2015-06-04,2532,2594.8,2510,2580.3999,220600,2548.2272
2015-06-05,2590.3999,2725,2585,2709.45,466200,2675.6683
2015-06-08,2734.1001,2744,2629,2643.95,235500,2610.9849
2015-06-09,2664.8999,2715.7,2576.6001,2597.6001,302800,2565.213
2015-06-10,2609,2647,2580.5,2597.3501,165200,2564.9661
2015-06-11,2629,2651.8999,2585.7,2602.6499,223000,2570.1998
2015-06-12,2606.7,2630,2594.8,2605.5,151800,2573.0144
2015-06-15,2629.75,2643,2582.8501,2623.1499,125800,2590.4442
2015-06-16,2623,2637.8501,2588.6001,2611.6499,152700,2579.0876
2015-06-17,2620,2781.8999,2612,2758.3999,395400,2724.0079
2015-06-18,2752,2774.7,2670,2684.3,221100,2650.8319
2015-06-19,2700,2746.05,2681.3999,2705.45,167400,2671.7181
2015-06-22,2740,2797.75,2700.75,2783.7,213000,2748.9925
2015-06-23,2800.1001,2810,2730,2738.7,177300,2704.5536
2015-06-24,2747.95,2751.75,2680,2692.6499,153300,2659.0777
2015-06-25,2682,2708.6001,2670,2693.6001,131400,2660.016
2015-06-26,2698,2752,2667.1499,2743.8999,142400,2709.6887
2015-06-29,2728.7,2728.7,2650,2700.3501,121200,2666.6819
2015-06-30,2705,2783.6499,2705,2762.95,222100,2728.5012
2015-07-01,2760,2792,2720,2731.55,197900,2697.4928
2015-07-02,2750,2771,2732,2746.25,151400,2712.0095
2015-07-03,2769,2789.6001,2749,2770.7,157800,2736.1546
2015-07-06,2721,2827,2721,2785.6499,276800,2750.9181
2015-07-07,2794,2829.6001,2769,2787.5,155600,2752.7452
2015-07-08,2779,2808.5,2765,2791.8999,154600,2757.0902
2015-07-09,2804,2830,2792.3999,2823.8999,152300,2788.6912
2015-07-10,2831.5,2855,2825.55,2839.05,144500,2803.6525
2015-07-13,2839,2865,2828,2845.6001,104500,2810.1209
2015-07-14,2845,2857,2819.5,2831.3,94900,2795.9991
2015-07-15,2841,2851,2823.1001,2832.8999,69800,2797.579
2015-07-16,2850,2856,2832,2842.1001,106400,2806.6645
2015-07-17,2853.5,2924,2836.8,2878.45,159000,2842.5612
2015-07-20,2878.45,2900,2874,2881.8999,208600,2845.9681
2015-07-21,2897,2897,2846.8999,2875.1499,226600,2839.3022
2015-07-22,2867,2877.8,2849.95,2856.8999,173800,2821.2798
2015-07-23,2867.7,2897,2841.7,2850.05,104600,2814.5153
2015-07-24,2875,2913.7,2817.1001,2895.1001,149900,2859.0037
2015-07-27,2897,2957,2874.05,2932,247100,2911.5345
2015-07-28,2949,3003.8999,2941.2,2976.05,236200,2955.277
2015-07-29,2981,3009,2952,2968.25,128400,2947.5314
2015-07-30,2968,3084.8999,2961.25,3065.8,206100,3044.4006
2015-07-31,3088,3245.5,3080,3153.6499,448500,3131.6372
2015-08-03,3176,3183.8,3075,3136.8501,185100,3114.9547
