"Date","ASHOKLEY.NS.Open","ASHOKLEY.NS.High","ASHOKLEY.NS.Low","ASHOKLEY.NS.Close","ASHOKLEY.NS.Volume","ASHOKLEY.NS.Adjusted"
2016-04-25,105.4,107.45,105.35,105.95,8358300,104.875
2016-04-26,105.3,107,105.1,106.8,6925700,105.716
2016-04-27,107.65,109.25,107.3,107.95,8961700,106.854
2016-04-28,107.95,108.2,105.15,105.4,11141000,104.33
2016-04-29,106,107.25,104.4,106.8,9141400,105.716
2016-05-02,106.9,108.15,105.15,105.95,11259500,104.875
2016-05-03,106.95,107.4,104.7,105.05,7052200,103.984
2016-05-04,104.8,104.8,101.55,102,6354100,100.965
2016-05-05,101.95,103.6,100.6,102.8,7228900,101.757
2016-05-06,102.4,104.6,101.6,104.15,5953100,103.093
2016-05-09,104.75,105.5,104.4,104.8,5190500,103.736
2016-05-10,104.95,105.5,103.1,105.25,8355200,104.182
2016-05-11,104,104.8,102.85,104.2,4750700,103.142
2016-05-12,104.2,105,103.6,104.15,3361200,103.093
2016-05-13,104,104.4,102.3,102.85,4318700,101.806
2016-05-16,102.9,103.75,102.3,103.5,4107200,102.45
2016-05-17,104.05,104.05,102.7,102.9,4132600,101.856
2016-05-18,102.2,102.8,100.65,102.2,4514700,101.163
2016-05-19,102.4,103.9,101.7,101.95,4062800,100.915
2016-05-20,102.5,102.5,98.95,99.45,5877800,98.441
2016-05-23,100,101.6,99.05,100,6662100,98.985
2016-05-24,100.55,102.45,99.55,101.6,6597600,100.569
2016-05-25,103.6,105.35,94.55,97.25,49190700,96.263
2016-05-26,99,104.75,97.35,104.2,42430700,103.142
2016-05-27,105.1,107.25,104.55,106.8,17461500,105.716
2016-05-30,107.3,107.45,105.1,106.05,8731300,104.974
2016-05-31,106.1,109.35,105.05,108.95,14266500,107.844
2016-06-01,110,111.7,103.85,104.45,29231100,103.39
2016-06-02,104.15,105.95,102.95,105.55,11365600,104.479
2016-06-03,106,107,105.55,106.45,6334400,105.37
2016-06-06,106.5,106.8,104.4,105.3,6217300,104.231
2016-06-07,105.65,106.7,105.3,106.2,5123000,105.122
2016-06-08,106.05,106.5,104.8,105.75,5291000,104.677
2016-06-09,105.95,107.85,105,107.1,5621600,106.013
2016-06-10,107.6,108.2,104.65,105.25,9437300,104.182
2016-06-13,104.25,105.7,103.7,105.25,6817200,104.182
2016-06-14,105.1,105.8,104.45,105,4445500,103.934
2016-06-15,105,105.4,102.2,103,12879600,101.955
2016-06-16,103,103.05,97.9,99.4,17627000,98.391
2016-06-17,100.25,100.5,97.35,98.75,16794400,97.748
2016-06-20,98,100.4,97.5,99.7,13167500,98.688
2016-06-21,100.05,102.55,99.85,102.3,15447200,101.262
2016-06-22,102.5,102.5,99.55,99.9,7816700,98.886
2016-06-23,99.9,100,98.65,99.2,7523900,98.193
2016-06-24,96,96.9,91.15,96.25,15373000,95.273
2016-06-27,96,98.1,95.9,97.35,7465600,96.362
2016-06-28,98.55,99.3,98.1,98.95,8731700,97.946
2016-06-29,99.6,100.35,98.6,99,8080500,97.995
2016-06-30,99.55,100,98.1,98.35,9506500,97.352
2016-07-01,99.1,100.7,98.8,99.4,14891600,98.391
2016-07-04,100.45,100.45,97.5,97.8,12267200,96.807
2016-07-05,96,96,92,92.3,23064400,91.363
2016-07-06,92.3,92.3,92.3,92.3,0,91.363
2016-07-07,92,93.9,89.55,93.05,35587300,92.106
2016-07-08,93.8,94.3,92.2,93.8,12695300,92.848
2016-07-11,95,95.2,92.5,93.35,17792000,92.403
2016-07-12,94.3,94.7,93.25,93.6,11819300,92.65
2016-07-13,93.05,93.45,90.6,90.95,17827000,90.95
2016-07-14,91.5,92.3,91.1,91.5,9651100,91.5
2016-07-15,91.9,92.45,91.05,91.7,7126700,91.7
2016-07-18,92.4,93.85,92,93,10438700,93
2016-07-19,93.75,94.3,92.7,93.45,7367000,93.45
2016-07-20,93.85,93.9,92.9,93.45,8335600,93.45
2016-07-21,93.5,97.4,92.3,96.85,45285000,96.85
2016-07-22,98.25,98.7,96.4,96.7,26362700,96.7
2016-07-25,97,97.2,95.2,96.15,11184700,96.15
2016-07-26,96.45,96.5,94.15,94.4,14230600,94.4
2016-07-27,94.8,95.65,94,94.7,7546600,94.7
2016-07-28,95.2,95.3,93.8,94.1,11497900,94.1
2016-07-29,94.3,96.2,93.5,95.25,12674000,95.25
2016-08-01,96.35,97.1,91.25,91.6,28961900,91.6
2016-08-02,90.9,90.9,87.15,88.15,23336700,88.15
2016-08-03,88.1,88.25,85.2,85.5,16672000,85.5
2016-08-04,87,87.25,85.25,86.3,13054400,86.3
2016-08-05,87,88.4,86.4,88.1,13153500,88.1
2016-08-08,88.55,89.9,88.2,89.15,11348400,89.15
2016-08-09,89.5,89.85,88.25,89.5,9598700,89.5
2016-08-10,89.95,90.9,87.55,87.95,10045800,87.95
2016-08-11,87.55,87.7,85.55,87.2,9501700,87.2
2016-08-12,87.7,88.1,86.3,86.65,13471000,86.65
2016-08-15,86.65,86.65,86.65,86.65,0,86.65
2016-08-16,86.9,87.25,86,86.65,8295800,86.65
2016-08-17,86.35,87.45,86.25,86.7,6643900,86.7
2016-08-18,86.85,88.55,86.8,87.55,9673000,87.55
2016-08-19,87.85,88.05,86.65,87,7638500,87
2016-08-22,87.45,87.45,86.3,87.1,6721300,87.1
2016-08-23,87.2,88,86.6,87.85,5890900,87.85
2016-08-24,87.85,88.95,87.75,88.55,5912700,88.55
2016-08-25,89,89.4,85.85,86.55,11285900,86.55
2016-08-26,87.05,88,86.85,87.7,5311300,87.7
2016-08-29,87.8,89.25,86.9,87.9,10297500,87.9
2016-08-30,87.9,88.95,87.8,88.4,5669900,88.4
2016-08-31,88.5,89.3,86.95,87.55,12220800,87.55
2016-09-01,87.7,87.85,83.5,83.8,16498600,83.8
2016-09-02,83.6,83.7,82.25,83,10857600,83
2016-09-05,83,83,83,83,0,83
2016-09-06,83.3,85.95,83.2,85.75,9327200,85.75
2016-09-07,86,88.75,85.55,88.5,11230900,88.5
2016-09-08,88.65,88.65,87.4,87.75,6858000,87.75
2016-09-09,87.9,88.75,86.15,87.25,8730600,87.25
2016-09-12,85.25,85.4,83.25,83.45,10102300,83.45
2016-09-13,83.45,83.45,83.45,83.45,0,83.45
