"Date","WOCKPHARMA.NS.Open","WOCKPHARMA.NS.High","WOCKPHARMA.NS.Low","WOCKPHARMA.NS.Close","WOCKPHARMA.NS.Volume","WOCKPHARMA.NS.Adjusted"
2015-03-24,1859,1884.9,1840,1875.05,1171800,1849.75
2015-03-25,1886,1925,1881.65,1915.15,1378900,1889.31
2015-03-26,1919.5,1932.7,1856.85,1867.6,1549900,1842.4
2015-03-27,1884.4,1898,1796,1835.05,1357100,1810.29
2015-03-30,1849,1869.45,1832,1862.35,879200,1837.22
2015-03-31,1870,1899,1858.1,1866.8,1081900,1841.61
2015-04-01,1856.65,1878.75,1840.9,1871.5,847900,1846.25
2015-04-02,1871.5,1871.5,1871.5,1871.5,0,1846.25
2015-04-03,1871.5,1871.5,1871.5,1871.5,0,1846.25
2015-04-06,1885,1914.9,1877,1911.65,1056800,1885.86
2015-04-07,1928,1995,1915,1976,1454300,1949.34
2015-04-08,1995.8,2000,1942.8,1961.2,1176300,1934.74
2015-04-09,1962,1967.7,1860.3,1890.1,1403500,1864.6
2015-04-10,1879,1928,1851.25,1894.25,1437100,1868.69
2015-04-13,1877,1889.9,1850,1862.9,810400,1837.76
2015-04-14,1862.9,1862.9,1862.9,1862.9,0,1837.76
2015-04-15,1856,1869.9,1691,1739.65,1452200,1716.18
2015-04-16,1725.25,1760,1650.1,1739.2,2863200,1715.73
2015-04-17,1746,1786.4,1676.45,1700.55,1809800,1677.61
2015-04-20,1710,1727.8,1660.05,1684.1,1397500,1661.38
2015-04-21,1688,1730,1675.1,1704.55,1088100,1681.55
2015-04-22,1721,1750.5,1700.4,1741.7,986200,1718.2
2015-04-23,1754,1761.8,1688.6,1702.1,859900,1679.13
2015-04-24,1729,1733.9,1602,1625.3,995100,1603.37
2015-04-27,1632.3,1652.5,1243,1328,4065300,1310.08
2015-04-28,1255,1332,1177.05,1243.55,8283300,1226.77
2015-04-29,1254.7,1308.8,1250.1,1288.4,2575700,1271.02
2015-04-30,1289.3,1324.15,1232.05,1287.9,2932100,1270.52
2015-05-01,1287.9,1287.9,1287.9,1287.9,0,1270.52
2015-05-04,1300.1,1461,1288.85,1433.05,4125500,1413.71
2015-05-05,1424,1468,1406.3,1451.05,2429200,1431.47
2015-05-06,1436.9,1450.95,1286.6,1320.6,2811000,1302.78
2015-05-07,1300,1309,1194.4,1231.15,2973100,1214.54
2015-05-08,1275,1322.9,1271.2,1287.5,1994400,1270.13
2015-05-11,1300,1344.7,1271.85,1294.95,1733000,1277.48
