"Date","CEATLTD.NS.Open","CEATLTD.NS.High","CEATLTD.NS.Low","CEATLTD.NS.Close","CEATLTD.NS.Volume","CEATLTD.NS.Adjusted"
2015-09-02,1096.7,1143.7,1077.15,1133.3,1047200,1121.76
2015-09-03,1139.9,1160.9,1111,1117.65,859300,1106.27
2015-09-04,1108.95,1114.8,1065.5,1093.6,706900,1082.47
2015-09-07,1090.55,1103.4,1066,1071.9,630400,1060.99
2015-09-08,1088.7,1118,1034,1111.25,1146800,1099.94
2015-09-09,1121,1150,1115,1140.25,835200,1128.64
2015-09-10,1120,1254,1106,1220.25,2985100,1207.83
2015-09-11,1207.6,1262.8,1198,1216.1,1890100,1203.72
2015-09-14,1219,1236.5,1193.5,1206.85,914000,1194.56
2015-09-15,1209.7,1231.8,1196.55,1210,610000,1197.68
2015-09-16,1222,1227,1183.05,1191.55,657300,1179.42
2015-09-17,1191.55,1191.55,1191.55,1191.55,0,1179.42
2015-09-18,1202.7,1220,1190,1199.35,527000,1187.14
2015-09-21,1196.9,1269,1185,1260.15,1636800,1247.32
2015-09-22,1270,1288.6,1235.45,1245.65,1010000,1232.97
2015-09-23,1220,1259,1215,1249.45,703800,1236.73
2015-09-24,1254.95,1296,1251.45,1273.55,1259000,1260.58
2015-09-25,1273.55,1273.55,1273.55,1273.55,0,1260.58
2015-09-28,1280,1284.8,1255,1258.45,335100,1245.64
2015-09-29,1240,1274.35,1238,1260.95,490900,1248.11
2015-09-30,1270.3,1299,1268,1281.95,701500,1268.9
2015-10-01,1290,1294,1250.95,1258.8,572800,1245.98
2015-10-02,1258.8,1258.8,1258.8,1258.8,0,1245.98
2015-10-05,1266.3,1284.9,1251,1271.45,532100,1258.51
2015-10-06,1278,1309.5,1270,1299.55,901000,1286.32
2015-10-07,1306.3,1319.9,1281.35,1288.55,632400,1275.43
2015-10-08,1289,1290,1254.2,1265.7,525900,1252.81
2015-10-09,1270,1279.8,1208.4,1216.35,875500,1203.97
2015-10-12,1217,1239.6,1191,1213,804400,1200.65
2015-10-13,1215,1234.45,1208.65,1219.35,566500,1206.94
2015-10-14,1220,1229.25,1212.5,1217.55,310700,1205.15
2015-10-15,1225,1246,1221.1,1237.65,484100,1225.05
2015-10-16,1246.2,1267.45,1246.2,1262.25,629800,1249.4
2015-10-19,1258.5,1262,1240,1248.9,312300,1236.18
2015-10-20,1254,1276.4,1251,1265.05,520600,1252.17
2015-10-21,1265.1,1273.4,1236.05,1240.2,425600,1227.57
