"Date","JSWENERGY.NS.Open","JSWENERGY.NS.High","JSWENERGY.NS.Low","JSWENERGY.NS.Close","JSWENERGY.NS.Volume","JSWENERGY.NS.Adjusted"
2015-08-04,82.2,83.8,79.65,80.1,2645100,78.18
2015-08-05,81,82.4,78.75,79.35,2012800,77.45
2015-08-06,79.65,80.4,77.65,78.7,2500400,76.82
2015-08-07,77.05,79.2,76.85,77.15,1610600,75.31
2015-08-10,77.05,78.9,76,76.65,1584000,74.82
2015-08-11,77,77.4,75.9,76.35,1067800,74.52
2015-08-12,76.15,77.9,72.4,72.9,1520600,71.16
2015-08-13,73.5,74.4,68.85,69.5,2566700,67.84
2015-08-14,69.05,74.7,69.05,74.25,2183200,72.47
2015-08-17,74.8,79,72.95,77.35,2049300,75.5
2015-08-18,78,78.5,74.4,75.8,1595600,73.99
2015-08-19,75.3,77,74.15,75.2,1343500,73.4
2015-08-20,75,75.8,73.2,73.6,1691300,71.84
2015-08-21,72.15,74.9,71.3,73.8,1124600,72.04
2015-08-24,70.9,71.6,59.4,61.75,2617000,60.27
2015-08-25,61.95,70.9,60.15,65.75,3196600,64.18
2015-08-26,64.55,72.7,63.5,68.8,3976500,67.16
2015-08-27,70.4,75.1,70.4,73.8,3197800,72.04
2015-08-28,75.5,76.8,72.9,74.6,2071100,72.82
2015-08-31,74.05,78.75,72.8,76.05,4319000,74.23
2015-09-01,75.5,75.5,68.6,70.4,4124900,68.72
2015-09-02,71.9,72.3,68.05,69.1,2256700,67.45
2015-09-03,69.9,74.8,69.6,73.9,2728300,72.13
2015-09-04,72.55,74,69.85,71.1,2446700,69.4
2015-09-07,72.5,73.7,66.2,67.7,2406300,66.08
2015-09-08,69,75.8,68.2,74.15,6754600,72.38
2015-09-09,77.7,78.9,75.55,78,3851900,76.14
2015-09-10,75,82.8,74.25,81.95,4893600,79.99
2015-09-11,83,83.95,80.95,81.8,3257600,79.84
2015-09-14,82.5,85.35,75.3,83.85,2922200,81.85
2015-09-15,84.45,84.6,81.25,82.2,2661900,80.23
2015-09-16,83,85.2,81.7,84.05,3005200,82.04
2015-09-17,84.05,84.05,84.05,84.05,0,82.04
2015-09-18,83.7,86,82.2,82.85,3502300,80.87
2015-09-21,82,87.95,81.95,86.3,2202300,84.24
2015-09-22,89.05,89.3,83.8,84.4,3008600,82.38
2015-09-23,82,87.8,80.85,86.75,1889100,84.68
2015-09-24,86.5,88.65,84.3,87.35,2288300,85.26
2015-09-25,87.35,87.35,87.35,87.35,0,85.26
2015-09-28,87.35,89.2,85.9,86.7,2170700,84.63
2015-09-29,84.8,89.25,83.65,87.95,2526100,85.85
2015-09-30,89,94.6,88.7,94.2,4488100,91.95
2015-10-01,95,100,87.6,89.35,5649500,87.21
2015-10-02,89.35,89.35,89.35,89.35,0,87.21
2015-10-05,90.5,94,89.4,93.45,3592700,91.22
2015-10-06,94,94.25,91.65,92.5,1961000,90.29
2015-10-07,92.5,92.85,89.8,91.2,2239400,89.02
2015-10-08,91.5,92.05,88.3,89.05,3397200,86.92
2015-10-09,89.5,90.4,85,86.1,3225900,84.04
2015-10-12,86.75,90,84.2,87.55,3083800,85.46
2015-10-13,88.4,91.4,85.5,90.75,3317800,88.58
2015-10-14,89.4,90.45,86.9,87.35,2496500,85.26
2015-10-15,87.85,89,86.3,87.95,2335200,85.85
2015-10-16,88.7,89.55,86.2,87.15,2565500,85.07
2015-10-19,87.75,91.05,86.3,89.05,2510300,86.92
2015-10-20,89.7,94.5,88.6,92.55,4360200,90.34
2015-10-21,92.9,93.1,90.5,91.75,2158900,89.56
2015-10-22,91.75,91.75,91.75,91.75,0,89.56
2015-10-23,92.3,94.6,92.05,93.15,2109700,90.92
2015-10-26,93.9,93.9,87.6,88.05,2900600,85.94
2015-10-27,87.85,91.7,87.5,91.2,2978700,89.02
2015-10-28,92.1,93.85,86.5,87.85,6680600,85.75
2015-10-29,88.75,91.05,88.2,90.1,3187200,87.95
2015-10-30,90.25,93.8,90.25,93.3,2990200,91.07
2015-11-02,94.1,96.1,91.75,93.75,2486700,91.51
2015-11-03,94.1,95.9,92.7,93.6,2009000,91.36
2015-11-04,94.9,94.9,93,93.75,903000,91.51
2015-11-05,94.35,95.1,89,89.75,1481200,87.6
2015-11-06,90.8,92.5,84.6,85.8,2035400,83.75
2015-11-09,82.4,87.6,81.1,87,2286800,84.92
2015-11-10,87.95,88.15,84.1,84.55,1369400,82.53
2015-11-11,84.55,84.55,84.55,84.55,0,82.53
2015-11-12,84.55,84.55,84.55,84.55,0,82.53
2015-11-13,85,85.75,82,82.75,2087400,80.77
2015-11-16,82.55,84.7,81.4,83.3,1378400,81.31
2015-11-17,83.7,85.4,82.65,84.2,1714600,82.19
2015-11-18,84,86.5,83.75,84.7,2363900,82.67
2015-11-19,85.05,86.4,84.35,85.75,751500,83.7
2015-11-20,86.2,88.8,85.1,87.3,1627500,85.21
2015-11-23,87.3,89.5,87,87.65,1464400,85.55
2015-11-24,87.4,87.8,84.35,85.45,1766900,83.41
2015-11-25,85.45,85.45,85.45,85.45,0,83.41
2015-11-26,85,87.75,84.2,86.95,1596600,84.87
2015-11-27,87.05,88.5,86,87.3,1709600,85.21
2015-11-30,87.3,88.15,85.4,85.65,1518200,83.6
2015-12-01,86.1,87.4,85.6,86.35,851000,84.29
2015-12-02,86.7,87.45,84.8,86.4,1286400,84.33
2015-12-03,86.4,87.2,84.8,85.25,1239700,83.21
2015-12-04,84.95,85.8,83.9,85.05,1439300,83.02
2015-12-07,85.8,85.85,83.6,83.8,684100,81.8
2015-12-08,83.45,83.95,78.15,78.95,1853400,77.06
2015-12-09,77.5,79.2,76.85,78.5,2169100,76.62
2015-12-10,78.9,80.5,78.15,79.4,2796700,77.5
2015-12-11,79.6,79.8,74.1,74.85,4483400,73.06
2015-12-14,73.55,77.6,73.4,77.2,2790200,75.35
2015-12-15,77,77.4,74.6,76.15,2011700,74.33
2015-12-16,76.7,80.75,76.3,78.7,2919300,76.82
2015-12-17,79,81.35,78.45,81,2275200,79.06
2015-12-18,81.4,83.45,79.9,81.95,1952400,79.99
2015-12-21,82.85,84.35,81.6,83.25,1380500,81.26
2015-12-22,83.35,85,81.55,82.2,1332300,80.23
2015-12-23,83.6,84.4,82.25,83.4,1036900,81.41
2015-12-24,82.9,85.3,82.9,83.65,1798700,81.65
2015-12-25,83.65,83.65,83.65,83.65,0,81.65
2015-12-28,83.8,84.4,82.5,83.05,1086600,81.06
2015-12-29,82.8,84.3,82.8,83.45,959800,81.45
2015-12-30,83.7,85.8,83.5,84.8,1507800,82.77
2015-12-31,85.1,86.4,84.6,85.05,1239800,83.02
2016-01-01,85,87,83.8,86.65,995400,84.58
2016-01-04,86.8,88.15,84,85.1,1847600,83.07
2016-01-05,84.05,85.85,80.6,85,6809500,82.97
2016-01-06,85.7,87.1,83,84.05,2711000,82.04
2016-01-07,82.95,83,79,79.6,2436600,77.7
2016-01-08,81,83.4,80.05,82.9,1967200,80.92
2016-01-11,82.9,84.4,74.9,82.95,2521700,80.97
2016-01-12,83.55,84.5,81.5,83.7,1897800,81.7
2016-01-13,85.15,85.15,77.3,80,3519000,78.09
2016-01-14,78.2,80,77,77.9,1580600,76.04
2016-01-15,78,78.7,70.95,72.3,2001900,70.57
2016-01-18,74.65,76.7,69.6,70.25,1614300,68.57
2016-01-19,70.9,74.9,66.4,74.5,2402000,72.72
2016-01-20,73.1,73.15,66.65,69.6,4700300,67.94
2016-01-21,71.45,73.9,70,73.45,3775800,71.69
2016-01-22,74.45,75.6,73.35,74.3,1647500,72.52
2016-01-25,75,77.2,72.7,73.65,3869800,71.89
2016-01-26,73.65,73.65,73.65,73.65,0,71.89
2016-01-27,74.05,74.8,72.2,73.95,1450900,72.18
2016-01-28,74.4,76.55,73.3,74.5,2004300,72.72
2016-01-29,75,77.3,73.9,76.65,1621400,74.82
2016-02-01,72.9,77.7,72.9,75.15,976000,73.35
2016-02-02,75,76.7,74,74.4,1138000,72.62
2016-02-03,72.5,73.4,68.6,69.15,3492000,67.5
2016-02-04,71,72.05,68.5,70,1858600,68.33
2016-02-05,71.2,71.35,68.7,70.75,1394300,69.06
2016-02-08,70.8,72.8,69.8,70.25,1611300,68.57
2016-02-09,69.65,70.5,68.25,69.35,1123000,67.69
2016-02-10,69.9,69.9,67.6,68.15,1226600,66.52
2016-02-11,67.8,68.1,62.05,62.6,2512200,61.1
2016-02-12,63.05,64.8,59,62.75,2638300,61.25
2016-02-15,64.4,67.35,63.95,65.8,1645800,64.23
2016-02-16,66.7,67.95,63.3,63.6,1543500,62.08
2016-02-17,64.15,65.95,63,64.8,3667200,63.25
2016-02-18,65.7,69,65.7,67.85,2708000,66.23
2016-02-19,67.05,67.8,65.75,66.05,869100,64.47
2016-02-22,66,66.6,64.7,65.85,1202600,64.28
2016-02-23,65.75,65.9,63.9,64.3,762700,62.76
2016-02-24,63.1,65.95,61.95,65.2,1339400,63.64
2016-02-25,65.55,65.85,62.25,62.8,1777800,61.3
2016-02-26,63.7,63.7,61,62.25,1588600,60.76
2016-02-29,62.3,63.25,61,61.75,1571500,60.27
2016-03-01,62.25,63.7,61.65,63.15,1492600,61.64
2016-03-02,64,65.3,62.8,63.1,3098000,61.59
2016-03-03,63.7,66.3,63.25,66.05,3419000,64.47
2016-03-04,66.8,71.05,66.45,69.4,3342200,67.74
2016-03-07,69.4,69.4,69.4,69.4,0,67.74
2016-03-08,68.7,70.85,68.55,69.6,5230500,67.94
2016-03-09,68.6,69.6,66.2,69.1,1516400,67.45
2016-03-10,69.9,71,69.1,69.95,3096500,68.28
2016-03-11,70,70.3,68.6,69.1,1159100,67.45
2016-03-14,69.4,70.05,68,68.45,1402600,66.81
2016-03-15,68,68.2,66.1,66.5,1707500,64.91
2016-03-16,67.55,69,66.1,68.2,3578700,66.57
2016-03-17,68.6,69.65,68.1,68.35,1277000,66.72
2016-03-18,69.6,71.4,69.4,70.55,3939100,68.86
2016-03-21,72.2,72.4,71.1,71.65,1294000,69.94
2016-03-22,72.8,73.6,71.8,72.3,1394600,70.57
2016-03-23,72.95,72.95,69.6,70.25,1330700,68.57
2016-03-24,70.25,70.25,70.25,70.25,0,68.57
2016-03-25,70.25,70.25,70.25,70.25,0,68.57
2016-03-28,70.35,70.45,65.55,65.9,1735500,64.32
2016-03-29,65.55,67.5,65.05,66.7,1864200,65.11
2016-03-30,67,69.4,67,68.95,1193700,67.3
2016-03-31,68.75,69.9,67.95,69.55,3920000,67.89
2016-04-01,69.9,69.9,67.25,67.95,2006600,66.33
2016-04-04,68.65,68.9,67.35,67.95,2329900,66.33
2016-04-05,67.15,67.7,65.7,66,1601700,64.42
2016-04-06,66,67,63.5,66.3,3428600,64.71
2016-04-07,66.65,68.05,65,65.95,2756800,64.37
2016-04-08,65.5,66.5,64.85,65.2,1676600,63.64
2016-04-11,65.65,67.3,65.5,67,1675600,65.4
2016-04-12,67.2,68.7,66.35,68.35,2220300,66.72
2016-04-13,69.85,70.65,68.55,69.75,2454600,68.08
2016-04-14,69.75,69.75,69.75,69.75,0,68.08
2016-04-15,69.75,69.75,69.75,69.75,0,68.08
2016-04-18,70,72,69.5,71.6,2578100,69.89
2016-04-19,71.6,71.6,71.6,71.6,0,69.89
2016-04-20,71.2,73.35,71,72.1,2437500,70.38
2016-04-21,73,73.6,69.85,70.7,2756300,69.01
2016-04-22,70.5,70.9,69.4,69.65,2445000,67.98
2016-04-25,69.55,69.85,67.2,68.05,3228900,66.42
2016-04-26,67.9,69.75,67.5,68.15,5665500,66.52
2016-04-27,68.8,69.5,67.1,67.85,4210900,66.23
2016-04-28,68.25,68.6,67.1,67.3,5568000,65.69
2016-04-29,67.35,68.15,66.25,67.7,2480100,66.08
2016-05-02,67.5,68,66.6,67.1,2117300,65.5
2016-05-03,67.25,68.6,66.15,66.6,2026300,65.01
2016-05-04,67.35,68,66,66.65,2902600,65.06
2016-05-05,67,67.45,66.1,66.7,1912300,65.11
2016-05-06,66.4,68,65.75,67.75,1630400,66.13
2016-05-09,67.45,69.3,67.45,68.55,1480600,66.91
2016-05-10,68.6,69.25,68.1,68.55,952400,66.91
2016-05-11,67.55,69.45,67.25,68,1386000,66.37
2016-05-12,68,68.7,66.7,67.8,1553600,66.18
2016-05-13,67.7,68.6,67.5,67.65,1035600,66.03
2016-05-16,68.15,70.6,68.1,70.2,2869500,68.52
2016-05-17,70.9,71.7,69.9,71,2512100,69.3
2016-05-18,70.1,71.5,70.1,70.8,1671800,69.11
2016-05-19,70.7,71,68.75,69.4,2133500,67.74
2016-05-20,69,69.35,67.6,68,855100,66.37
2016-05-23,68,68.5,66.9,67.2,1535400,65.59
2016-05-24,67,68.1,66.5,67,1559800,65.4
2016-05-25,67.15,68.5,67.05,67.9,1959200,66.28
2016-05-26,67.95,68.9,67.85,68.5,1889500,66.86
2016-05-27,68.9,72,68.6,71.7,2521800,69.99
2016-05-30,72.5,74.4,70.65,71.8,2043700,70.08
2016-05-31,71.75,72.4,70.4,71.15,1040600,69.45
2016-06-01,70.5,72.5,69.8,70.3,1068400,68.62
2016-06-02,70,70.4,68.75,70.1,801300,68.42
2016-06-03,70.2,70.8,69,69.1,767800,67.45
2016-06-06,69.25,69.85,68.15,69.55,747800,67.89
2016-06-07,70,71.35,69.55,70.75,1117900,69.06
2016-06-08,72,81.15,72,80.45,25855500,78.53
2016-06-09,79.95,81.3,77.75,78.3,7084300,76.43
2016-06-10,78.5,83.9,78.25,80,13389800,78.09
2016-06-13,78.65,80,77,78.8,3346100,76.92
2016-06-14,79,80.25,78.75,79.15,1937000,77.26
2016-06-15,80.2,83.3,79.35,81.95,7173600,79.99
2016-06-16,82.15,84.95,81.1,84.3,6948900,82.28
2016-06-17,84.9,85.95,83.65,84.1,3807600,82.09
2016-06-20,83.5,85.8,82.6,83.65,2667800,81.65
2016-06-21,83.95,84.6,82.85,83.3,1656300,81.31
2016-06-22,83.6,83.6,79.05,79.35,3690900,77.45
2016-06-23,79,81.4,77.15,80.7,4828400,78.77
2016-06-24,77.35,80.35,72.8,79.9,4894700,77.99
2016-06-27,79.95,81.6,76.15,80.05,3324800,78.14
2016-06-28,79.7,80.9,79.65,79.9,2063000,77.99
2016-06-29,80.8,84.9,79.95,84.55,7658400,82.53
2016-06-30,85.75,86.5,83.5,83.9,6000700,81.89
2016-07-01,84.65,85.2,82.85,83.2,2349700,81.21
2016-07-04,83.9,85.15,83.3,84.5,2671500,82.48
2016-07-05,84.9,85.8,83.8,85.05,2725400,83.02
2016-07-06,85.05,85.05,85.05,85.05,0,83.02
2016-07-07,85.45,85.8,83.85,84.3,2604200,82.28
2016-07-08,84.3,85,83.1,83.65,1900600,81.65
2016-07-11,84.05,85,81.15,82.05,3448000,82.05
2016-07-12,82.8,83.8,82.35,83.1,1858500,83.1
2016-07-13,83.6,83.8,80.4,80.95,2011500,80.95
2016-07-14,80.9,81.5,80,80.2,3096100,80.2
2016-07-15,80.1,81.15,79.8,80.05,2082400,80.05
2016-07-18,80.5,81.4,80,80.05,1360800,80.05
2016-07-19,81.55,82.3,80.55,81.3,4577200,81.3
2016-07-20,80.75,84,80,83.55,3047400,83.55
2016-07-21,84.9,84.9,79.1,79.85,9442300,79.85
2016-07-22,79.55,80.15,78.7,79.45,2881100,79.45
2016-07-25,79.85,80.75,79.3,80.2,1341000,80.2
2016-07-26,80.2,81.4,78.75,79.45,1619000,79.45
2016-07-27,79.35,80.2,77.3,78.5,1349600,78.5
2016-07-28,78.7,81.8,78.6,81.05,3833600,81.05
2016-07-29,81.1,83.4,81.1,82.55,3177400,82.55
2016-08-01,83,83.75,80.2,82.5,2054700,82.5
2016-08-02,82.55,83.85,81.05,81.7,2109700,81.7
2016-08-03,81.6,81.9,78.65,79.5,1437800,79.5
2016-08-04,80.05,80.5,78.85,79.75,1031000,79.75
2016-08-05,80.5,82.2,79.4,81.5,2586900,81.5
2016-08-08,81.7,83,80.95,82.15,1621900,82.15
2016-08-09,82.25,85.85,81.6,82.95,6828300,82.95
2016-08-10,83.65,85,80.9,81.5,3588300,81.5
2016-08-11,81.6,81.75,75.55,77.9,4411000,77.9
2016-08-12,78.3,81.45,78.05,80,3384000,80
2016-08-15,80,80,80,80,0,80
2016-08-16,79.5,80.9,77.75,78.15,2932600,78.15
2016-08-17,78.5,79.7,78.1,78.95,1940300,78.95
2016-08-18,79.65,80.6,78.65,79.5,2119300,79.5
2016-08-19,80.05,80.3,79.15,79.5,1661400,79.5
2016-08-22,79.95,80,77.35,78.6,2713200,78.6
2016-08-23,78.3,79.4,78.1,78.55,1385100,78.55
2016-08-24,78.65,79.25,78.3,79,1361800,79
2016-08-25,79.25,81.8,77.5,80.05,19804400,80.05
2016-08-26,80.25,80.4,77.8,78,3377800,78
2016-08-29,78,78.35,77,77.8,1481000,77.8
2016-08-30,77.4,78.4,77.35,77.95,2545100,77.95
2016-08-31,77.5,78.5,76.2,77.7,8591600,77.7
2016-09-01,77.85,78.2,76,76.2,2517600,76.2
2016-09-02,76.1,76.9,75.55,76.5,1201800,76.5
2016-09-05,76.5,76.5,76.5,76.5,0,76.5
2016-09-06,77.3,77.85,76.8,77.5,1055600,77.5
2016-09-07,77.25,78.4,77.1,77.85,1838800,77.85
2016-09-08,78,80.1,77.25,79.6,2758300,79.6
2016-09-09,79.75,82.45,79.15,81.85,6683300,81.85
2016-09-12,81,82,78.75,79.1,4567100,79.1
2016-09-13,79.1,79.1,79.1,79.1,0,79.1
2016-09-14,79.1,82,79.1,81.3,3760700,81.3
2016-09-15,81.6,81.7,79.6,80.7,1836100,80.7
2016-09-16,81.35,83.45,78.9,79.65,6438500,79.65
2016-09-19,79.7,80.9,79.65,80.45,1212400,80.45
2016-09-20,81,81.8,78.5,79.4,2266100,79.4
2016-09-21,79.6,80.4,79,79.2,1173700,79.2
2016-09-22,80,80.7,78.3,78.75,5594400,78.75
2016-09-23,79.2,80.15,78.7,79.05,1584700,79.05
2016-09-26,78.9,79.35,77.35,77.55,1797100,77.55
2016-09-27,78.2,78.45,77.3,77.6,1406000,77.6
2016-09-28,77.65,78.8,77.1,77.6,1625900,77.6
2016-09-29,77.7,78.45,72.2,72.9,4621400,72.9
2016-09-30,73.2,73.9,71.4,73.05,2107400,73.05
2016-10-03,73.5,75.75,73.35,74.35,2073300,74.35
2016-10-04,74.5,75.7,74.1,75.2,2250400,75.2
2016-10-05,75.3,75.7,74.55,74.7,914700,74.7
