"Date","ASIANPAINT.NS.Open","ASIANPAINT.NS.High","ASIANPAINT.NS.Low","ASIANPAINT.NS.Close","ASIANPAINT.NS.Volume","ASIANPAINT.NS.Adjusted"
2016-03-08,867.9,881.8,858.05,875.7,1174000,868.8939
2016-03-09,876,888.8,869.85,876.2,1401900,869.39
2016-03-10,870,896,870,894.75,810900,887.7958
2016-03-11,900,903.7,891.55,898.35,1043600,891.3678
2016-03-14,898,903.2,888.6,899.35,788200,892.36
2016-03-15,903,906.5,876.15,884.6,954000,877.7247
2016-03-16,880.3,882,862.1,864.9,1456200,858.1778
2016-03-17,870,876,865.1,872.55,965200,865.7683
2016-03-18,871,877.9,859.95,875.35,1072400,868.5466
2016-03-21,873.25,875,852.4,859.65,1484100,852.9686
2016-03-22,860,860,846.05,853.35,1746500,846.7176
2016-03-23,853.35,856.9,846.25,850,917000,843.3936
2016-03-24,850,850,850,850,0,843.3936
2016-03-25,850,850,850,850,0,843.3936
2016-03-28,850,857.45,842.7,845.4,1722000,838.8294
2016-03-29,847.4,860,845,856.1,1101000,849.4462
2016-03-30,864,885,861.85,881.85,1470700,874.9961
2016-03-31,880.5,884.25,865.1,868.4,1682200,861.6506
2016-04-01,871,883.95,865,870,853300,863.2382
2016-04-04,874,888.5,865.25,886.15,662700,879.2627
2016-04-05,885.4,885.4,862,869.85,762400,863.0893
2016-04-06,869.7,875,860.65,863.3,451300,856.5902
2016-04-07,864,869,855.05,858.25,449700,851.5795
2016-04-08,860,861.45,849.6,851.55,448000,844.9316
2016-04-11,850,861.9,842.75,860,651300,853.3159
2016-04-12,861.8,870,859.5,866.9,433400,860.1623
2016-04-13,870.5,876,866,874.35,692400,867.5543
2016-04-14,874.35,874.35,874.35,874.35,0,867.5543
2016-04-15,874.35,874.35,874.35,874.35,0,867.5543
2016-04-18,884.25,886.55,875,885.2,685700,878.3201
2016-04-19,885.2,885.2,885.2,885.2,0,878.3201
2016-04-20,885,887.75,875.25,885.8,778200,878.9154
2016-04-21,890,895,885.1,889.15,702200,882.2394
2016-04-22,885.7,893.7,869.4,871.55,692400,864.7761
2016-04-25,870.4,870.4,856,861.75,587700,855.0523
2016-04-26,864.2,880,859.05,876.9,694700,870.0846
2016-04-27,875.7,891,871,889.85,553100,882.9339
2016-04-28,889.85,894.5,870,873.1,1013100,866.3141
2016-04-29,873,876,861.65,866.25,955900,859.5173
2016-05-02,864,867.5,860.65,864.8,199700,858.0786
2016-05-03,869.5,886.9,865.4,872,1073100,865.2226
2016-05-04,872,879,864,873.6,469900,866.8102
2016-05-05,874.1,875.45,862.45,867.05,402500,860.3111
2016-05-06,863.95,890,861.5,889.05,1249000,882.1401
2016-05-09,894.95,913.9,893.65,906.6,1355400,899.5537
2016-05-10,904.95,908.25,893.45,898.35,1034200,891.3678
2016-05-11,892,919,887.5,907.85,2228400,900.794
2016-05-12,920,933.9,917.2,928.8,2382700,921.5812
2016-05-13,928.75,948,927.6,943.65,2285300,936.3158
2016-05-16,948.95,957.8,945,952.65,1913300,945.2458
2016-05-17,953.5,972,947.75,969.65,1770400,962.1137
2016-05-18,969,971,952.45,963.25,1273800,955.7634
2016-05-19,968.85,968.85,952.05,956.8,1251700,949.3635
2016-05-20,956,963,950.75,956,972800,948.5698
2016-05-23,959.9,960,943.65,946.6,726000,939.2428
2016-05-24,952.4,962.4,941.7,956.25,490300,948.8178
2016-05-25,963.15,985,962.8,982.25,815300,974.6157
2016-05-26,988.55,999.5,973.45,991.85,1410900,984.1411
2016-05-27,991.9,1001.8,986.45,998.25,1105500,990.4914
2016-05-30,994,1004.25,978.45,984.9,1487100,977.2452
2016-05-31,988,995.5,980.7,984.85,1151300,977.1955
2016-06-01,989.05,1025,989.05,1021.7,2068700,1013.7591
2016-06-02,1007,1029,996.55,1024.05,2420300,1016.0909
2016-06-03,1023.5,1032.1,1013.5,1025.3,2045700,1017.3312
2016-06-06,1017.1,1032.35,1016.6,1026.3,1574200,1018.3234
2016-06-07,1025.35,1037.45,1024.6,1032.75,755900,1024.7233
2016-06-08,1029,1029,1011.25,1018.05,933500,1010.1375
2016-06-09,1018,1019,995.7,998.8,1024200,991.0371
2016-06-10,994.95,999,989.6,992.05,1313900,984.3396
2016-06-13,987,996.5,985.1,994.9,808500,987.1675
2016-06-14,995,999,978.6,986.5,699200,978.8327
2016-06-15,986,1002,986,998.4,731000,990.6403
2016-06-16,993.75,1009,986.2,1006.55,740800,1004.0569
2016-06-17,1010,1014.85,994,999.6,365400,997.1241
2016-06-20,994.95,997,986.25,991.5,627600,989.0442
2016-06-21,990,991,977.2,982.05,712800,979.6176
2016-06-22,980,989.45,978.5,985.45,507100,983.0092
2016-06-23,986.1,990,980.3,984.1,678100,981.6625
2016-06-24,974.1,993,963.6,989.55,777600,987.099
2016-06-27,970.25,992.95,970.25,974.3,662600,971.8868
2016-06-28,981,985,975.35,980.2,822700,977.7722
2016-06-29,978.25,999.3,978.25,994.2,711400,991.7375
2016-06-30,1004.85,1009,996.05,1003.3,1039300,1000.8149
2016-07-01,1002.8,1011.1,995.45,1002.5,1314000,1000.0169
2016-07-04,1008,1017.05,998.2,1000.4,884600,997.9222
2016-07-05,1003,1004.85,983.35,985.1,523800,982.66
2016-07-06,985.1,985.1,985.1,985.1,0,982.66
2016-07-07,989.35,997,985,987.7,757000,985.2536
2016-07-08,992.9,1013.9,988.15,1010.7,1200500,1008.1966
2016-07-11,1020,1033,1017.85,1026.8,1082200,1024.2568
2016-07-12,1028.8,1037.9,1016.8,1020.45,1259700,1017.9225
2016-07-13,1029,1029,1006.45,1009.5,1319900,1006.9996
2016-07-14,1010.2,1025.5,1009,1017.6,754200,1015.0795
2016-07-15,1018.2,1031.5,1018.2,1025.9,671900,1023.359
2016-07-18,1027.1,1044.9,1025.25,1028.5,721500,1025.9525
2016-07-19,1031,1037.5,1021.2,1030.7,541300,1028.147
2016-07-20,1029.25,1036.4,1020,1028.55,529000,1026.0025
2016-07-21,1029.8,1048,1026.55,1042.7,706600,1040.1173
2016-07-22,1047.85,1054,1042.05,1047.05,502700,1044.4566
2016-07-25,1049.3,1074.4,1047.15,1070.65,734300,1067.9982
2016-07-26,1072.1,1074.95,1055,1060.75,562900,1058.1227
2016-07-27,1069.9,1073.8,1052.2,1061.8,765200,1059.1701
2016-07-28,1074,1153.8,1068,1128,5831600,1125.2061
2016-07-29,1127.5,1137.7,1102.25,1114.15,1152900,1111.3904
2016-08-01,1119.6,1134,1115.05,1120.9,864000,1118.1237
2016-08-02,1129.7,1142.5,1118.65,1123.35,832900,1120.5676
2016-08-03,1132.45,1147.15,1124.05,1143.4,1130600,1140.568
2016-08-04,1152.05,1154.6,1116.7,1127.3,1075800,1124.5079
2016-08-05,1131,1145.3,1128.75,1143.35,543000,1140.518
2016-08-08,1153,1153,1136,1148.35,407800,1145.5057
2016-08-09,1153.6,1154.95,1134,1146.5,541100,1143.6603
2016-08-10,1142.1,1148.45,1128.1,1129.95,788800,1127.1512
2016-08-11,1130,1147.5,1118.6,1145.1,651300,1142.2637
2016-08-12,1143,1161.25,1125.4,1137.5,795300,1134.6826
2016-08-15,1137.5,1137.5,1137.5,1137.5,0,1134.6826
2016-08-16,1135.5,1147.8,1126.9,1129.65,921400,1126.852
2016-08-17,1115,1127.7,1108.15,1113.55,742800,1110.7919
2016-08-18,1119.75,1119.75,1102.55,1107.35,1263800,1104.6072
2016-08-19,1101.35,1126.9,1101.35,1113.5,864900,1110.742
2016-08-22,1121,1121,1105,1113.9,827900,1111.141
2016-08-23,1112.7,1129.65,1108.15,1126.25,684400,1123.4604
2016-08-24,1130,1130.2,1115.6,1118.85,417900,1116.0787
2016-08-25,1120.1,1126.5,1102.8,1105.9,554800,1103.1609
2016-08-26,1106.25,1127.55,1091.05,1123.3,869600,1120.5178
2016-08-29,1123.3,1124.65,1104.15,1111.85,452900,1109.0961
2016-08-30,1115,1148,1110,1146.2,674800,1143.361
2016-08-31,1157,1173.9,1149,1157.9,1668400,1155.0321
2016-09-01,1159.85,1164.05,1142,1156.95,621800,1154.0843
2016-09-02,1158.95,1172,1151.3,1167.55,710100,1164.6582
2016-09-05,1167.55,1167.55,1167.55,1167.55,0,1164.6582
2016-09-06,1175,1213.9,1170.6,1204.15,1131700,1201.1675
2016-09-07,1208,1209,1170.7,1177.2,1092200,1174.2842
2016-09-08,1179,1190,1171,1182.6,888200,1179.6708
2016-09-09,1181.9,1181.9,1168,1171.75,575100,1168.8477
2016-09-12,1156.35,1163,1137,1154.6,465000,1151.7402
2016-09-13,1154.6,1154.6,1154.6,1154.6,0,1151.7402
2016-09-14,1150.1,1178.95,1150.1,1163.6,704600,1160.7179
2016-09-15,1170,1175.5,1160,1173.55,616100,1170.6433
2016-09-16,1173.6,1181.25,1152,1155.15,1136200,1152.2889
2016-09-19,1157.2,1172,1157.2,1163.6,550600,1160.7179
2016-09-20,1164,1173.7,1162.6,1165.05,966400,1162.1644
2016-09-21,1165.9,1176,1165.9,1170.6,615700,1167.7006
2016-09-22,1182.3,1197,1175,1192,913700,1189.0476
2016-09-23,1201,1203.5,1185,1191.2,668200,1188.2495
2016-09-26,1195,1195,1174.9,1183,817700,1180.0699
