"Date","SHREECEM.NS.Open","SHREECEM.NS.High","SHREECEM.NS.Low","SHREECEM.NS.Close","SHREECEM.NS.Volume","SHREECEM.NS.Adjusted"
2015-08-13,11179.7,11179.7,10863.5,10999.6,14900,10952.61
2015-08-14,11199.8,11199.8,10872,10926,3200,10879.33
2015-08-17,11072.6,11100,10601,10930.8,5400,10884.11
2015-08-18,10888.5,11144.8,10888.5,11020.4,4200,10973.32
2015-08-19,11099.8,11280,10968,11205,3100,11157.14
2015-08-20,11190.8,11400,10995,11002.3,8600,10955.3
2015-08-21,10922.7,11245,10922.7,11077.8,8100,11030.48
2015-08-24,10646.4,11087.3,10605,10807,23100,10760.84
2015-08-25,10800,11169,10410,10540.8,17100,10495.77
2015-08-26,10795,11080,10202,10339.6,23800,10295.43
2015-08-27,10341.1,10975,10341.1,10865,15300,10818.59
2015-08-28,11000,11250,10916.8,11014.5,9900,10967.45
2015-08-31,11099,11340,10601.5,10779.7,14500,10733.65
2015-09-01,10705,11151,10705,10930.7,9000,10884.01
2015-09-02,11000,11175.2,10812,10897.5,29500,10850.95
2015-09-03,11050,11050,10711,10876.8,21700,10830.34
2015-09-04,10955,10955,10605,10804.5,17400,10758.35
2015-09-07,10900,10970,10555,10648.2,7100,10602.71
2015-09-08,10700,10700,10317.3,10445.7,7900,10401.08
2015-09-09,10451,10750,10451,10618.5,16500,10573.14
2015-09-10,10618.5,11295,10475.5,11235.8,9900,11187.8
2015-09-11,11102,11621.8,11102,11484.2,6900,11435.14
2015-09-14,11580,11585,11397.5,11498.2,9400,11449.08
2015-09-15,11550,11670,11310,11310,10600,11261.69
2015-09-16,11500,11650,11365,11497.9,23300,11448.78
2015-09-17,11497.9,11497.9,11497.9,11497.9,0,11448.78
2015-09-18,11412,12500,11412,12046.5,23000,11995.04
2015-09-21,12000,12550,11925,12055.3,9300,12003.8
2015-09-22,12055.3,12180,11851.2,11938.4,6100,11887.4
2015-09-23,11949.9,11949.9,11356.5,11487.3,8900,11438.23
2015-09-24,11430,11497.2,11070,11153,7300,11105.36
2015-09-25,11153,11153,11153,11153,0,11105.36
2015-09-28,11200,11507,11200,11328.9,4400,11280.51
2015-09-29,11002,11599.9,10800,11173.8,12400,11126.07
2015-09-30,11177.6,11973,11177.6,11740,17900,11689.85
2015-10-01,11740,12140,11605.2,12017.8,8800,11966.46
2015-10-02,12017.8,12017.8,12017.8,12017.8,0,11966.46
2015-10-05,12130,13199,12050,12597.2,24500,12543.39
2015-10-06,12590,13121.5,12361.2,12566,19400,12512.32
2015-10-07,12578.8,12798.5,12358.3,12488.5,7800,12435.15
2015-10-08,12695,12695,12371.7,12443.3,5600,12390.15
2015-10-09,12650,12650,12405.5,12480.8,6100,12427.49
2015-10-12,12427.6,12680,12322.2,12404.6,7400,12351.61
2015-10-13,12500,12500,12055,12172.3,9000,12120.3
2015-10-14,12275.5,12290,11620.1,11878.8,10200,11828.06
2015-10-15,11919,11984,11605.1,11677.9,11400,11628.02
2015-10-16,11839.9,11975,11770.9,11820,5500,11769.51
2015-10-19,11933.7,12480,11820,12311.3,7700,12258.71
2015-10-20,12300,12930,12296,12852.9,30700,12798
2015-10-21,12950,13097.5,12705.2,12832.5,9900,12777.68
2015-10-22,12832.5,12832.5,12832.5,12832.5,0,12777.68
2015-10-23,12747.5,13360,12558,12642.2,13300,12588.2
2015-10-26,12889.8,12940,12400,12738.2,10200,12683.79
2015-10-27,12800,12800,12036,12181.7,15500,12129.66
2015-10-28,12299.9,12650,11925,12220.2,18600,12168
2015-10-29,12320,12750,12135,12577.5,7400,12523.77
2015-10-30,12400,12568.9,12163.5,12272,6800,12219.58
2015-11-02,12270,12420,12000.4,12309,2700,12256.42
2015-11-03,12435.8,12845,12320,12725.5,7400,12671.14
2015-11-04,12720,12840,12327,12411.8,4700,12358.78
2015-11-05,12350,12419.2,11801,11982.4,8100,11944.69
2015-11-06,12000,12180,11820,12000,17000,11962.23
2015-11-09,11860,12195,11700,11792.2,10000,11755.09
2015-11-10,11947.9,11950,11740.2,11814.4,4100,11777.22
2015-11-11,11814.4,11814.4,11814.4,11814.4,0,11777.22
2015-11-12,11814.4,11814.4,11814.4,11814.4,0,11777.22
2015-11-13,11916,11916,11225,11282.3,24700,11246.79
2015-11-16,11280,11485,10763.6,10871.5,20100,10837.28
2015-11-17,10900,10992.8,10730,10811.3,8100,10777.27
2015-11-18,10800,11100,10755,10834.2,12000,10800.1
2015-11-19,10989.7,10989.7,10500,10902.6,20300,10868.29
2015-11-20,10850,10950,10710,10898.3,11000,10864
2015-11-23,10950,10980,10752,10903.7,9900,10869.38
2015-11-24,10830.5,11178,10820,11136.8,6400,11101.75
2015-11-25,11136.8,11136.8,11136.8,11136.8,0,11101.75
2015-11-26,11298.8,11387.8,11160,11299,18900,11263.44
2015-11-27,11460,11460,11163,11249.2,16500,11213.8
2015-11-30,11350,11350,10922.7,11200,32500,11164.75
2015-12-01,11239,11440,11070,11355.6,11300,11319.86
2015-12-02,11389,11410,11160,11304,4000,11268.42
2015-12-03,11300,11400,11230,11300.3,2400,11264.73
2015-12-04,11150,11390,11004.5,11145.1,7700,11110.02
2015-12-07,11278,11280,11115,11239.2,3300,11203.83
2015-12-08,11265,11265,10800,10933.2,5800,10898.79
2015-12-09,10989,10989.8,10275,10558.5,4700,10525.27
2015-12-10,10689.7,10720,10300,10649.4,19300,10615.88
2015-12-11,10650,10920,10450.7,10707.7,14600,10674
2015-12-14,10800,10902,10600,10857.8,5000,10823.63
2015-12-15,10760,10900,10710,10808.8,4700,10774.78
2015-12-16,10899,10899,10785,10851,2400,10816.85
2015-12-17,10786.8,11229.2,10786.8,11166.2,7800,11131.06
2015-12-18,11250,11490,10805,10975.4,17700,10940.86
2015-12-21,10975.4,11060,10820,10905.2,4600,10870.88
2015-12-22,10910,10980,10799.1,10881.2,4300,10846.95
2015-12-23,10914.7,10935.2,10865,10900.9,7400,10866.59
2015-12-24,10950.9,10980,10855,10926.2,46000,10891.81
2015-12-25,10926.2,10926.2,10926.2,10926.2,0,10891.81
2015-12-28,10950,11125,10840,11031.8,4000,10997.08
2015-12-29,11034.2,11255,10987,11203.8,2800,11168.54
2015-12-30,11253.8,11390,11110,11273.9,2800,11238.42
2015-12-31,11208.2,11799,11204.6,11499.2,11800,11463.01
2016-01-01,11500,11618,11260,11383.5,2000,11347.67
2016-01-04,11222.2,11439.9,10855,11059.3,4400,11024.49
2016-01-05,11217,11333,10944,11124.3,7100,11089.29
2016-01-06,11124.8,11597.9,11000,11452.3,9300,11416.26
2016-01-07,11272.4,11334.5,10930.3,10979,2700,10944.45
2016-01-08,11162.2,11306.3,11001,11152.9,4100,11117.8
2016-01-11,10966,11275,10810.2,10912,5300,10877.66
2016-01-12,11075,11150,10421.1,10596.1,11000,10562.75
2016-01-13,10800,10800,10420,10540.2,2900,10507.03
2016-01-14,10526.8,10526.8,10090,10192.8,23400,10160.72
2016-01-15,10250,10300,9399.95,9801.4,10200,9770.55
2016-01-18,9762.5,9925,9600,9703.7,11200,9673.16
2016-01-19,9900,10099,9711,9843,12700,9812.02
2016-01-20,9820,9849.95,9649.95,9716.5,10400,9685.92
2016-01-21,9773.95,9780.95,9424.8,9525.3,36300,9495.32
2016-01-22,9644.9,10060,9450,9923.15,24300,9891.92
2016-01-25,9900,10270,9811.25,10015,12700,9983.48
2016-01-26,10015,10015,10015,10015,0,9983.48
2016-01-27,10006,10115,9830,9965.15,21500,9933.79
2016-01-28,9965,10398,9701.9,10116.7,16800,10084.86
2016-01-29,10497,10798,10105,10549.8,14300,10516.6
2016-02-01,10700,10827.2,10529,10681.1,16500,10647.48
2016-02-02,10765,10938,10201,10411.5,22900,10378.73
2016-02-03,10201,10292.6,9800,10167,13100,10135
2016-02-04,10292.3,10800,10292.3,10539.9,11800,10506.73
2016-02-05,10590,10660,10300,10384,4800,10351.32
2016-02-08,10480,10549.9,10200,10303.2,1900,10270.77
2016-02-09,10300,10399,10097,10304.7,1500,10272.27
2016-02-10,10304,10550,10030,10325.2,4100,10304.7
2016-02-11,10316.2,10674,10250,10340.5,6600,10319.97
2016-02-12,10340,10575.7,10051,10491.5,8600,10470.67
2016-02-15,10511,10749,10322.2,10499.1,11800,10478.26
2016-02-16,10450,10630.5,10120,10222.3,9900,10202.01
2016-02-17,10272,10297.7,10000,10074.3,15600,10054.3
2016-02-18,10168,11182.5,10168,10894,18200,10872.37
2016-02-19,10802,11175,10620,10653.9,4600,10632.75
2016-02-22,10656,10899.2,10653,10801,9900,10779.56
2016-02-23,10760,10810,10406.2,10492.7,2500,10471.87
2016-02-24,10440,10540.6,10405,10496.8,7100,10475.96
2016-02-25,10491,10599,10251,10496.8,5200,10475.96
2016-02-26,10616,10616,10300,10339.3,3000,10318.78
2016-02-29,10270,10400,9900.35,10003.7,15800,9983.84
2016-03-01,10079.4,10490,10079.4,10406.5,17300,10385.84
2016-03-02,10316,11080,10316,10814.2,8400,10792.73
2016-03-03,11088.7,11350,10565,11189,15000,11166.79
2016-03-04,11248,11299,10850,11055.8,8400,11033.85
2016-03-07,11055.8,11055.8,11055.8,11055.8,0,11033.85
2016-03-08,11249.8,11600,10851,11357,32800,11334.46
2016-03-09,11357,11433.8,10980,11140.2,9400,11118.09
2016-03-10,11240,11350,11050,11133.2,4100,11111.1
2016-03-11,11270,11344,11100,11258.8,11400,11236.45
2016-03-14,11100,11595,11001,11552,14300,11529.07
2016-03-15,11470,11483.7,11275.8,11318,3400,11295.53
2016-03-16,11353.4,11520,11160,11490.5,33000,11467.69
2016-03-17,11420,11766,11322.1,11649.1,15300,11638.13
2016-03-18,11705,13165.1,11681.7,12262.8,56900,12251.25
2016-03-21,12340,13114,12220.7,12599.4,34200,12587.54
2016-03-22,12748.8,12800,11970,12630.8,22100,12618.91
2016-03-23,12600,12641,12400,12498,10800,12486.23
2016-03-24,12498,12498,12498,12498,0,12486.23
2016-03-25,12498,12498,12498,12498,0,12486.23
2016-03-28,12600,12794.8,12111,12235.4,7300,12223.88
2016-03-29,12399,12399,12011,12111.4,7100,12100
2016-03-30,12310,12648,12175.5,12197.2,13500,12185.71
2016-03-31,12300,12599.8,11840,12420.5,39400,12408.8
2016-04-01,12296.3,12400,12012.1,12252.5,15400,12240.96
2016-04-04,12190.1,12490,11988.8,12441.4,8000,12429.68
2016-04-05,12280,12484.9,12005,12147.1,4200,12135.66
2016-04-06,12110.1,12485,12110.1,12408.5,12700,12396.81
2016-04-07,12408.5,12475,12250,12324.6,2700,12312.99
2016-04-08,12220,12525,12151,12231.1,11100,12219.58
2016-04-11,12201,12500,12201,12485.8,4500,12474.04
2016-04-12,12400,12650,12400,12500,19600,12488.23
2016-04-13,12600,12900,12431,12756.8,10000,12744.79
2016-04-14,12756.8,12756.8,12756.8,12756.8,0,12744.79
2016-04-15,12756.8,12756.8,12756.8,12756.8,0,12744.79
2016-04-18,12756.8,13240,12624.8,12956.6,16100,12944.4
2016-04-19,12956.6,12956.6,12956.6,12956.6,0,12944.4
2016-04-20,13100,13171.8,12731,13000.3,10100,12988.06
2016-04-21,13020,13058,12652.1,12797.2,10300,12785.15
2016-04-22,12950,12950,12651,12721.6,2500,12709.62
2016-04-25,12700,12936.3,12555.7,12668.2,6000,12656.27
2016-04-26,12550,12728.7,12450,12537.3,5100,12525.49
2016-04-27,12536.4,12800,12478.7,12726,10900,12714.02
2016-04-28,12708.2,12890,12577.2,12799.6,12300,12787.55
2016-04-29,12675.1,12798,12350.2,12693.9,19300,12681.95
2016-05-02,12577.6,12795,12500,12562.2,1800,12550.37
2016-05-03,12566,12699.8,12201,12424.8,9400,12413.1
2016-05-04,12326.2,12500,12216.8,12415.9,14400,12404.21
2016-05-05,12499,12630,12251,12429.4,2900,12417.7
2016-05-06,12328.4,12699,12328.1,12620.2,9300,12608.32
2016-05-09,12698,12950,12519.7,12832.5,4800,12820.42
2016-05-10,12971.5,12990,12690,12906.1,11600,12893.95
2016-05-11,12777,13426.7,12777,13348.2,11500,13335.63
2016-05-12,13400,13670,13286.9,13469,8100,13456.32
2016-05-13,13550,13888,13400,13670.5,7400,13657.63
2016-05-16,13680,13680,13201.3,13341.2,5800,13328.64
2016-05-17,13480,13480,12671,12881.7,20200,12869.57
2016-05-18,12949.1,13489,12600,13185.2,12600,13172.78
2016-05-19,13201,13610,13081.5,13537.3,6300,13524.55
2016-05-20,13490.3,13735,12900,13007,5800,12994.75
2016-05-23,13250,13750,13027.5,13095.5,6800,13083.17
2016-05-24,13440,13440,12905,12974.3,13700,12962.08
2016-05-25,13180,13295,12930.2,13199.2,5400,13186.77
2016-05-26,13300,13649,12810.8,12946.7,22100,12934.51
2016-05-27,13178,13300,12915,13140,13500,13127.63
2016-05-30,13142,13450,13140,13401.3,8800,13388.68
2016-05-31,13500,13547.4,12810,13130,26900,13117.64
2016-06-01,13299,13435,13200,13318.8,6200,13306.26
2016-06-02,13370,13838.9,13323.3,13733.6,19900,13720.67
2016-06-03,13763.9,13980,13566.5,13611.6,7800,13598.78
2016-06-06,13740,14178.8,13633.5,13888.5,11800,13875.42
2016-06-07,13902.5,14136.3,13803.2,14014.7,12500,14001.5
2016-06-08,14030.5,14170,13894,14013,8400,13999.8
2016-06-09,13910,14094.2,13356,13464.8,13200,13452.12
2016-06-10,13597,13700,13498.2,13582.3,6800,13569.51
2016-06-13,13400.1,13725,13020,13540.8,5200,13528.05
2016-06-14,13650,13650,13464,13500,4000,13487.29
2016-06-15,13623,13623,13395,13455.5,15800,13442.83
2016-06-16,13527.3,13698,13395.7,13541.2,4000,13528.45
2016-06-17,13645,13784.1,13600,13722.8,13400,13709.88
2016-06-20,13590,13820,13586,13710.8,4100,13697.89
2016-06-21,13769.9,13960,13609.5,13869.8,4500,13856.74
2016-06-22,13888,14270,13770,14148.3,5700,14134.98
2016-06-23,14200,14525,13928.7,14442.1,18700,14428.5
2016-06-24,14077,14278.3,13800.8,14246,9400,14232.58
2016-06-27,13980,14500,13980,14438.9,5700,14425.3
2016-06-28,14327.6,14548,14125,14212.8,16600,14199.42
2016-06-29,14260,14494,14260,14440.5,6900,14426.9
2016-06-30,14436.2,14775,14436,14546.5,19400,14532.8
2016-07-01,14555,14950,14555,14867.7,42200,14853.7
2016-07-04,14988,14999,14553,14656,70600,14642.2
2016-07-05,14727.2,14999,14550,14882.1,5400,14868.09
2016-07-06,14882.1,14882.1,14882.1,14882.1,0,14868.09
2016-07-07,14882.1,15859,14840,15486.4,14400,15471.82
2016-07-08,15500,15800,15200,15648.5,9600,15633.76
2016-07-11,15797,16135,15739.8,15926,14000,15911
2016-07-12,15966.2,16282.8,15851.4,16032.2,10800,16017.1
2016-07-13,16032.2,16100,15420,15516.2,13700,15501.59
2016-07-14,15517.2,15950.1,15517.1,15675.9,15200,15661.14
2016-07-15,15700,15882,15610,15698.5,7000,15683.72
2016-07-18,15854,16292,15670,16007.3,6100,15992.23
2016-07-19,16148.7,16400,15808,16116.8,11100,16101.62
2016-07-20,16077.6,16439.9,16077.6,16261.6,6000,16246.29
2016-07-21,16388,16490,16202.4,16431.2,4000,16415.73
2016-07-22,16443.9,16499,16267.2,16305.8,2200,16290.44
2016-07-25,16177.6,16400,15980,16074.8,18600,16059.66
2016-07-26,16130,16200,15880,15988.6,4600,15973.54
2016-07-27,16172.3,16211.7,15877.6,15988.2,3200,15973.14
2016-07-28,15988.2,16370,15900,16287.6,48000,16272.26
2016-07-29,16299,16332,16025,16110.2,8200,16095.03
2016-08-01,16111,16339.2,16050,16287.3,6200,16271.96
2016-08-02,16290,17200.1,16125,17084.1,21500,17068.01
2016-08-03,17199,17234.9,16650,16780.3,6900,16764.5
2016-08-04,16904.9,17000.1,16550,16643.7,5800,16628.03
2016-08-05,16643.7,16865.1,16600,16681.1,10600,16665.39
2016-08-08,16775.4,16948.1,16651.1,16867.4,6700,16851.52
2016-08-09,16920,17232,16839.4,17135.4,8900,17119.26
2016-08-10,17240,17240,16421,16500.9,9700,16485.36
2016-08-11,16500,17012.2,16013,16710.9,14600,16695.16
2016-08-12,16899.9,17650,16822,16998.5,34900,16982.49
2016-08-15,16998.5,16998.5,16998.5,16998.5,0,16982.49
2016-08-16,17010,17420,16900,17339.8,14900,17323.47
2016-08-17,17165,17270.2,16937.2,17147.1,8800,17130.95
2016-08-18,17145,17270.6,16950,17055.8,10700,17039.74
2016-08-19,17062,17190,16905.7,16990.5,5900,16974.5
2016-08-22,17000.1,17139.7,16750,17086.2,13100,17086.2
2016-08-23,17000,17000,16650.2,16779.2,4800,16779.2
2016-08-24,16780,17068.6,16700.1,17018.7,11100,17018.7
2016-08-25,17053.3,17250.1,16802.1,17053.1,17000,17053.1
2016-08-26,17060.2,17285,16825,17103.7,10800,17103.7
2016-08-29,17000,17092,16851,16934.8,3100,16934.8
2016-08-30,17090,17180,16700.2,17058.6,14100,17058.6
2016-08-31,17130,17240,16750.1,17174.8,39000,17174.8
2016-09-01,16900,17469,16851,17252.2,26000,17252.2
2016-09-02,17100.1,17363.2,17100.1,17231.2,4900,17231.2
2016-09-05,17231.2,17231.2,17231.2,17231.2,0,17231.2
2016-09-06,17399.9,18099,17317,17986.1,36600,17986.1
2016-09-07,18030,18030.7,17673,17723.6,4900,17723.6
2016-09-08,17601,17799.7,17601,17691.2,5100,17691.2
2016-09-09,17695.7,17725,17227.4,17342.9,12900,17342.9
2016-09-12,17340,17340,16751.8,16910.8,23300,16910.8
2016-09-13,16910.8,16910.8,16910.8,16910.8,0,16910.8
2016-09-14,16816,17519.2,16761,16866.2,13500,16866.2
2016-09-15,16930,16930.2,16560,16679.7,9600,16679.7
2016-09-16,16826.9,16982.3,16700,16721.1,13500,16721.1
