"Date","PETRONET.NS.Open","PETRONET.NS.High","PETRONET.NS.Low","PETRONET.NS.Close","PETRONET.NS.Volume","PETRONET.NS.Adjusted"
2016-07-11,295,298.15,293.1,295.2,417800,293.09
2016-07-12,298.7,298.7,293.4,295.3,708700,293.19
2016-07-13,294.95,295.75,286.25,287.9,860800,285.84
2016-07-14,289.5,290.25,285.2,288.3,1175900,286.24
2016-07-15,290,292.55,285.9,290.65,967500,288.57
2016-07-18,291,292.8,286.35,287.25,417700,285.2
2016-07-19,288,290.35,282.5,285.2,466200,283.16
2016-07-20,286.5,294,286.5,292.45,820300,290.36
2016-07-21,294.95,297.5,290.75,292.45,1676800,290.36
2016-07-22,294.7,295.5,292.65,295.05,1132500,292.94
2016-07-25,295.9,298,294.1,297,1045800,294.88
2016-07-26,297.8,299.55,296,297.1,948700,294.98
2016-07-27,297.85,303,296.55,298.55,1065200,296.42
2016-07-28,299.85,301.55,295.5,297.3,621700,295.17
2016-07-29,297,301,295.4,298,962000,295.87
2016-08-01,301,313.8,298.05,312.05,1531700,309.82
2016-08-02,315,317.85,307.95,310.35,1638500,308.13
2016-08-03,309.7,310.5,303.55,305.7,1330600,303.51
2016-08-04,306.2,314.5,302.5,312.6,820300,310.36
2016-08-05,314.6,314.6,308.45,310.5,799200,308.28
2016-08-08,312.5,313.55,308.65,311.65,642200,309.42
2016-08-09,312,314.25,307.2,309.75,695300,307.54
2016-08-10,312,314.25,308,310.4,753100,308.18
2016-08-11,312,321.2,309,314.8,1991300,312.55
2016-08-12,317,317.25,312.6,314.15,423700,311.9
2016-08-15,314.15,314.15,314.15,314.15,0,311.9
2016-08-16,314,322.5,313,320.25,743800,317.96
2016-08-17,323,323.4,318,320.05,686200,317.76
2016-08-18,323,327.55,321,326.9,995000,324.56
2016-08-19,326,345.2,324.35,343.7,1970300,341.24
2016-08-22,344,344,329.5,332.5,1567100,330.12
2016-08-23,332.55,348.9,332.55,334.65,2775900,332.26
2016-08-24,335.3,341.4,335.3,339.4,1173800,336.97
2016-08-25,341.4,342.7,335.25,336.25,1597000,333.85
2016-08-26,338.65,341.35,333.85,337.2,2471100,334.79
2016-08-29,339.45,340.95,337.15,338.2,967500,335.78
2016-08-30,338.5,345.4,338.5,343.2,2643700,340.75
2016-08-31,339.9,354.65,339.9,351.85,2236700,349.33
2016-09-01,353,354.4,347,349.75,1719200,347.25
2016-09-02,351.05,358.6,350,353.4,1566600,350.87
2016-09-05,353.4,353.4,353.4,353.4,0,350.87
2016-09-06,360,366.35,353.8,356.45,2567700,353.9
2016-09-07,358.95,358.95,338.15,345.1,4024300,342.63
2016-09-08,347.15,354,344.7,350.95,4147300,348.44
2016-09-09,352,355.5,347.65,349.65,1236200,347.15
2016-09-12,346.5,346.6,325.05,329.85,1279600,329.85
2016-09-13,329.85,329.85,329.85,329.85,0,329.85
2016-09-14,327.8,335.4,326.35,334.05,1665700,334.05
2016-09-15,333.15,337.3,329.1,335.3,1544500,335.3
2016-09-16,337.75,342.95,330,333.5,3663000,333.5
2016-09-19,333.9,340.15,331.65,338.9,2354700,338.9
2016-09-20,339.9,341.5,333.9,334.8,1165700,334.8
2016-09-21,336.9,337.55,331,333.85,1170000,333.85
2016-09-22,337,342.5,335.25,341.3,1050200,341.3
2016-09-23,342,347,338.55,344,1241200,344
2016-09-26,344.95,347.4,340.25,344.3,1273500,344.3
2016-09-27,345.3,349.8,344.05,346.3,1461500,346.3
2016-09-28,346.75,350.5,344.8,349.7,1151900,349.7
2016-09-29,349,354.35,334.25,338.25,3379300,338.25
2016-09-30,339,351.95,338.45,345.4,2526300,345.4
2016-10-03,345.45,355.7,345.45,353.05,1182300,353.05
2016-10-04,353.95,369.7,351.2,367.35,2604600,367.35
2016-10-05,367.5,372.3,364,370.3,1264500,370.3
2016-10-06,372.95,383.6,370.1,374.25,2080300,374.25
2016-10-07,374.8,381.15,371.65,373.1,849600,373.1
