"Date","STAR.NS.Open","STAR.NS.High","STAR.NS.Low","STAR.NS.Close","STAR.NS.Volume","STAR.NS.Adjusted"
2016-07-26,1161.05,1172,1136,1147.05,197800,1147.05
2016-07-27,1153,1169.8,1128,1137.5,199600,1137.5
2016-07-28,1140.5,1157.5,1132.5,1137.75,214300,1137.75
2016-07-29,1137.5,1170.9,1134.5,1162.55,254900,1162.55
2016-08-01,1164,1169.95,1126.1,1135.95,183400,1135.95
2016-08-02,1136,1154.85,1135.05,1145.25,226500,1145.25
2016-08-03,1145.25,1148.8,1118.35,1128.4,233900,1128.4
2016-08-04,1130,1140,1116.35,1125.65,179400,1125.65
2016-08-05,1130,1149,1130,1147.5,180300,1147.5
2016-08-08,1148.2,1150.6,1132,1135.6,87800,1135.6
2016-08-09,1144,1144.85,1111.5,1124.4,159000,1124.4
2016-08-10,1124.4,1145.8,1122.2,1141.1,275300,1141.1
2016-08-11,1145,1169.9,1135.1,1159.85,291600,1159.85
2016-08-12,1167,1174.75,1101,1138.3,219400,1138.3
2016-08-15,1138.3,1138.3,1138.3,1138.3,0,1138.3
2016-08-16,1126.4,1128,1103.2,1110.95,216600,1110.95
2016-08-17,1113,1121.3,1034.55,1056.15,1187000,1056.15
2016-08-18,1027.85,1048.45,1009.2,1017.7,1505300,1017.7
2016-08-19,1015,1020,982.2,985.5,945100,985.5
2016-08-22,985,994.95,954.5,963.4,579900,963.4
