"Date","LT.NS.Open","LT.NS.High","LT.NS.Low","LT.NS.Close","LT.NS.Volume","LT.NS.Adjusted"
2015-02-25,1725,1734.8,1686,1697.9,1840100,1643.5821
2015-02-26,1699,1700.75,1670,1678.05,1911700,1624.3671
2015-02-27,1702.8,1765,1700,1758.95,4269700,1702.679
2015-03-02,1782,1850,1782,1846.1,4851300,1787.0409
2015-03-03,1850,1859,1828.1,1851.65,2377800,1792.4134
2015-03-04,1870,1893.8,1817,1837.9,3304600,1779.1033
2015-03-05,1842.25,1846.45,1795,1826.05,1887700,1767.6324
2015-03-06,1826.05,1826.05,1826.05,1826.05,0,1767.6324
2015-03-09,1817.2,1821.6,1755,1762.3,1577600,1705.9219
2015-03-10,1769,1789.6,1724.05,1752.45,1778900,1696.3869
2015-03-11,1764.85,1765.5,1732.2,1739.7,1878300,1684.0448
2015-03-12,1750,1765,1740.15,1747.4,1658900,1691.4985
2015-03-13,1766.3,1769.35,1683.2,1692.15,2320000,1638.016
2015-03-16,1698,1709.9,1671.3,1679.8,1329900,1626.0612
2015-03-17,1696,1723,1683.2,1715.65,1452000,1660.7642
2015-03-18,1725.05,1727.5,1692.7,1699.05,1287300,1644.6953
2015-03-19,1721.05,1738.95,1670,1682.4,2097300,1628.578
2015-03-20,1683.2,1697.45,1653.05,1670.35,1685600,1616.9134
2015-03-23,1682.3,1690,1663,1672.85,1121500,1619.3334
2015-03-24,1673.55,1688.8,1656,1672.15,1395800,1618.6559
2015-03-25,1673,1676.85,1626.35,1632.75,1682800,1580.5163
2015-03-26,1622,1665,1613.45,1634.45,3488100,1582.1619
2015-03-27,1650.1,1685.6,1642,1677.75,3183200,1624.0767
2015-03-30,1690,1734,1683.5,1728.75,2239300,1673.4451
2015-03-31,1735.05,1747,1711.25,1719.65,1875700,1664.6363
2015-04-01,1721.65,1739.1,1718,1734.25,1000200,1678.7692
2015-04-02,1734.25,1734.25,1734.25,1734.25,0,1678.7692
2015-04-03,1734.25,1734.25,1734.25,1734.25,0,1678.7692
2015-04-06,1736.55,1764.3,1722.2,1757.9,1821300,1701.6626
2015-04-07,1770.25,1782.7,1748.25,1769.7,1428300,1713.085
2015-04-08,1774.9,1787.25,1761.2,1779.45,1377900,1722.5231
2015-04-09,1785,1788,1755.6,1770.8,1135200,1714.15
2015-04-10,1770,1778,1750,1764,943700,1707.5674
2015-04-13,1780.25,1807,1771.25,1803.5,1572200,1745.8038
2015-04-14,1803.5,1803.5,1803.5,1803.5,0,1745.8038
2015-04-15,1804,1819.95,1767.9,1787.65,1520300,1730.4609
2015-04-16,1788,1788,1740,1754.3,1501200,1698.1778
2015-04-17,1760.1,1766.4,1730.1,1739.75,998600,1684.0932
2015-04-20,1741.9,1741.9,1669,1698.45,1583500,1644.1144
2015-04-21,1698,1720.4,1680,1688.75,1378100,1634.7248
2015-04-22,1694.8,1752,1685.75,1745.6,1850700,1689.7561
2015-04-23,1755,1762.4,1713.05,1724.1,1698100,1668.9439
2015-04-24,1722,1725.8,1670,1678.6,1458100,1624.8995
2015-04-27,1679.95,1695.85,1657.5,1667.7,1850000,1614.3482
2015-04-28,1684.5,1684.5,1636,1665.45,2207200,1612.1701
2015-04-29,1661.6,1672.25,1646,1655.25,1416700,1602.2965
2015-04-30,1655.8,1656.7,1625.6,1631.3,2491600,1579.1127
2015-05-01,1631.3,1631.3,1631.3,1631.3,0,1579.1127
2015-05-04,1640.75,1650.45,1618.1,1629.3,1637000,1577.1767
